[Wafer Information]
Wafer Number,9
Wafer ID,A42-Q335419-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C2069-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/02/2024 02:08
End Time,01/02/2024 02:11
Inspection Time,0:03:20
Photo Time,0:04:26
Data Output Time,01/02/2024 02:42

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
9,A42-Q335419-352,5518,5455,98.858282,63,118,72,17,7,22

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,23,50,273.90438,8.649612,818.829936,1
5,23,50,98.028936,8.649612,291.203604,1
5,23,50,98.028936,8.649612,276.787584,1
5,23,50,271.021176,8.649612,740.983428,1
5,23,50,57.66408,8.649612,155.693016,1
5,23,50,77.846508,8.649612,230.65632,1
5,23,50,8.624142,2.874714,8.598747,1
6,23,50,273.90438,8.649612,761.165856,1
6,23,50,268.137972,8.649612,697.735368,1
9,45,50,46.131264,8.649612,126.860976,1
8,45,50,268.137972,8.649612,804.413916,1
8,45,50,273.90438,8.649612,766.932264,1
8,45,50,123.977772,8.649612,354.634092,1
12,55,50,8.649612,83.612916,245.07234,1
11,13,50,92.262528,20.182428,570.874392,3
13,34,50,80.729712,8.649612,219.123504,1
13,55,50,8.649612,80.729712,233.539524,1
16,9,50,377.699724,23.065632,2502.621072,2
16,9,50,1104.267132,2424.774564,25801.792596,1
16,9,50,118.211364,115.32816,2168.169408,4
16,9,50,121.094568,112.444956,2185.468632,4
17,9,50,2217.183876,2424.774564,114445.899576,1
17,9,50,377.699724,23.065632,2508.38748,2
17,9,50,121.094568,115.32816,2150.870184,4
17,9,50,121.094568,115.32816,2231.599896,4
17,9,50,187.40826,184.525056,4379.586876,63
17,9,50,406.531764,432.4806,59379.58638,2
17,9,50,121.094568,115.32816,2159.519796,4
17,9,50,121.094568,115.32816,2222.950284,4
17,9,50,34.598448,83.612916,974.522952,63
17,9,50,121.094568,112.444956,2188.351836,4
