[Wafer Information]
Wafer Number,9
Wafer ID,A154-Q336488-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23c02516-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/28/2024 10:29
End Time,01/28/2024 10:33
Inspection Time,0:03:21
Photo Time,0:04:05
Data Output Time,01/28/2024 12:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F06 Incoming others,F07 Incoming microlens periphery peeling
9,A154-Q336488-352,5518,5480,99.311345,38,85,10,32,30,9,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,29,50,57.66408,20.182428,345.98448,3
9,40,50,233.539524,8.649612,700.618572,1
9,52,50,89.379324,8.649612,250.838748,1
15,11,50,80.729712,20.182428,530.509536,3
16,23,50,11.532816,11.532816,37.481652,4
19,28,50,1735.688808,1631.893464,24074.7534,1
19,28,50,406.531764,432.4806,59370.936768,2
20,28,50,2217.183876,1631.893464,86522.068836,1
20,28,50,121.094568,112.444956,2248.89912,4
20,28,50,406.531764,432.4806,59451.66648,2
20,28,50,121.094568,115.32816,2197.001448,4
20,28,50,121.094568,115.32816,2269.081548,4
20,28,50,34.598448,83.612916,948.574116,63
20,28,50,121.094568,115.32816,2222.950284,4
20,28,50,43.24806,227.773116,2635.248456,63
20,28,50,121.094568,112.444956,2283.497568,4
20,27,50,2217.183876,2499.737868,172677.970764,1
20,27,50,118.211364,115.32816,2153.753388,4
20,27,50,472.845456,472.845456,73342.943352,2
20,27,50,121.094568,112.444956,2194.118244,4
20,27,50,121.094568,115.32816,2150.870184,4
20,27,50,86.49612,285.437196,8557.349472,63
20,27,50,121.094568,112.444956,2032.65882,4
20,27,50,121.094568,112.444956,2228.716692,4
20,27,50,121.094568,112.444956,2185.468632,4
20,27,50,403.64856,429.597396,59272.907832,2
20,27,50,121.094568,112.444956,2179.702224,4
20,27,50,121.094568,112.444956,2075.90688,4
20,27,50,121.094568,112.444956,2165.286204,4
20,27,50,187.40826,256.605156,4284.441144,63
20,27,50,118.211364,112.444956,2116.271736,4
