[Wafer Information]
Wafer Number,9
Wafer ID,A31-Q335730-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,2400077-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 08:32
End Time,01/08/2024 08:35
Inspection Time,0:03:20
Photo Time,0:03:33
Data Output Time,01/08/2024 09:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others
9,A31-Q335730-401,5518,5485,99.401957,33,57,49,7,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,40,50,230.65632,8.649612,680.436144,1
2,40,50,273.90438,8.649612,787.114692,1
2,40,50,57.66408,8.649612,152.809812,1
3,40,50,273.90438,8.649612,815.946732,1
3,40,50,271.021176,8.649612,795.764304,1
3,40,50,123.977772,8.649612,348.867684,1
16,18,50,273.90438,8.649612,755.399448,1
17,18,50,273.90438,8.649612,795.764304,1
17,18,50,271.021176,8.649612,792.8811,1
17,18,50,271.021176,8.649612,804.413916,1
17,18,50,271.021176,8.649612,749.63304,1
17,18,50,46.131264,8.649612,126.860976,1
23,40,50,273.90438,8.649612,813.063528,1
23,40,50,273.90438,8.649612,815.946732,1
23,40,50,271.021176,8.649612,810.180324,1
23,40,50,201.82428,8.649612,605.47284,1
23,40,50,273.90438,8.649612,815.946732,1
23,40,50,57.66408,8.649612,167.225832,1
26,6,50,28.83204,8.649612,83.612916,1
36,18,50,268.137972,8.649612,769.815468,1
37,18,50,271.021176,8.649612,717.917796,1
37,18,50,268.137972,8.649612,706.38498,1
39,66,50,273.90438,8.649612,795.764304,1
40,66,50,271.021176,8.649612,732.333816,1
43,41,50,149.926608,8.649612,441.130212,1
45,40,50,271.021176,8.649612,807.29712,1
45,40,50,271.021176,8.649612,807.29712,1
45,40,50,268.137972,8.649612,804.413916,1
45,40,50,271.021176,8.649612,720.801,1
45,40,50,37.481652,8.649612,100.91214,1
46,40,50,273.90438,8.649612,795.764304,1
46,40,50,95.145732,8.649612,256.605156,1
51,29,50,144.1602,23.065632,928.391688,3
56,67,50,273.90438,8.649612,769.815468,1
58,18,50,273.90438,8.649612,723.684204,1
60,66,50,190.291464,8.649612,533.39274,1
61,37,50,80.729712,20.182428,475.72866,3
61,51,50,14.41602,20.182428,80.729712,2
61,29,50,8.649612,89.379324,245.07234,1
66,31,50,83.612916,8.649612,222.006708,1
71,29,50,80.729712,8.649612,224.889912,1
78,18,50,273.90438,8.649612,764.04906,1
78,18,50,123.977772,8.649612,325.802052,1
79,18,50,273.90438,8.649612,772.698672,1
79,18,50,271.021176,8.649612,792.8811,1
80,18,50,40.364856,8.649612,106.678548,1
91,30,50,54.780876,8.649612,155.693016,1
94,17,50,74.963304,8.649612,219.123504,1
97,39,50,273.90438,8.649612,813.063528,1
97,39,50,273.90438,8.649612,815.946732,1
1,40,50,14.37357,8.624142,25.796241,1
58,54,50,22.997712,5.749428,34.394988,1
67,29,50,8.624142,149.485128,309.554892,3
67,29,50,14.37357,155.234556,335.351133,3
67,29,50,8.624142,51.744852,106.051213,3
70,25,50,8.624142,51.744852,114.64996,3
72,3,50,31.621854,51.744852,372.61237,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others
9,A31-Q335730-401,5518,5513,99.909387,5,5,1,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,40,Pass,230.65632,8.649612,680.436144,1
2,40,Pass,273.90438,8.649612,787.114692,1
2,40,Pass,57.66408,8.649612,152.809812,1
3,40,Pass,273.90438,8.649612,815.946732,1
3,40,Pass,271.021176,8.649612,795.764304,1
3,40,Pass,123.977772,8.649612,348.867684,1
16,18,Pass,273.90438,8.649612,755.399448,1
17,18,Pass,273.90438,8.649612,795.764304,1
17,18,Pass,271.021176,8.649612,792.8811,1
17,18,Pass,271.021176,8.649612,804.413916,1
17,18,Pass,271.021176,8.649612,749.63304,1
17,18,Pass,46.131264,8.649612,126.860976,1
23,40,Pass,273.90438,8.649612,813.063528,1
23,40,Pass,273.90438,8.649612,815.946732,1
23,40,Pass,271.021176,8.649612,810.180324,1
23,40,Pass,201.82428,8.649612,605.47284,1
23,40,Pass,273.90438,8.649612,815.946732,1
23,40,Pass,57.66408,8.649612,167.225832,1
