[Wafer Information]
Wafer Number,17
Wafer ID,A05-Q335306-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100017-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 07:53
End Time,01/09/2024 07:56
Inspection Time,0:03:21
Photo Time,0:02:19
Data Output Time,01/09/2024 09:06

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others
17,A05-Q335306-401,5518,5470,99.13012,48,71,53,17,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,33,50,77.846508,8.649612,230.65632,1
5,33,50,276.787584,8.649612,818.829936,1
6,33,50,273.90438,8.649612,815.946732,1
6,33,50,271.021176,8.649612,787.114692,1
6,33,50,112.444956,8.649612,325.802052,1
8,37,50,49.014468,40.364856,403.64856,3
18,54,50,66.313692,28.83204,426.714192,3
16,32,50,271.021176,8.649612,746.749836,1
16,32,50,57.66408,8.649612,149.926608,1
22,45,50,40.364856,34.598448,299.853216,3
22,36,50,60.547284,17.299224,334.451664,3
26,55,50,273.90438,8.649612,815.946732,1
26,55,50,161.459424,8.649612,481.495068,1
28,33,50,271.021176,8.649612,778.46508,1
28,33,50,271.021176,8.649612,766.932264,1
28,33,50,54.780876,8.649612,144.1602,1
36,40,50,43.24806,17.299224,224.889912,3
36,32,50,271.021176,8.649612,810.180324,1
36,32,50,271.021176,8.649612,810.180324,1
36,32,50,123.977772,8.649612,363.283704,1
37,37,50,49.014468,34.598448,426.714192,3
38,5,50,40.364856,23.065632,276.787584,3
40,9,50,155.693016,8.649612,461.31264,1
40,10,50,271.021176,8.649612,752.516244,1
40,10,50,273.90438,8.649612,784.231488,1
40,10,50,271.021176,8.649612,784.231488,1
46,19,50,57.66408,46.131264,593.940024,3
46,62,50,17.299224,20.182428,92.262528,2
50,33,50,273.90438,8.649612,703.501776,1
50,33,50,155.693016,8.649612,452.663028,1
50,33,50,271.021176,8.649612,755.399448,1
50,33,50,57.66408,8.649612,152.809812,1
50,56,50,25.948836,8.649612,72.0801,1
51,33,50,273.90438,8.649612,738.100224,1
56,33,50,8.649612,155.693016,392.115744,1
56,33,50,8.649612,155.693016,426.714192,1
60,10,50,271.021176,8.649612,766.932264,1
60,10,50,273.90438,8.649612,789.997896,1
62,6,50,43.24806,23.065632,294.086808,3
63,6,50,54.780876,25.948836,386.349336,3
66,46,50,51.897672,28.83204,371.933316,3
65,50,50,40.364856,25.948836,291.203604,3
67,34,50,54.780876,8.649612,144.1602,1
70,55,50,239.305932,8.649612,715.034592,1
70,55,50,271.021176,8.649612,804.413916,1
70,55,50,43.24806,8.649612,121.094568,1
71,11,50,271.021176,8.649612,801.530712,1
71,11,50,271.021176,8.649612,804.413916,1
71,11,50,271.021176,8.649612,807.29712,1
71,11,50,233.539524,8.649612,697.735368,1
73,33,50,273.90438,8.649612,723.684204,1
75,45,50,46.131264,28.83204,337.334868,3
78,5,50,43.24806,23.065632,282.553992,3
78,27,50,43.24806,23.065632,265.254768,3
85,29,50,49.014468,31.715244,400.765356,3
87,23,50,92.262528,8.649612,230.65632,1
87,23,50,98.028936,8.649612,247.955544,1
90,55,50,273.90438,8.649612,804.413916,1
91,39,50,57.66408,23.065632,360.4005,3
91,34,50,273.90438,8.649612,804.413916,1
91,34,50,245.07234,8.649612,703.501776,1
94,33,50,112.444956,8.649612,331.56846,1
4,41,50,2.874714,8.624142,8.598747,1
20,13,50,2.874714,5.749428,5.732498,1
42,56,50,2.874714,5.749428,5.732498,1
45,12,50,22.997712,17.248284,91.719968,1
48,21,50,11.498856,2.874714,11.464996,1
83,43,50,2.874714,8.624142,8.598747,1
90,56,50,14.37357,2.874714,14.331245,1
98,47,50,2.874714,5.749428,5.732498,1
102,32,50,2.874714,5.749428,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F29 Silicon powder,F06 Incoming others
