[Wafer Information]
Wafer Number,13
Wafer ID,Q335306-09E2
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100022-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 09:53
End Time,01/06/2024 09:59
Inspection Time,0:06:20
Photo Time,0:12:19
Data Output Time,01/06/2024 03:23

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F13 Pad area damage,F06 Incoming others,F16 Die scratch,F82 Top side chipping no damage sensor area,F99 Others
13,Q335306-09E2,18042,17772,98.503492,270,350,341,9

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,76,50,80.729712,8.649612,222.006708,1
19,56,50,63.430488,20.182428,282.553992,1
19,56,50,63.281064,17.258472,292.702872,1
19,56,50,71.9103,23.011296,433.315036,1
22,65,50,60.547284,25.948836,452.663028,3
24,37,50,8.649612,149.926608,432.4806,1
24,48,50,8.649612,152.809812,423.830988,1
24,48,50,8.649612,11.532816,31.715244,1
24,47,50,8.649612,49.014468,132.627384,1
24,47,50,8.649612,14.41602,31.715244,1
24,81,50,8.649612,149.926608,435.363804,1
24,59,50,8.649612,149.926608,444.013416,1
24,69,50,8.649612,51.897672,132.627384,1
24,60,50,11.532816,152.809812,409.414968,1
24,60,50,11.532816,152.809812,420.947784,1
24,71,50,8.649612,51.897672,141.276996,1
26,88,50,8.649612,83.612916,239.305932,1
26,77,50,8.649612,54.780876,155.693016,1
25,41,50,51.897672,25.948836,325.802052,3
26,33,50,8.649612,83.612916,242.189136,1
27,51,50,51.897672,25.948836,369.050112,3
26,44,50,8.649612,80.729712,227.773116,1
28,53,50,77.846508,8.649612,201.82428,1
28,53,50,80.729712,8.649612,213.357096,1
28,97,50,80.729712,11.532816,320.035644,1
28,97,50,80.729712,11.532816,322.918848,1
28,97,50,80.729712,11.532816,320.035644,1
28,64,50,77.846508,8.649612,213.357096,1
30,80,50,57.66408,20.182428,325.802052,3
28,75,50,80.729712,8.649612,230.65632,1
28,75,50,74.963304,8.649612,222.006708,1
28,75,50,80.729712,8.649612,239.305932,1
30,78,50,46.131264,23.065632,271.021176,3
28,86,50,80.729712,8.649612,219.123504,1
28,86,50,80.729712,8.649612,224.889912,1
29,48,50,57.66408,11.532816,172.99224,1
29,37,50,190.291464,11.532816,510.327108,1
