[Wafer Information]
Wafer Number,15
Wafer ID,A28-Q335306-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100023-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 09:46
End Time,01/09/2024 09:49
Inspection Time,0:03:19
Photo Time,0:03:19
Data Output Time,01/09/2024 10:14

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
15,A28-Q335306-401,5518,5458,98.91265,60,89,63,23,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,27,50,83.612916,8.649612,230.65632,1
5,36,50,273.90438,8.649612,815.946732,1
5,36,50,51.897672,8.649612,152.809812,1
5,36,50,271.021176,8.649612,804.413916,1
5,36,50,273.90438,8.649612,807.29712,1
5,36,50,268.137972,8.649612,723.684204,1
4,36,50,273.90438,8.649612,772.698672,1
5,20,50,72.0801,20.182428,400.765356,3
6,36,50,57.66408,8.649612,147.043404,1
12,50,50,83.612916,8.649612,230.65632,1
17,43,50,60.547284,25.948836,400.765356,3
17,37,50,271.021176,8.649612,735.21702,1
17,37,50,271.021176,8.649612,723.684204,1
16,20,50,49.014468,23.065632,328.685256,3
18,37,50,273.90438,8.649612,732.333816,1
19,52,50,43.24806,25.948836,288.3204,3
21,15,50,273.90438,8.649612,761.165856,1
22,15,50,271.021176,8.649612,755.399448,1
22,15,50,268.137972,8.649612,755.399448,1
26,36,50,141.276996,8.649612,412.298172,1
25,61,50,51.897672,20.182428,305.619624,3
26,24,50,83.612916,25.948836,547.80876,3
27,36,50,273.90438,8.649612,740.983428,1
27,36,50,273.90438,8.649612,749.63304,1
27,36,50,271.021176,8.649612,781.348284,1
28,58,50,123.977772,8.649612,340.218072,1
28,58,50,271.021176,8.649612,772.698672,1
28,58,50,268.137972,8.649612,740.983428,1
28,58,50,271.021176,8.649612,712.151388,1
25,59,50,271.021176,8.649612,726.567408,1
26,59,50,273.90438,8.649612,712.151388,1
26,59,50,271.021176,8.649612,764.04906,1
26,59,50,268.137972,8.649612,738.100224,1
33,19,50,17.299224,20.182428,83.612916,2
40,5,50,123.977772,28.83204,801.530712,3
39,37,50,271.021176,8.649612,732.333816,1
41,52,50,17.299224,23.065632,100.91214,2
48,36,50,273.90438,8.649612,761.165856,1
49,36,50,273.90438,8.649612,792.8811,1
48,20,50,57.66408,20.182428,345.98448,3
55,7,50,60.547284,20.182428,363.283704,3
54,16,50,271.021176,8.649612,749.63304,1
54,16,50,57.66408,8.649612,152.809812,1
54,16,50,273.90438,8.649612,792.8811,1
54,16,50,271.021176,8.649612,801.530712,1
54,16,50,271.021176,8.649612,807.29712,1
54,16,50,175.875444,8.649612,516.093516,1
55,22,50,17.299224,20.182428,98.028936,2
57,25,50,51.897672,23.065632,311.386032,3
56,39,50,66.313692,23.065632,412.298172,3
59,37,50,271.021176,8.649612,740.983428,1
59,37,50,273.90438,8.649612,746.749836,1
60,37,50,256.605156,8.649612,755.399448,1
60,14,50,54.780876,8.649612,161.459424,1
63,38,50,273.90438,8.649612,769.815468,1
65,35,50,46.131264,20.182428,268.137972,3
65,51,50,46.131264,20.182428,282.553992,3
69,34,50,54.780876,25.948836,334.451664,3
70,36,50,276.787584,8.649612,766.932264,1
70,36,50,271.021176,8.649612,792.8811,1
70,36,50,273.90438,8.649612,789.997896,1
70,36,50,132.627384,8.649612,357.517296,1
70,39,50,83.612916,20.182428,498.794292,3
69,59,50,273.90438,8.649612,735.21702,1
70,59,50,273.90438,8.649612,749.63304,1
70,59,50,273.90438,8.649612,769.815468,1
70,59,50,196.057872,8.649612,573.757596,1
80,60,50,271.021176,8.649612,775.581876,1
80,60,50,271.021176,8.649612,798.647508,1
80,60,50,273.90438,8.649612,810.180324,1
78,18,50,121.094568,8.649612,320.035644,1
85,32,50,80.729712,20.182428,481.495068,3
86,57,50,43.24806,8.649612,123.977772,1
92,14,50,77.846508,23.065632,481.495068,3
92,32,50,49.014468,23.065632,299.853216,3
90,36,50,273.90438,8.649612,769.815468,1
