[Wafer Information]
Wafer Number,11
Wafer ID,A30-Q335306-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100023-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 10:06
End Time,01/09/2024 10:09
Inspection Time,0:03:20
Photo Time,0:02:50
Data Output Time,01/09/2024 10:19

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F06 Incoming others,F29 Silicon powder
11,A30-Q335306-401,5518,5463,99.003262,55,93,79,3,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,25,50,43.24806,8.649612,123.977772,1
10,25,50,230.65632,8.649612,637.188084,1
12,16,50,23.065632,8.649612,63.430488,1
11,25,50,273.90438,8.649612,758.282652,1
13,24,50,271.021176,8.649612,746.749836,1
14,24,50,271.021176,8.649612,781.348284,1
14,24,50,271.021176,8.649612,789.997896,1
14,24,50,273.90438,8.649612,810.180324,1
14,24,50,271.021176,8.649612,749.63304,1
17,44,50,271.021176,8.649612,810.180324,1
17,44,50,271.021176,8.649612,810.180324,1
17,44,50,57.66408,8.649612,155.693016,1
17,44,50,273.90438,8.649612,787.114692,1
17,44,50,273.90438,8.649612,813.063528,1
18,44,50,273.90438,8.649612,795.764304,1
18,44,50,123.977772,8.649612,343.101276,1
18,44,50,273.90438,8.649612,723.684204,1
24,42,50,17.299224,20.182428,100.91214,2
29,43,50,8.649612,152.809812,392.115744,1
29,43,50,8.649612,43.24806,123.977772,1
30,4,50,271.021176,8.649612,755.399448,1
31,25,50,273.90438,8.649612,807.29712,1
31,25,50,271.021176,8.649612,735.21702,1
34,43,50,273.90438,8.649612,764.04906,1
34,43,50,271.021176,8.649612,778.46508,1
34,43,50,273.90438,8.649612,787.114692,1
35,43,50,54.780876,8.649612,152.809812,1
34,24,50,273.90438,8.649612,772.698672,1
34,24,50,123.977772,8.649612,328.685256,1
36,66,50,57.66408,23.065632,369.050112,3
39,44,50,273.90438,8.649612,740.983428,1
42,17,50,11.532816,8.649612,34.598448,1
48,32,50,43.24806,135.510588,1112.916744,2
50,25,50,271.021176,8.649612,726.567408,1
51,25,50,271.021176,8.649612,781.348284,1
50,4,50,273.90438,8.649612,787.114692,1
50,4,50,271.021176,8.649612,792.8811,1
50,4,50,271.021176,8.649612,761.165856,1
51,4,50,273.90438,8.649612,813.063528,1
51,4,50,273.90438,8.649612,792.8811,1
51,4,50,158.57622,8.649612,464.195844,1
51,4,50,123.977772,8.649612,325.802052,1
56,24,50,273.90438,8.649612,720.801,1
57,24,50,273.90438,8.649612,758.282652,1
57,24,50,271.021176,8.649612,764.04906,1
57,24,50,271.021176,8.649612,781.348284,1
60,3,50,57.66408,11.532816,172.99224,1
59,3,50,273.90438,8.649612,761.165856,1
59,3,50,271.021176,8.649612,795.764304,1
59,3,50,271.021176,8.649612,769.815468,1
59,3,50,271.021176,8.649612,738.100224,1
60,44,50,271.021176,8.649612,787.114692,1
60,44,50,268.137972,8.649612,795.764304,1
60,44,50,271.021176,8.649612,758.282652,1
60,44,50,11.532816,8.649612,31.715244,1
61,44,50,273.90438,8.649612,758.282652,1
62,5,50,271.021176,8.649612,807.29712,1
62,5,50,271.021176,8.649612,746.749836,1
62,5,50,123.977772,8.649612,322.918848,1
63,36,50,40.364856,25.948836,299.853216,3
64,5,50,57.66408,8.649612,149.926608,1
67,42,50,40.364856,23.065632,250.838748,3
67,43,50,66.313692,23.065632,397.882152,3
69,54,50,69.196896,20.182428,446.89662,3
71,4,50,57.66408,8.649612,164.342628,1
71,25,50,276.787584,8.649612,815.946732,1
71,25,50,271.021176,8.649612,804.413916,1
71,25,50,273.90438,8.649612,807.29712,1
71,25,50,271.021176,8.649612,813.063528,1
71,25,50,23.065632,8.649612,69.196896,1
72,4,50,271.021176,8.649612,726.567408,1
73,4,50,273.90438,8.649612,789.997896,1
75,59,50,43.24806,20.182428,282.553992,3
76,43,50,273.90438,8.649612,764.04906,1
77,43,50,273.90438,8.649612,735.21702,1
77,43,50,271.021176,8.649612,761.165856,1
77,43,50,273.90438,8.649612,801.530712,1
77,56,50,51.897672,8.649612,155.693016,1
78,31,50,46.131264,23.065632,285.437196,3
78,56,50,69.196896,20.182428,400.765356,3
77,24,50,273.90438,8.649612,801.530712,1
77,24,50,273.90438,8.649612,729.450612,1
77,24,50,123.977772,8.649612,331.56846,1
83,55,50,43.24806,20.182428,250.838748,3
82,44,50,271.021176,8.649612,735.21702,1
81,28,50,14.41602,20.182428,66.313692,2
83,51,50,51.897672,20.182428,302.73642,3
83,44,50,273.90438,8.649612,752.516244,1
91,35,50,80.729712,8.649612,230.65632,1
99,43,50,271.021176,8.649612,729.450612,1
100,43,50,54.780876,8.649612,144.1602,1
103,32,50,43.12071,2.874714,42.993735,1
23,47,50,51.744852,34.496568,401.27486,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling,F06 Incoming others,F29 Silicon powder
11,A30-Q335306-401,5518,5503,99.728162,15,15,1,3,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,25,50,43.24806,8.649612,123.977772,1
10,25,Pass,230.65632,8.649612,637.188084,1
12,16,Pass,23.065632,8.649612,63.430488,1
11,25,Pass,273.90438,8.649612,758.282652,1
13,24,Pass,271.021176,8.649612,746.749836,1
14,24,Pass,271.021176,8.649612,781.348284,1
14,24,Pass,271.021176,8.649612,789.997896,1
14,24,Pass,273.90438,8.649612,810.180324,1
14,24,Pass,271.021176,8.649612,749.63304,1
17,44,Pass,271.021176,8.649612,810.180324,1
17,44,Pass,271.021176,8.649612,810.180324,1
17,44,Pass,57.66408,8.649612,155.693016,1
17,44,Pass,273.90438,8.649612,787.114692,1
17,44,Pass,273.90438,8.649612,813.063528,1
18,44,Pass,273.90438,8.649612,795.764304,1
18,44,Pass,123.977772,8.649612,343.101276,1
18,44,Pass,273.90438,8.649612,723.684204,1
24,42,50,17.299224,20.182428,100.91214,2
29,43,Pass,8.649612,152.809812,392.115744,1
29,43,Pass,8.649612,43.24806,123.977772,1
30,4,Pass,271.021176,8.649612,755.399448,1
31,25,Pass,273.90438,8.649612,807.29712,1
31,25,Pass,271.021176,8.649612,735.21702,1
34,43,Pass,273.90438,8.649612,764.04906,1
34,43,Pass,271.021176,8.649612,778.46508,1
34,43,Pass,273.90438,8.649612,787.114692,1
35,43,Pass,54.780876,8.649612,152.809812,1
34,24,Pass,273.90438,8.649612,772.698672,1
34,24,Pass,123.977772,8.649612,328.685256,1
36,66,50,57.66408,23.065632,369.050112,3
39,44,Pass,273.90438,8.649612,740.983428,1
42,17,Pass,11.532816,8.649612,34.598448,1
48,32,50,43.24806,135.510588,1112.916744,2
50,25,Pass,271.021176,8.649612,726.567408,1
51,25,Pass,271.021176,8.649612,781.348284,1
50,4,Pass,273.90438,8.649612,787.114692,1
50,4,Pass,271.021176,8.649612,792.8811,1
50,4,Pass,271.021176,8.649612,761.165856,1
51,4,Pass,273.90438,8.649612,813.063528,1
51,4,Pass,273.90438,8.649612,792.8811,1
51,4,Pass,158.57622,8.649612,464.195844,1
51,4,Pass,123.977772,8.649612,325.802052,1
56,24,Pass,273.90438,8.649612,720.801,1
57,24,Pass,273.90438,8.649612,758.282652,1
