[Wafer Information]
Wafer Number,9
Wafer ID,A31-Q335306-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100023-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 10:16
End Time,01/09/2024 10:20
Inspection Time,0:03:20
Photo Time,0:04:11
Data Output Time,01/09/2024 10:46

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
9,A31-Q335306-401,5518,5481,99.329467,37,64,35,27,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,39,50,51.897672,23.065632,337.334868,3
3,38,50,43.24806,25.948836,276.787584,3
9,50,50,271.021176,8.649612,810.180324,1
9,50,50,121.094568,8.649612,363.283704,1
9,30,50,273.90438,8.649612,795.764304,1
9,30,50,123.977772,8.649612,322.918848,1
12,31,50,259.48836,8.649612,778.46508,1
12,31,50,276.787584,8.649612,818.829936,1
17,19,50,98.028936,25.948836,602.589636,3
22,52,50,271.021176,8.649612,807.29712,1
22,52,50,271.021176,8.649612,807.29712,1
22,52,50,123.977772,8.649612,351.750888,1
24,36,50,40.364856,23.065632,239.305932,3
23,6,50,271.021176,8.649612,743.866632,1
29,51,50,271.021176,8.649612,715.034592,1
29,51,50,271.021176,8.649612,772.698672,1
32,27,50,57.66408,20.182428,348.867684,3
33,31,50,273.90438,8.649612,775.581876,1
33,31,50,271.021176,8.649612,758.282652,1
35,59,50,51.897672,31.715244,418.06458,3
34,7,50,40.364856,23.065632,253.721952,3
35,53,50,37.481652,8.649612,89.379324,1
43,20,50,43.24806,20.182428,273.90438,3
45,48,50,158.57622,198.941076,4647.724848,3
45,48,50,163.858698,206.979408,5852.880458,3
47,31,50,83.612916,20.182428,516.093516,3
54,5,50,271.021176,8.649612,813.063528,1
54,5,50,271.021176,8.649612,810.180324,1
54,5,50,271.021176,8.649612,810.180324,1
57,7,50,273.90438,8.649612,758.282652,1
57,18,50,43.24806,20.182428,247.955544,3
68,6,50,14.41602,20.182428,66.313692,2
72,39,50,40.364856,25.948836,262.371564,3
73,60,50,51.897672,23.065632,305.619624,3
74,41,50,80.729712,8.649612,227.773116,1
76,11,50,60.547284,23.065632,354.634092,3
81,46,50,63.430488,23.065632,377.699724,3
89,42,50,69.196896,20.182428,420.947784,3
90,52,50,271.021176,8.649612,807.29712,1
90,52,50,271.021176,8.649612,738.100224,1
90,52,50,103.795344,8.649612,279.670788,1
90,46,50,51.897672,20.182428,296.970012,3
92,14,50,43.24806,23.065632,268.137972,3
91,29,50,273.90438,8.649612,813.063528,1
91,29,50,271.021176,8.649612,810.180324,1
91,29,50,95.145732,8.649612,282.553992,1
91,29,50,273.90438,8.649612,795.764304,1
97,46,50,46.131264,20.182428,279.670788,3
92,19,50,8.624142,60.368994,163.376193,3
92,19,50,8.624142,132.236844,295.223647,3
92,19,50,22.997712,218.478264,495.861077,3
92,19,50,8.624142,103.489704,240.764916,3
92,19,50,14.37357,195.480552,441.402346,3
92,19,50,8.624142,66.118422,149.044948,3
92,19,50,22.997712,109.239132,263.694908,3
93,19,50,11.498856,57.49428,140.446201,3
97,23,50,17.248284,333.466824,897.135937,3
97,23,50,8.624142,273.09783,596.179792,3
97,23,50,20.122998,51.744852,192.038683,3
97,23,50,11.498856,140.860986,346.816129,3
97,23,50,25.872426,54.619566,200.63743,3
97,23,50,22.997712,91.990848,306.688643,3
96,23,50,11.498856,66.118422,163.376193,3
96,23,50,8.624142,66.118422,140.446201,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
9,A31-Q335306-401,5518,5495,99.583182,23,35,19,1,15

[Defect List]
