[Wafer Information]
Wafer Number,9
Wafer ID,Q33530619G5
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100034-001A
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 04:29
End Time,01/06/2024 04:36
Inspection Time,0:06:29
Photo Time,0:12:01
Data Output Time,01/18/2024 10:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling,F99 Others
9,Q33530619G5,18570,18230,98.16909,340,596,594,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,64,50,80.729712,11.532816,245.07234,1
6,64,50,80.729712,11.532816,276.787584,1
6,53,50,80.729712,8.649612,230.65632,1
6,53,50,80.729712,11.532816,262.371564,1
6,53,50,80.729712,11.532816,268.137972,1
6,70,50,123.977772,8.649612,354.634092,1
7,50,50,54.780876,31.715244,449.779824,3
8,52,50,66.313692,31.715244,513.210312,3
7,48,50,271.021176,11.532816,761.165856,1
7,48,50,268.137972,11.532816,738.100224,1
9,43,50,164.342628,11.532816,475.72866,1
9,43,50,74.963304,11.532816,250.838748,1
8,54,50,77.846508,11.532816,268.137972,1
8,76,50,72.0801,11.532816,253.721952,1
8,65,50,80.729712,11.532816,271.021176,1
10,74,50,77.846508,8.649612,210.473892,1
14,61,50,43.24806,37.481652,394.998948,3
13,79,50,46.131264,23.065632,276.787584,3
22,52,50,51.897672,28.83204,369.050112,3
23,91,50,54.780876,20.182428,340.218072,3
24,93,50,8.649612,51.897672,135.510588,1
23,94,50,63.430488,20.182428,360.4005,3
24,69,50,8.649612,51.897672,141.276996,1
24,58,50,8.649612,46.131264,123.977772,1
24,48,50,8.649612,149.926608,409.414968,1
24,60,50,11.532816,149.926608,418.06458,1
24,60,50,11.532816,152.809812,521.859924,1
24,59,50,8.649612,149.926608,441.130212,1
24,49,50,11.532816,152.809812,504.5607,1
24,49,50,11.532816,152.809812,527.626332,1
24,49,50,11.532816,152.809812,550.691964,1
26,88,50,8.649612,83.612916,230.65632,1
26,33,50,8.649612,83.612916,242.189136,1
28,58,50,43.24806,28.83204,311.386032,3
26,44,50,8.649612,86.49612,239.305932,1
26,55,50,8.649612,86.49612,245.07234,1
30,70,50,51.897672,11.532816,170.109036,1
29,37,50,265.254768,11.532816,729.450612,1
29,37,50,57.66408,11.532816,158.57622,1
29,26,50,268.137972,11.532816,792.8811,1
29,26,50,271.021176,11.532816,795.764304,1
29,26,50,268.137972,11.532816,781.348284,1
29,26,50,271.021176,11.532816,847.661976,1
28,81,50,268.137972,11.532816,1014.887808,1
28,81,50,268.137972,11.532816,1023.53742,1
28,81,50,123.977772,11.532816,455.546232,1
29,81,50,268.137972,11.532816,709.268184,1
29,81,50,57.66408,11.532816,164.342628,1
28,89,50,63.430488,46.131264,521.859924,3
28,97,50,80.729712,8.649612,236.422728,1
28,97,50,80.729712,8.649612,227.773116,1
30,98,50,57.66408,11.532816,170.109036,1
30,67,50,43.24806,20.182428,247.955544,3
30,24,50,72.0801,46.131264,614.122452,3
31,32,50,80.729712,11.532816,296.970012,1
34,98,50,49.014468,20.182428,294.086808,3
34,95,50,2220.06708,735.21702,46566.627804,1
34,95,50,34.598448,28.83204,340.218072,63
34,95,50,37.481652,227.773116,2606.416416,63
35,95,50,2220.06708,735.21702,46999.108404,1
35,95,50,34.598448,28.83204,345.98448,63
35,95,50,37.481652,227.773116,2664.080496,63
36,95,50,242.189136,735.21702,12841.790616,1
36,95,50,34.598448,227.773116,2652.54768,63
34,94,50,2220.06708,3797.179668,250936.776936,1
34,94,50,86.49612,282.553992,8465.086944,63
34,94,50,34.598448,80.729712,948.574116,63
34,94,50,37.481652,227.773116,2597.766804,63
35,94,50,2220.06708,3797.179668,267852.534804,1
35,94,50,86.49612,285.437196,8545.816656,63
35,94,50,34.598448,83.612916,957.223728,63
35,94,50,37.481652,227.773116,2646.781272,63
36,94,50,242.189136,3797.179668,75064.21614,1
36,94,50,34.598448,80.729712,931.274892,63
36,94,50,34.598448,227.773116,2623.71564,63
34,93,50,2220.06708,224.889912,67761.060408,1
35,93,50,2220.06708,224.889912,71359.299,1
36,93,50,227.773116,224.889912,5002.35894,1
37,28,50,66.313692,25.948836,467.079048,3
37,33,50,43.24806,25.948836,314.269236,3
39,89,50,60.547284,25.948836,406.531764,3
42,102,50,51.897672,20.182428,305.619624,3
44,99,50,51.897672,23.065632,305.619624,3
46,103,50,8.649612,149.926608,403.64856,1
46,102,50,8.649612,43.24806,121.094568,1
46,80,50,8.649612,49.014468,123.977772,1
46,81,50,8.649612,149.926608,432.4806,1
46,92,50,8.649612,149.926608,423.830988,1
46,59,50,8.649612,149.926608,449.779824,1
46,15,50,8.649612,152.809812,452.663028,1
46,14,50,8.649612,49.014468,126.860976,1
46,70,50,8.649612,152.809812,452.663028,1
46,69,50,8.649612,46.131264,129.74418,1
46,36,50,8.649612,51.897672,135.510588,1
46,47,50,8.649612,49.014468,132.627384,1
46,48,50,8.649612,152.809812,452.663028,1
46,27,50,8.649612,149.926608,409.414968,1
46,26,50,8.649612,149.926608,444.013416,1
48,66,50,8.649612,83.612916,222.006708,1
48,55,50,8.649612,83.612916,236.422728,1
48,88,50,8.649612,80.729712,224.889912,1
48,44,50,8.649612,83.612916,227.773116,1
48,22,50,8.649612,83.612916,233.539524,1
48,110,50,8.649612,80.729712,239.305932,1
51,57,50,57.66408,31.715244,435.363804,3
50,108,50,80.729712,8.649612,233.539524,1
50,108,50,80.729712,8.649612,239.305932,1
53,54,50,164.342628,8.649612,487.261476,1
53,54,50,54.780876,8.649612,152.809812,1
53,32,50,164.342628,8.649612,469.962252,1
53,32,50,49.014468,8.649612,135.510588,1
50,15,50,74.963304,11.532816,256.605156,1
50,12,50,8.649612,11.532816,28.83204,1
51,59,50,268.137972,11.532816,859.194792,1
51,59,50,268.137972,11.532816,781.348284,1
51,59,50,268.137972,11.532816,735.21702,1
53,34,50,46.131264,28.83204,366.166908,3
52,59,50,37.481652,8.649612,100.91214,1
51,48,50,152.809812,11.532816,452.663028,1
51,48,50,268.137972,11.532816,764.04906,1
53,21,50,115.32816,8.649612,345.98448,1
53,87,50,95.145732,8.649612,279.670788,1
53,87,50,77.846508,8.649612,224.889912,1
53,87,50,40.364856,8.649612,121.094568,1
53,65,50,164.342628,8.649612,472.845456,1
53,98,50,80.729712,8.649612,224.889912,1
53,98,50,17.299224,8.649612,49.014468,1
51,103,50,31.715244,8.649612,89.379324,1
51,103,50,170.109036,11.532816,493.027884,1
53,109,50,77.846508,8.649612,210.473892,1
53,109,50,77.846508,11.532816,222.006708,1
52,103,50,37.481652,8.649612,98.028936,1
53,76,50,80.729712,8.649612,222.006708,1
53,76,50,46.131264,8.649612,132.627384,1
53,76,50,60.547284,8.649612,181.641852,1
53,76,50,80.729712,8.649612,216.2403,1
58,9,50,43.24806,28.83204,311.386032,3
57,25,50,40.364856,34.598448,328.685256,3
60,22,50,49.014468,37.481652,394.998948,3
62,99,50,66.313692,25.948836,458.429436,3
65,99,50,77.846508,20.182428,455.546232,3
67,14,50,40.364856,25.948836,242.189136,3
68,15,50,8.649612,152.809812,452.663028,1
68,91,50,8.649612,46.131264,129.74418,1
68,92,50,8.649612,149.926608,392.115744,1
68,92,50,8.649612,37.481652,103.795344,1
68,26,50,8.649612,149.926608,438.247008,1
68,25,50,8.649612,51.897672,135.510588,1
68,37,50,8.649612,149.926608,432.4806,1
67,98,50,31.715244,40.364856,265.254768,3
67,98,50,37.393356,48.899004,200.87452,3
68,113,50,8.649612,14.41602,34.598448,1
68,113,50,8.649612,11.532816,28.83204,1
70,88,50,8.649612,80.729712,230.65632,1
70,110,50,8.649612,83.612916,230.65632,1
70,99,50,8.649612,83.612916,236.422728,1
70,77,50,8.649612,83.612916,230.65632,1
70,11,50,8.649612,83.612916,230.65632,1
72,7,50,80.729712,8.649612,216.2403,1
72,53,50,80.729712,11.532816,242.189136,1
72,53,50,80.729712,8.649612,236.422728,1
72,59,50,253.721952,11.532816,789.997896,1
72,59,50,268.137972,8.649612,784.231488,1
72,59,50,123.977772,11.532816,340.218072,1
72,103,50,265.254768,11.532816,735.21702,1
73,103,50,268.137972,8.649612,723.684204,1
72,42,50,80.729712,8.649612,207.590688,1
72,9,50,80.729712,8.649612,224.889912,1
72,9,50,80.729712,8.649612,222.006708,1
74,15,50,11.532816,5.766408,23.065632,1
74,87,50,54.780876,8.649612,161.459424,1
75,87,50,31.715244,8.649612,86.49612,1
74,98,50,63.430488,8.649612,175.875444,1
76,103,50,54.780876,25.948836,354.634092,3
77,95,50,66.313692,20.182428,374.81652,3
90,102,50,8.649612,46.131264,123.977772,1
90,4,50,8.649612,149.926608,392.115744,1
90,15,50,8.649612,149.926608,449.779824,1
90,15,50,8.649612,31.715244,89.379324,1
90,16,50,8.649612,152.809812,397.882152,1
90,36,50,8.649612,51.897672,132.627384,1
90,26,50,8.649612,149.926608,392.115744,1
90,47,50,8.649612,49.014468,129.74418,1
90,14,50,8.649612,49.014468,132.627384,1
90,25,50,8.649612,51.897672,129.74418,1
90,81,50,8.649612,149.926608,406.531764,1
90,58,50,8.649612,51.897672,135.510588,1
92,77,50,8.649612,83.612916,222.006708,1
92,110,50,8.649612,83.612916,239.305932,1
92,66,50,8.649612,28.83204,77.846508,1
92,66,50,8.649612,80.729712,222.006708,1
92,55,50,8.649612,80.729712,216.2403,1
92,33,50,8.649612,80.729712,236.422728,1
92,44,50,8.649612,83.612916,233.539524,1
92,22,50,8.649612,83.612916,236.422728,1
