[Wafer Information]
Wafer Number,17
Wafer ID,A82-Q335306-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100038-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 12:56
End Time,01/09/2024 12:59
Inspection Time,0:03:20
Photo Time,0:03:21
Data Output Time,01/09/2024 01:46

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F82 Top side chipping no damage sensor area,F99 Others
17,A82-Q335306-401,5518,5487,99.438202,31,41,24,11,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,30,50,271.021176,8.649612,769.815468,1
9,30,50,57.66408,8.649612,147.043404,1
10,30,50,271.021176,8.649612,807.29712,1
10,30,50,273.90438,8.649612,723.684204,1
10,30,50,123.977772,8.649612,322.918848,1
11,31,50,271.021176,8.649612,743.866632,1
12,31,50,273.90438,8.649612,772.698672,1
12,31,50,273.90438,8.649612,807.29712,1
25,41,50,54.780876,23.065632,337.334868,3
29,30,50,273.90438,8.649612,810.180324,1
29,30,50,271.021176,8.649612,801.530712,1
27,50,50,95.145732,8.649612,253.721952,1
33,51,50,271.021176,8.649612,740.983428,1
35,12,50,17.299224,23.065632,92.262528,2
35,51,50,95.145732,20.182428,593.940024,3
41,44,50,28.83204,328.685256,2254.665528,2
41,44,50,28.83204,325.802052,2055.724452,2
41,44,50,28.83204,325.802052,2260.431936,2
44,64,50,49.014468,23.065632,282.553992,3
44,61,50,43.24806,23.065632,256.605156,3
47,56,50,28.83204,325.802052,1830.83454,2
47,56,50,28.83204,325.802052,1891.381824,2
47,50,50,273.90438,8.649612,766.932264,1
49,10,50,54.780876,8.649612,141.276996,1
72,44,50,57.66408,23.065632,334.451664,3
74,30,50,273.90438,8.649612,810.180324,1
74,30,50,268.137972,8.649612,789.997896,1
74,30,50,135.510588,8.649612,383.466132,1
78,30,50,8.649612,152.809812,394.998948,1
77,58,50,63.430488,25.948836,455.546232,3
80,8,50,57.66408,8.649612,147.043404,1
87,29,50,273.90438,8.649612,789.997896,1
94,30,50,57.66408,8.649612,149.926608,1
96,30,50,271.021176,8.649612,709.268184,1
9,39,50,8.624142,97.740276,194.904932,1
47,15,50,8.624142,2.874714,8.598747,1
2,31,50,37.371282,51.744852,530.256065,3
8,46,50,51.744852,68.993136,662.103519,3
35,27,50,152.359842,120.737988,862.740949,3
87,47,50,31.621854,51.744852,269.427406,3
91,48,50,60.368994,28.74714,358.281125,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F82 Top side chipping no damage sensor area,F99 Others
17,A82-Q335306-401,5518,5505,99.764407,13,13,9,1,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,30,Pass,271.021176,8.649612,769.815468,1
9,30,Pass,57.66408,8.649612,147.043404,1
10,30,Pass,271.021176,8.649612,807.29712,1
10,30,Pass,273.90438,8.649612,723.684204,1
10,30,Pass,123.977772,8.649612,322.918848,1
11,31,Pass,271.021176,8.649612,743.866632,1
12,31,Pass,273.90438,8.649612,772.698672,1
12,31,Pass,273.90438,8.649612,807.29712,1
25,41,50,54.780876,23.065632,337.334868,3
29,30,Pass,273.90438,8.649612,810.180324,1
29,30,Pass,271.021176,8.649612,801.530712,1
27,50,Pass,95.145732,8.649612,253.721952,1
33,51,Pass,271.021176,8.649612,740.983428,1
35,12,50,17.299224,23.065632,92.262528,2
35,51,50,95.145732,20.182428,593.940024,3
41,44,Pass,28.83204,328.685256,2254.665528,2
41,44,Pass,28.83204,325.802052,2055.724452,2
41,44,Pass,28.83204,325.802052,2260.431936,2
44,64,50,49.014468,23.065632,282.553992,3
44,61,50,43.24806,23.065632,256.605156,3
47,56,Pass,28.83204,325.802052,1830.83454,2
47,56,Pass,28.83204,325.802052,1891.381824,2
47,50,Pass,273.90438,8.649612,766.932264,1
49,10,Pass,54.780876,8.649612,141.276996,1
72,44,50,57.66408,23.065632,334.451664,3
74,30,Pass,273.90438,8.649612,810.180324,1
74,30,Pass,268.137972,8.649612,789.997896,1
74,30,Pass,135.510588,8.649612,383.466132,1
78,30,Pass,8.649612,152.809812,394.998948,1
77,58,50,63.430488,25.948836,455.546232,3
80,8,Pass,57.66408,8.649612,147.043404,1
87,29,Pass,273.90438,8.649612,789.997896,1
94,30,Pass,57.66408,8.649612,149.926608,1
96,30,Pass,271.021176,8.649612,709.268184,1
9,39,50,8.624142,97.740276,194.904932,1
47,15,Pass,8.624142,2.874714,8.598747,1
2,31,50,37.371282,51.744852,530.256065,3
8,46,50,51.744852,68.993136,662.103519,3
35,27,50,152.359842,120.737988,862.740949,3
87,47,50,31.621854,51.744852,269.427406,3
91,48,50,60.368994,28.74714,358.281125,3

