[Wafer Information]
Wafer Number,11
Wafer ID,A85-Q335306-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100038-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 01:26
End Time,01/09/2024 01:29
Inspection Time,0:03:20
Photo Time,0:07:53
Data Output Time,01/09/2024 01:49

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling
11,A85-Q335306-401,5518,5462,98.98514,56,80,16,61,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,40,50,83.612916,8.649612,222.006708,1
6,30,50,273.90438,8.649612,769.815468,1
6,30,50,271.021176,8.649612,769.815468,1
6,30,50,273.90438,8.649612,801.530712,1
6,30,50,230.65632,8.649612,608.356044,1
5,27,50,43.24806,23.065632,276.787584,3
6,40,50,80.729712,8.649612,239.305932,1
15,31,50,268.137972,8.649612,712.151388,1
25,25,50,40.364856,25.948836,256.605156,3
29,30,50,43.24806,8.649612,115.32816,1
34,62,50,43.24806,23.065632,259.48836,3
33,44,50,86.49612,20.182428,536.275944,3
35,15,50,74.963304,23.065632,455.546232,3
35,38,50,25.948836,11.532816,77.846508,1
35,38,50,11.498856,14.37357,34.394988,1
41,44,50,37.481652,31.715244,296.970012,3
43,3,50,83.612916,8.649612,222.006708,1
46,65,50,8.649612,86.49612,245.07234,1
47,18,50,60.547284,23.065632,363.283704,3
57,5,50,34.598448,40.364856,305.619624,3
57,1,50,83.612916,8.649612,242.189136,1
57,23,50,43.24806,25.948836,256.605156,3
57,23,50,80.729712,8.649612,236.422728,1
56,44,50,40.364856,23.065632,242.189136,3
58,67,50,103.795344,25.948836,680.436144,3
59,30,50,98.028936,46.131264,879.37722,3
61,30,50,43.24806,23.065632,262.371564,3
60,23,50,170.109036,8.649612,472.845456,1
60,23,50,80.729712,8.649612,227.773116,1
62,23,50,72.0801,23.065632,429.597396,3
64,7,50,69.196896,23.065632,469.962252,3
63,23,50,51.897672,43.24806,418.06458,3
63,23,50,8.624142,51.744852,114.64996,3
63,67,50,54.780876,20.182428,311.386032,3
65,30,50,43.24806,23.065632,291.203604,3
67,35,50,49.014468,23.065632,302.73642,3
69,20,50,46.131264,20.182428,271.021176,3
69,4,50,54.780876,20.182428,305.619624,3
74,33,50,57.66408,25.948836,354.634092,3
76,61,50,43.24806,49.014468,472.845456,3
76,61,50,51.744852,22.997712,318.153639,3
76,30,50,92.262528,25.948836,562.22478,3
79,48,50,63.430488,23.065632,380.582928,3
10,17,50,2.874714,57.49428,57.32498,1
2,27,50,17.248284,146.610414,415.606105,3
2,27,50,8.624142,71.86785,206.369928,3
2,27,50,31.621854,250.100118,719.428499,3
2,27,50,8.624142,132.236844,338.217382,3
2,27,50,11.498856,123.612702,352.548627,3
2,27,50,8.624142,100.61499,240.764916,3
2,27,50,11.498856,74.742564,200.63743,3
2,27,50,22.997712,51.744852,149.044948,3
2,27,50,8.624142,100.61499,217.834924,3
1,27,50,11.498856,57.49428,157.643695,3
1,40,50,60.368994,34.496568,461.466089,3
3,27,50,14.37357,100.61499,280.892402,3
3,27,50,8.624142,71.86785,189.172434,3
3,27,50,11.498856,221.352978,601.91229,3
3,27,50,11.498856,172.48284,450.001093,3
4,27,50,8.624142,66.118422,160.509944,3
11,44,50,31.621854,68.993136,550.319808,3
26,37,50,8.624142,68.993136,180.573687,3
30,63,50,8.624142,54.619566,126.114956,3
36,52,50,8.624142,54.619566,120.382458,3
