[Wafer Information]
Wafer Number,21
Wafer ID,A80-Q335306-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100038-001A
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 02:34
End Time,01/09/2024 02:37
Inspection Time,0:03:21
Photo Time,0:02:46
Data Output Time,01/09/2024 02:46

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
21,A80-Q335306-401,5518,5498,99.63755,20,28,21,6,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,40,50,273.90438,8.649612,732.333816,1
9,40,50,273.90438,8.649612,749.63304,1
9,40,50,271.021176,8.649612,732.333816,1
9,41,50,8.649612,155.693016,415.181376,1
9,44,50,51.897672,23.065632,366.166908,3
23,19,50,271.021176,8.649612,789.997896,1
23,19,50,271.021176,8.649612,766.932264,1
23,19,50,25.948836,8.649612,66.313692,1
26,7,50,80.729712,8.649612,224.889912,1
35,52,50,43.24806,20.182428,250.838748,3
40,62,50,271.021176,8.649612,778.46508,1
40,64,50,54.780876,8.649612,149.926608,1
40,24,50,40.364856,28.83204,296.970012,3
40,30,50,54.780876,8.649612,149.926608,1
43,19,50,273.90438,8.649612,729.450612,1
43,19,50,273.90438,8.649612,787.114692,1
43,19,50,271.021176,8.649612,769.815468,1
43,8,50,83.612916,8.649612,222.006708,1
45,20,50,51.897672,28.83204,371.933316,3
47,39,50,37.481652,40.364856,331.56846,3
63,62,50,34.598448,8.649612,89.379324,1
67,39,50,273.90438,8.649612,761.165856,1
67,39,50,123.977772,8.649612,325.802052,1
71,63,50,273.90438,8.649612,732.333816,1
71,63,50,11.532816,8.649612,31.715244,1
91,31,50,80.729712,8.649612,222.006708,1
94,46,50,14.41602,20.182428,72.0801,2
9,24,50,48.870138,51.744852,613.377286,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
21,A80-Q335306-401,5518,5511,99.873142,7,7,6,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,40,Pass,273.90438,8.649612,732.333816,1
9,40,Pass,273.90438,8.649612,749.63304,1
9,40,Pass,271.021176,8.649612,732.333816,1
9,41,Pass,8.649612,155.693016,415.181376,1
9,44,50,51.897672,23.065632,366.166908,3
23,19,Pass,271.021176,8.649612,789.997896,1
23,19,Pass,271.021176,8.649612,766.932264,1
23,19,Pass,25.948836,8.649612,66.313692,1
26,7,Pass,80.729712,8.649612,224.889912,1
35,52,50,43.24806,20.182428,250.838748,3
40,62,Pass,271.021176,8.649612,778.46508,1
40,64,Pass,54.780876,8.649612,149.926608,1
40,24,50,40.364856,28.83204,296.970012,3
40,30,Pass,54.780876,8.649612,149.926608,1
43,19,Pass,273.90438,8.649612,729.450612,1
43,19,Pass,273.90438,8.649612,787.114692,1
43,19,Pass,271.021176,8.649612,769.815468,1
43,8,Pass,83.612916,8.649612,222.006708,1
45,20,50,51.897672,28.83204,371.933316,3
47,39,50,37.481652,40.364856,331.56846,3
63,62,Pass,34.598448,8.649612,89.379324,1
67,39,Pass,273.90438,8.649612,761.165856,1
67,39,Pass,123.977772,8.649612,325.802052,1
71,63,Pass,273.90438,8.649612,732.333816,1
71,63,Pass,11.532816,8.649612,31.715244,1
91,31,Pass,80.729712,8.649612,222.006708,1
94,46,50,14.41602,20.182428,72.0801,2
9,24,50,48.870138,51.744852,613.377286,3

