[Wafer Information]
Wafer Number,23
Wafer ID,A02-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100044-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/18/2024 01:50
End Time,01/18/2024 01:54
Inspection Time,0:03:21
Photo Time,0:01:57
Data Output Time,01/18/2024 03:18

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
23,A02-Q335381-401,5518,5484,99.383835,34,46,20,24,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,40,50,40.364856,23.065632,265.254768,3
15,13,50,77.846508,23.065632,472.845456,3
15,45,50,95.145732,23.065632,565.107984,3
16,44,50,51.897672,20.182428,308.502828,3
23,56,50,271.021176,8.649612,810.180324,1
23,56,50,123.977772,8.649612,369.050112,1
24,16,50,49.014468,17.299224,279.670788,3
25,18,50,43.24806,23.065632,276.787584,3
26,8,50,273.90438,8.649612,801.530712,1
26,8,50,273.90438,8.649612,810.180324,1
26,8,50,273.90438,8.649612,807.29712,1
26,23,50,11.532816,8.649612,31.715244,1
26,23,50,83.612916,8.649612,242.189136,1
26,41,50,86.49612,20.182428,518.97672,3
39,58,50,43.24806,37.481652,420.947784,3
43,43,50,83.612916,8.649612,219.123504,1
43,2,50,46.131264,20.182428,253.721952,3
44,27,50,17.299224,20.182428,83.612916,2
47,38,50,14.41602,20.182428,69.196896,2
51,29,50,34.598448,31.715244,273.90438,3
53,14,50,46.131264,23.065632,282.553992,3
58,14,50,72.0801,23.065632,446.89662,3
57,7,50,273.90438,8.649612,807.29712,1
57,7,50,271.021176,8.649612,798.647508,1
57,7,50,273.90438,8.649612,810.180324,1
57,7,50,271.021176,8.649612,789.997896,1
57,42,50,80.729712,23.065632,516.093516,3
57,54,50,271.021176,8.649612,801.530712,1
57,54,50,271.021176,8.649612,807.29712,1
57,54,50,66.313692,8.649612,196.057872,1
63,9,50,60.547284,20.182428,354.634092,3
65,2,50,54.780876,23.065632,340.218072,3
67,59,50,57.66408,28.83204,374.81652,3
67,25,50,34.598448,34.598448,308.502828,3
74,32,50,271.021176,8.649612,778.46508,1
74,32,50,250.838748,8.649612,680.436144,1
75,15,50,46.131264,31.715244,366.166908,3
86,23,50,46.131264,25.948836,308.502828,3
87,22,50,54.780876,8.649612,147.043404,1
89,31,50,49.014468,23.065632,308.502828,3
91,21,50,80.729712,8.649612,222.006708,1
21,11,50,22.997712,11.498856,65.923727,1
21,11,50,8.624142,11.498856,25.796241,1
77,12,50,8.624142,11.498856,17.197494,1
93,20,50,31.621854,2.874714,31.528739,1
93,20,50,17.248284,2.874714,17.197494,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
23,A02-Q335381-401,5518,5495,99.583182,23,24,20,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,40,50,40.364856,23.065632,265.254768,3
15,13,50,77.846508,23.065632,472.845456,3
15,45,50,95.145732,23.065632,565.107984,3
16,44,50,51.897672,20.182428,308.502828,3
23,56,Pass,271.021176,8.649612,810.180324,1
23,56,Pass,123.977772,8.649612,369.050112,1
24,16,50,49.014468,17.299224,279.670788,3
25,18,50,43.24806,23.065632,276.787584,3
26,8,Pass,273.90438,8.649612,801.530712,1
26,8,Pass,273.90438,8.649612,810.180324,1
26,8,Pass,273.90438,8.649612,807.29712,1
26,23,Pass,11.532816,8.649612,31.715244,1
26,23,Pass,83.612916,8.649612,242.189136,1
26,41,50,86.49612,20.182428,518.97672,3
39,58,50,43.24806,37.481652,420.947784,3
43,43,Pass,83.612916,8.649612,219.123504,1
43,2,50,46.131264,20.182428,253.721952,3
44,27,50,17.299224,20.182428,83.612916,2
47,38,50,14.41602,20.182428,69.196896,2
51,29,50,34.598448,31.715244,273.90438,3
53,14,50,46.131264,23.065632,282.553992,3
58,14,50,72.0801,23.065632,446.89662,3
57,7,Pass,273.90438,8.649612,807.29712,1
57,7,Pass,271.021176,8.649612,798.647508,1
57,7,Pass,273.90438,8.649612,810.180324,1
57,7,Pass,271.021176,8.649612,789.997896,1
57,42,50,80.729712,23.065632,516.093516,3
57,54,Pass,271.021176,8.649612,801.530712,1
57,54,Pass,271.021176,8.649612,807.29712,1
57,54,Pass,66.313692,8.649612,196.057872,1
63,9,50,60.547284,20.182428,354.634092,3
65,2,50,54.780876,23.065632,340.218072,3
67,59,50,57.66408,28.83204,374.81652,3
67,25,50,34.598448,34.598448,308.502828,3
74,32,Pass,271.021176,8.649612,778.46508,1
74,32,Pass,250.838748,8.649612,680.436144,1
75,15,50,46.131264,31.715244,366.166908,3
86,23,50,46.131264,25.948836,308.502828,3
87,22,Pass,54.780876,8.649612,147.043404,1
89,31,50,49.014468,23.065632,308.502828,3
91,21,Pass,80.729712,8.649612,222.006708,1
21,11,50,22.997712,11.498856,65.923727,1
21,11,50,8.624142,11.498856,25.796241,1
77,12,Pass,8.624142,11.498856,17.197494,1
93,20,Pass,31.621854,2.874714,31.528739,1
93,20,Pass,17.248284,2.874714,17.197494,1

