[Wafer Information]
Wafer Number,15
Wafer ID,A131-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100050-001R
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 01:53
End Time,01/30/2024 01:57
Inspection Time,0:03:21
Photo Time,0:03:53
Data Output Time,01/30/2024 02:35

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
15,A131-Q335381-401,5518,5490,99.49257,28,32,19,6,7

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,42,50,161.459424,8.649612,467.079048,1
18,27,50,40.364856,25.948836,294.086808,3
24,6,50,51.897672,17.299224,288.3204,3
23,33,50,83.612916,8.649612,222.006708,1
27,30,50,51.897672,23.065632,308.502828,3
32,22,50,239.305932,8.649612,689.085756,1
36,31,50,51.897672,25.948836,325.802052,3
40,61,50,14.41602,5.766408,28.83204,1
43,6,50,28.83204,325.802052,2113.388532,2
43,6,50,25.948836,325.802052,1920.213864,2
43,6,50,28.83204,322.918848,2188.351836,2
42,6,50,28.83204,322.918848,1957.695516,2
42,1,50,25.948836,14.41602,89.379324,1
55,28,50,20.182428,23.065632,118.211364,2
56,35,50,40.364856,28.83204,311.386032,3
57,64,50,54.780876,8.649612,138.393792,1
58,62,50,20.182428,14.41602,86.49612,2
57,37,50,28.83204,320.035644,1836.600948,2
60,20,50,271.021176,8.649612,807.29712,1
60,20,50,271.021176,8.649612,813.063528,1
60,20,50,268.137972,8.649612,804.413916,1
71,13,50,43.24806,20.182428,253.721952,3
74,44,50,54.780876,8.649612,144.1602,1
77,22,50,57.66408,8.649612,144.1602,1
30,40,50,5.749428,2.874714,5.732498,1
41,14,50,2.874714,8.624142,8.598747,1
49,55,50,5.749428,2.874714,5.732498,1
52,62,50,2.874714,8.624142,8.598747,1
61,44,50,71.86785,8.624142,114.64996,1
72,48,50,2.874714,5.749428,5.732498,1
72,62,50,8.624142,8.624142,22.929992,1
6,35,50,14.37357,11.498856,54.458731,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others
15,A131-Q335381-401,5518,5506,99.78253,12,12,6,5,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,42,Pass,161.459424,8.649612,467.079048,1
18,27,50,40.364856,25.948836,294.086808,3
24,6,50,51.897672,17.299224,288.3204,3
23,33,Pass,83.612916,8.649612,222.006708,1
27,30,50,51.897672,23.065632,308.502828,3
32,22,Pass,239.305932,8.649612,689.085756,1
36,31,50,51.897672,25.948836,325.802052,3
40,61,50,14.41602,5.766408,28.83204,1
43,6,Pass,28.83204,325.802052,2113.388532,2
43,6,Pass,25.948836,325.802052,1920.213864,2
43,6,Pass,28.83204,322.918848,2188.351836,2
42,6,Pass,28.83204,322.918848,1957.695516,2
42,1,50,25.948836,14.41602,89.379324,1
55,28,Pass,20.182428,23.065632,118.211364,2
56,35,50,40.364856,28.83204,311.386032,3
57,64,Pass,54.780876,8.649612,138.393792,1
58,62,50,20.182428,14.41602,86.49612,2
57,37,50,28.83204,320.035644,1836.600948,2
60,20,Pass,271.021176,8.649612,807.29712,1
60,20,Pass,271.021176,8.649612,813.063528,1
60,20,Pass,268.137972,8.649612,804.413916,1
71,13,50,43.24806,20.182428,253.721952,3
74,44,Pass,54.780876,8.649612,144.1602,1
77,22,Pass,57.66408,8.649612,144.1602,1
30,40,Pass,5.749428,2.874714,5.732498,1
41,14,Pass,2.874714,8.624142,8.598747,1
49,55,Pass,5.749428,2.874714,5.732498,1
52,62,Pass,2.874714,8.624142,8.598747,1
61,44,Pass,71.86785,8.624142,114.64996,1
72,48,Pass,2.874714,5.749428,5.732498,1
72,62,50,8.624142,8.624142,22.929992,1
6,35,50,14.37357,11.498856,54.458731,1

