[Wafer Information]
Wafer Number,11
Wafer ID,Q335381-11E2
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100052-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 12:44
End Time,01/07/2024 12:50
Inspection Time,0:06:43
Photo Time,0:09:57
Data Output Time,01/07/2024 02:54

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
11,Q335381-11E2,19545,19386,99.186493,159,186,186

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
14,93,50,63.430488,20.182428,380.582928,3
17,58,50,11.532816,5.766408,23.065632,1
16,94,50,106.678548,23.065632,686.202552,3
17,37,50,46.131264,43.24806,478.611864,3
19,91,50,60.547284,25.948836,397.882152,3
22,90,50,103.795344,25.948836,689.085756,3
24,58,50,8.649612,51.897672,135.510588,1
24,58,50,2.876412,8.629236,8.608908,1
24,69,50,8.649612,49.014468,126.860976,1
24,42,50,23.065632,31.715244,147.043404,1
24,42,50,28.76412,40.269768,163.569252,1
26,66,50,8.649612,51.897672,141.276996,1
27,58,50,43.24806,8.649612,109.561752,1
27,95,50,77.846508,8.649612,227.773116,1
27,95,50,77.846508,8.649612,233.539524,1
27,95,50,164.342628,8.649612,490.14468,1
27,95,50,63.430488,8.649612,181.641852,1
27,85,50,80.729712,8.649612,222.006708,1
27,85,50,63.430488,8.649612,172.99224,1
27,85,50,77.846508,8.649612,210.473892,1
28,53,50,80.729712,8.649612,222.006708,1
28,75,50,80.729712,8.649612,219.123504,1
28,64,50,80.729712,8.649612,224.889912,1
32,39,50,43.24806,25.948836,250.838748,3
34,87,50,14.41602,5.766408,28.83204,1
41,99,50,49.014468,23.065632,314.269236,3
50,105,50,63.430488,25.948836,435.363804,3
50,31,50,69.196896,8.649612,196.057872,1
53,92,50,43.24806,49.014468,464.195844,3
52,43,50,57.66408,8.649612,158.57622,1
52,76,50,57.66408,8.649612,164.342628,1
52,87,50,57.66408,8.649612,161.459424,1
52,109,50,46.131264,8.649612,126.860976,1
53,103,50,72.0801,25.948836,507.443904,3
56,98,50,66.313692,23.065632,403.64856,3
54,60,50,54.780876,20.182428,317.15244,3
60,109,50,69.196896,23.065632,461.31264,3
68,102,50,8.649612,46.131264,118.211364,1
69,23,50,34.598448,43.24806,452.663028,3
69,23,50,40.269768,51.775416,579.666472,3
70,22,50,8.649612,83.612916,236.422728,1
75,114,50,49.014468,20.182428,302.73642,3
75,82,50,66.313692,25.948836,412.298172,3
75,43,50,77.846508,8.649612,213.357096,1
78,78,50,46.131264,20.182428,262.371564,3
88,107,50,46.131264,23.065632,256.605156,3
90,102,50,8.649612,51.897672,129.74418,1
90,81,50,8.649612,152.809812,409.414968,1
90,26,50,8.649612,152.809812,449.779824,1
93,118,50,40.364856,43.24806,377.699724,3
94,75,50,80.729712,8.649612,219.123504,1
95,59,50,268.137972,8.649612,720.801,1
94,4,50,123.977772,11.532816,403.64856,1
97,98,50,167.225832,8.649612,446.89662,1
97,92,50,43.24806,20.182428,268.137972,3
97,95,50,46.131264,23.065632,325.802052,3
97,87,50,77.846508,8.649612,219.123504,1
98,83,50,14.41602,51.897672,193.174668,1
98,83,50,17.258472,60.404652,344.35632,1
98,83,50,20.134884,48.899004,258.26724,1
97,54,50,40.364856,8.649612,121.094568,1
97,54,50,80.729712,11.532816,242.189136,1
97,54,50,77.846508,8.649612,230.65632,1
97,54,50,164.342628,8.649612,464.195844,1
109,56,50,8.649612,14.41602,31.715244,1
116,31,50,80.729712,8.649612,236.422728,1
116,31,50,80.729712,8.649612,222.006708,1
116,20,50,17.299224,8.649612,51.897672,1
121,51,50,69.196896,23.065632,444.013416,3
128,23,50,5.766408,11.532816,23.065632,1
134,80,50,8.649612,60.547284,152.809812,1
136,99,50,8.649612,86.49612,239.305932,1
136,33,50,8.649612,86.49612,227.773116,1
139,79,50,72.0801,23.065632,449.779824,3
140,65,50,43.24806,20.182428,273.90438,3
149,87,50,66.313692,20.182428,383.466132,3
152,80,50,60.547284,25.948836,389.23254,3
156,92,50,8.649612,63.430488,172.99224,1
156,92,50,8.649612,49.014468,118.211364,1
161,103,50,271.021176,8.649612,706.38498,1
161,103,50,268.137972,11.532816,752.516244,1
