[Wafer Information]
Wafer Number,11
Wafer ID,A122-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100056-001A
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/29/2024 09:12
End Time,01/29/2024 09:16
Inspection Time,0:03:20
Photo Time,0:04:08
Data Output Time,01/29/2024 09:54

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
11,A122-Q335381-401,5518,5467,99.075752,51,71,40,18,13

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,47,50,51.897672,20.182428,291.203604,3
10,47,50,43.24806,23.065632,285.437196,3
14,31,50,66.313692,23.065632,412.298172,3
15,51,50,46.131264,20.182428,291.203604,3
16,44,50,28.83204,325.802052,1989.41076,2
19,17,50,51.897672,17.299224,291.203604,3
19,18,50,28.83204,46.131264,320.035644,3
21,59,50,43.24806,25.948836,308.502828,3
24,52,50,46.131264,23.065632,317.15244,3
25,28,50,271.021176,8.649612,789.997896,1
28,47,50,63.430488,25.948836,441.130212,3
28,18,50,46.131264,23.065632,256.605156,3
27,4,50,123.977772,8.649612,331.56846,1
33,4,50,60.547284,34.598448,472.845456,3
37,33,50,51.897672,20.182428,314.269236,3
41,46,50,46.131264,28.83204,268.137972,2
42,11,50,43.24806,28.83204,308.502828,3
46,47,50,271.021176,8.649612,766.932264,1
46,47,50,273.90438,8.649612,804.413916,1
52,10,50,40.364856,25.948836,268.137972,3
54,32,50,389.23254,242.189136,5342.577012,2
54,32,50,386.349336,426.714192,4492.031832,3
54,32,50,5.766408,14.41602,28.83204,1
54,32,50,25.872426,14.37357,65.923727,1
54,32,50,28.74714,17.248284,74.522474,1
54,32,50,17.248284,5.749428,28.66249,1
54,32,50,112.113846,123.612702,1693.953159,3
54,32,50,11.498856,31.621854,123.248707,1
54,32,50,482.951952,528.947376,8830.913169,3
53,32,50,890.910036,331.56846,7182.061164,3
53,32,50,233.539524,167.225832,1957.695516,3
53,32,50,17.248284,17.248284,45.859984,1
53,32,50,928.532622,379.462248,14038.887602,3
54,19,50,25.948836,322.918848,1951.929108,2
54,67,50,40.364856,34.598448,360.4005,3
56,6,50,37.481652,8.649612,100.91214,1
55,9,50,43.24806,20.182428,253.721952,3
58,11,50,40.364856,23.065632,250.838748,3
56,52,50,49.014468,23.065632,302.73642,3
58,22,50,63.430488,25.948836,444.013416,3
57,67,50,46.131264,23.065632,271.021176,3
63,28,50,54.780876,8.649612,135.510588,1
62,30,50,80.729712,20.182428,510.327108,3
62,21,50,46.131264,20.182428,250.838748,3
63,53,50,43.24806,25.948836,308.502828,3
63,30,50,49.014468,25.948836,369.050112,3
64,26,50,25.948836,328.685256,2064.374064,2
64,26,50,28.83204,325.802052,2271.964752,2
64,26,50,28.83204,325.802052,2188.351836,2
63,26,50,28.83204,325.802052,1853.900172,2
63,26,50,28.83204,325.802052,1969.228332,2
63,26,50,28.83204,325.802052,2087.439696,2
66,47,50,273.90438,8.649612,815.946732,1
66,42,50,46.131264,20.182428,256.605156,3
66,21,50,43.24806,20.182428,259.48836,3
69,29,50,43.24806,23.065632,253.721952,3
72,29,50,43.24806,20.182428,230.65632,3
73,30,50,28.83204,325.802052,1905.797844,2
73,30,50,28.83204,328.685256,1900.031436,2
73,30,50,28.83204,328.685256,2139.337368,2
74,30,50,28.83204,325.802052,2136.454164,2
74,30,50,28.83204,328.685256,2257.548732,2
74,30,50,28.83204,322.918848,2142.220572,2
75,13,50,106.678548,23.065632,660.253716,3
76,58,50,43.24806,23.065632,273.90438,3
77,42,50,60.547284,20.182428,343.101276,3
81,12,50,28.83204,322.918848,1859.66658,2
83,23,50,109.561752,20.182428,645.837696,3
97,40,50,14.41602,20.182428,72.0801,2
46,45,50,34.496568,86.24142,765.288483,3
86,10,50,57.49428,63.243708,567.517302,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
11,A122-Q335381-401,5518,5482,99.34759,36,36,34,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,47,50,51.897672,20.182428,291.203604,3
10,47,50,43.24806,23.065632,285.437196,3
14,31,50,66.313692,23.065632,412.298172,3
15,51,50,46.131264,20.182428,291.203604,3
16,44,Pass,28.83204,325.802052,1989.41076,2
19,17,50,51.897672,17.299224,291.203604,3
19,18,50,28.83204,46.131264,320.035644,3
21,59,50,43.24806,25.948836,308.502828,3
24,52,50,46.131264,23.065632,317.15244,3
25,28,Pass,271.021176,8.649612,789.997896,1
28,47,50,63.430488,25.948836,441.130212,3
28,18,50,46.131264,23.065632,256.605156,3
27,4,Pass,123.977772,8.649612,331.56846,1
33,4,50,60.547284,34.598448,472.845456,3
37,33,50,51.897672,20.182428,314.269236,3
41,46,50,46.131264,28.83204,268.137972,2
42,11,50,43.24806,28.83204,308.502828,3
46,47,Pass,271.021176,8.649612,766.932264,1
46,47,Pass,273.90438,8.649612,804.413916,1
52,10,50,40.364856,25.948836,268.137972,3
54,32,Pass,389.23254,242.189136,5342.577012,2
54,32,Pass,386.349336,426.714192,4492.031832,3
54,32,Pass,5.766408,14.41602,28.83204,1
54,32,Pass,25.872426,14.37357,65.923727,1
54,32,Pass,28.74714,17.248284,74.522474,1
54,32,Pass,17.248284,5.749428,28.66249,1
54,32,Pass,112.113846,123.612702,1693.953159,3
54,32,Pass,11.498856,31.621854,123.248707,1
54,32,Pass,482.951952,528.947376,8830.913169,3
53,32,Pass,890.910036,331.56846,7182.061164,3
53,32,Pass,233.539524,167.225832,1957.695516,3
53,32,Pass,17.248284,17.248284,45.859984,1
53,32,Pass,928.532622,379.462248,14038.887602,3
54,19,Pass,25.948836,322.918848,1951.929108,2
