[Wafer Information]
Wafer Number,11
Wafer ID,Q335381-17A4
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100058-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 08:47
End Time,01/06/2024 08:54
Inspection Time,0:06:44
Photo Time,0:10:02
Data Output Time,01/07/2024 12:06

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling,F99 Others
11,Q335381-17A4,19926,19740,99.066546,186,203,201,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,74,50,60.547284,20.182428,357.517296,3
6,74,50,8.629236,8.629236,25.826724,1
13,61,50,43.24806,25.948836,288.3204,3
18,44,50,43.24806,28.83204,296.970012,3
18,65,50,43.24806,23.065632,276.787584,3
21,94,50,28.83204,40.364856,311.386032,3
21,54,50,49.014468,28.83204,317.15244,3
25,92,50,63.430488,23.065632,432.4806,3
27,26,50,37.481652,8.649612,103.795344,1
27,28,50,43.24806,37.481652,406.531764,3
27,49,50,77.846508,8.649612,224.889912,1
27,49,50,80.729712,8.649612,213.357096,1
26,66,50,8.649612,63.430488,181.641852,1
29,96,50,103.795344,25.948836,686.202552,3
28,97,50,80.729712,8.649612,210.473892,1
28,53,50,80.729712,8.649612,239.305932,1
28,53,50,80.729712,11.532816,242.189136,1
30,54,50,57.66408,8.649612,161.459424,1
31,54,50,72.0801,8.649612,198.941076,1
30,73,50,49.014468,25.948836,314.269236,3
31,95,50,54.780876,23.065632,337.334868,3
34,54,50,49.014468,25.948836,320.035644,3
35,25,50,46.131264,23.065632,276.787584,3
36,39,50,60.547284,37.481652,493.027884,3
39,90,50,60.547284,23.065632,377.699724,3
39,16,50,40.364856,34.598448,348.867684,3
41,53,50,43.24806,31.715244,366.166908,3
41,102,50,60.547284,25.948836,383.466132,3
46,52,50,72.0801,28.83204,504.5607,3
46,17,50,43.24806,23.065632,256.605156,3
45,89,50,66.313692,23.065632,420.947784,3
48,104,50,43.24806,20.182428,259.48836,3
48,66,50,8.649612,83.612916,227.773116,1
48,56,50,54.780876,25.948836,371.933316,3
49,28,50,51.897672,25.948836,357.517296,3
50,59,50,49.014468,25.948836,302.73642,3
52,66,50,40.364856,23.065632,250.838748,3
50,20,50,80.729712,8.649612,224.889912,1
52,15,50,14.41602,5.766408,28.83204,1
52,76,50,57.66408,8.649612,170.109036,1
53,76,50,77.846508,8.649612,204.707484,1
52,43,50,57.66408,8.649612,161.459424,1
52,87,50,74.963304,8.649612,196.057872,1
53,95,50,77.846508,49.014468,761.165856,3
57,19,50,46.131264,25.948836,343.101276,3
58,10,50,54.780876,28.83204,389.23254,3
58,15,50,43.24806,23.065632,256.605156,3
65,8,50,49.014468,28.83204,371.933316,3
64,100,50,72.0801,23.065632,409.414968,3
68,91,50,8.649612,34.598448,86.49612,1
69,92,50,43.24806,25.948836,265.254768,3
70,118,50,80.729712,8.649612,233.539524,1
70,118,50,23.065632,8.649612,69.196896,1
70,12,50,43.24806,28.83204,265.254768,3
74,103,50,20.182428,8.649612,54.780876,1
75,10,50,28.83204,8.649612,83.612916,1
75,43,50,80.729712,11.532816,239.305932,1
79,112,50,46.131264,43.24806,438.247008,3
78,104,50,28.83204,8.649612,72.0801,1
79,103,50,51.897672,20.182428,322.918848,3
81,90,50,54.780876,23.065632,322.918848,3
83,117,50,46.131264,31.715244,351.750888,3
90,97,50,8.649612,83.612916,236.422728,1
90,15,50,8.649612,46.131264,121.094568,1
93,60,50,25.948836,8.649612,72.0801,1
92,110,50,8.649612,86.49612,233.539524,1
97,76,50,51.897672,8.649612,141.276996,1
97,76,50,167.225832,8.649612,452.663028,1
97,76,50,66.313692,8.649612,175.875444,1
95,59,50,40.364856,8.649612,106.678548,1
96,81,50,17.299224,5.766408,34.598448,1
97,109,50,49.014468,8.649612,141.276996,1
97,109,50,63.430488,8.649612,181.641852,1
97,109,50,77.846508,8.649612,207.590688,1
96,112,50,43.24806,40.364856,380.582928,3
97,113,50,46.131264,20.182428,256.605156,3
97,87,50,80.729712,8.649612,219.123504,1
97,54,50,34.598448,8.649612,103.795344,1
97,54,50,80.729712,8.649612,233.539524,1
97,54,50,77.846508,8.649612,224.889912,1
99,89,50,51.897672,49.014468,567.991188,3
103,115,50,40.364856,31.715244,371.933316,3
112,59,50,8.649612,57.66408,147.043404,1
110,59,50,89.379324,23.065632,553.575168,3
