[Wafer Information]
Wafer Number,7
Wafer ID,A65-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100059-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/18/2024 10:36
End Time,01/18/2024 10:39
Inspection Time,0:03:20
Photo Time,0:01:58
Data Output Time,01/18/2024 11:28

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling
7,A65-Q335381-401,5518,5482,99.34759,36,81,33,7,8,33

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,33,50,83.612916,8.649612,239.305932,1
12,37,50,17.299224,20.182428,86.49612,2
16,30,50,43.24806,23.065632,265.254768,3
18,21,50,14.41602,20.182428,86.49612,2
24,27,50,2185.468632,3765.464424,23884.461936,1
24,27,50,928.391688,196.057872,19156.007376,63
24,27,50,115.32816,109.561752,1744.33842,4
24,27,50,444.013416,449.779824,54339.745788,2
24,27,50,118.211364,112.444956,1894.265028,4
24,27,50,118.211364,109.561752,1853.900172,4
24,27,50,135.510588,40.364856,1562.696568,63
24,27,50,115.32816,109.561752,1781.820072,4
24,27,50,118.211364,109.561752,1943.279496,4
24,27,50,118.211364,109.561752,1819.301724,4
24,27,50,400.765356,426.714192,57603.532716,2
24,27,50,118.211364,109.561752,1813.535316,4
24,27,50,118.211364,109.561752,1848.133764,4
24,27,50,118.211364,109.561752,1816.41852,4
24,27,50,181.641852,138.393792,3309.918192,63
24,27,50,98.028936,144.1602,2375.760096,63
24,27,50,118.211364,109.561752,1793.352888,4
24,27,50,400.765356,423.830988,57629.481552,2
24,27,50,115.32816,106.678548,1695.323952,4
24,27,50,115.32816,103.795344,1689.557544,4
24,27,50,118.211364,109.561752,1750.104828,4
24,27,50,118.211364,106.678548,1833.717744,4
23,27,50,879.37722,3762.58122,11013.83928,1
23,27,50,118.211364,112.444956,1851.016968,4
23,27,50,115.32816,109.561752,1807.768908,4
23,27,50,118.211364,109.561752,1819.301724,4
23,27,50,115.32816,112.444956,1891.381824,4
23,27,50,118.211364,106.678548,1816.41852,4
23,27,50,400.765356,423.830988,57407.474844,2
23,27,50,118.211364,109.561752,1799.119296,4
23,27,50,115.32816,109.561752,1827.951336,4
23,27,50,115.32816,109.561752,1830.83454,4
23,27,50,181.641852,147.043404,3295.502172,63
25,27,50,60.547284,3762.58122,7848.081288,1
