[Wafer Information]
Wafer Number,15
Wafer ID,A83-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100065-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 08:57
End Time,01/07/2024 09:00
Inspection Time,0:03:20
Photo Time,0:05:55
Data Output Time,01/08/2024 12:03

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others,F07 Incoming microlens periphery peeling,F13 Pad area damage
15,A83-Q335381-401,5518,5494,99.56506,24,41,13,21,2,4,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,22,50,273.90438,8.649612,781.348284,1
12,22,50,271.021176,8.649612,813.063528,1
21,39,50,43.24806,20.182428,253.721952,3
24,10,50,72.0801,20.182428,438.247008,3
43,26,50,43.24806,23.065632,265.254768,3
47,62,50,43.24806,25.948836,351.750888,3
53,15,50,43.24806,23.065632,245.07234,3
57,44,50,273.90438,8.649612,815.946732,1
57,44,50,273.90438,8.649612,813.063528,1
58,33,50,51.897672,25.948836,337.334868,3
57,37,50,14.41602,20.182428,83.612916,2
56,19,50,60.547284,20.182428,348.867684,3
74,15,50,43.24806,23.065632,253.721952,3
74,37,50,20.182428,8.649612,57.66408,1
80,44,50,271.021176,8.649612,778.46508,1
80,44,50,271.021176,8.649612,784.231488,1
91,33,50,14.41602,20.182428,83.612916,2
94,34,50,80.729712,8.649612,224.889912,1
97,45,50,40.364856,25.948836,259.48836,3
100,43,50,187.40826,8.649612,498.794292,1
44,24,50,8.624142,2.874714,8.598747,1
15,39,50,43.12071,60.368994,323.886137,3
15,39,50,57.49428,63.243708,750.957238,3
19,10,50,8.624142,68.993136,192.038683,3
19,10,50,11.498856,112.113846,272.293655,3
19,10,50,8.624142,57.49428,137.579952,3
19,10,50,8.624142,77.617278,177.707438,3
19,10,50,8.624142,135.111558,283.758651,3
19,31,50,402.45996,66.118422,8845.244414,3
19,31,50,1658.709978,836.541774,11545.250972,1
20,31,50,11.498856,819.29349,3267.52386,1
20,31,50,402.45996,66.118422,8853.843161,3
20,31,50,2187.657354,836.541774,14182.200052,1
19,30,50,1658.709978,3259.925676,19714.060622,1
19,30,50,405.334674,428.332386,58849.824468,3
19,30,50,402.45996,428.332386,58732.308259,3
20,30,50,2190.532068,3259.925676,36725.248437,1
20,30,50,86.24142,48.870138,1301.277046,63
20,30,50,80.491992,273.09783,7265.941215,63
20,30,50,405.334674,428.332386,58878.486958,3
20,30,50,402.45996,428.332386,58915.748195,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others,F07 Incoming microlens periphery peeling,F13 Pad area damage
15,A83-Q335381-401,5518,5503,99.728162,15,21,10,3,4,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,22,Pass,273.90438,8.649612,781.348284,1
12,22,Pass,271.021176,8.649612,813.063528,1
21,39,50,43.24806,20.182428,253.721952,3
24,10,50,72.0801,20.182428,438.247008,3
43,26,50,43.24806,23.065632,265.254768,3
47,62,50,43.24806,25.948836,351.750888,3
53,15,50,43.24806,23.065632,245.07234,3
57,44,Pass,273.90438,8.649612,815.946732,1
57,44,Pass,273.90438,8.649612,813.063528,1
58,33,50,51.897672,25.948836,337.334868,3
57,37,50,14.41602,20.182428,83.612916,2
56,19,50,60.547284,20.182428,348.867684,3
74,15,50,43.24806,23.065632,253.721952,3
74,37,Pass,20.182428,8.649612,57.66408,1
80,44,Pass,271.021176,8.649612,778.46508,1
80,44,Pass,271.021176,8.649612,784.231488,1
91,33,50,14.41602,20.182428,83.612916,2
94,34,Pass,80.729712,8.649612,224.889912,1
97,45,50,40.364856,25.948836,259.48836,3
100,43,Pass,187.40826,8.649612,498.794292,1
44,24,Pass,8.624142,2.874714,8.598747,1
15,39,50,43.12071,60.368994,323.886137,3
15,39,50,57.49428,63.243708,750.957238,3
19,10,Pass,8.624142,68.993136,192.038683,3
19,10,Pass,11.498856,112.113846,272.293655,3
19,10,50,8.624142,57.49428,137.579952,3
19,10,Pass,8.624142,77.617278,177.707438,3
19,10,Pass,8.624142,135.111558,283.758651,3
19,31,Pass,402.45996,66.118422,8845.244414,3
19,31,Pass,1658.709978,836.541774,11545.250972,1
20,31,Pass,11.498856,819.29349,3267.52386,1
20,31,Pass,402.45996,66.118422,8853.843161,3
20,31,Pass,2187.657354,836.541774,14182.200052,1
19,30,50,1658.709978,3259.925676,19714.060622,1
19,30,Pass,405.334674,428.332386,58849.824468,3
19,30,50,402.45996,428.332386,58732.308259,3
20,30,50,2190.532068,3259.925676,36725.248437,1
20,30,50,86.24142,48.870138,1301.277046,63
20,30,50,80.491992,273.09783,7265.941215,63
20,30,50,405.334674,428.332386,58878.486958,3
20,30,50,402.45996,428.332386,58915.748195,3

