[Wafer Information]
Wafer Number,25
Wafer ID,A86-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100065-009
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 11:38
End Time,01/07/2024 11:42
Inspection Time,0:03:20
Photo Time,0:12:46
Data Output Time,01/08/2024 12:16

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F99 Others
25,A86-Q335381-401,5518,5459,98.930772,59,237,17,216,3,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,40,50,69.196896,20.182428,429.597396,3
3,28,50,74.963304,23.065632,484.378272,3
3,28,50,25.872426,28.74714,232.166169,1
3,28,50,25.872426,28.74714,237.898667,1
3,28,50,28.74714,1307.99487,12875.190508,1
3,28,50,28.74714,747.42564,7300.336203,1
3,28,50,22.997712,28.74714,192.038683,1
3,28,50,22.997712,28.74714,189.172434,1
3,28,50,28.74714,1727.703114,17039.850305,1
3,28,50,28.74714,298.970256,2854.784004,1
5,36,50,46.131264,17.299224,239.305932,3
8,49,50,273.90438,8.649612,738.100224,1
9,49,50,276.787584,8.649612,720.801,1
9,49,50,158.57622,8.649612,415.181376,1
9,49,50,74.963304,8.649612,201.82428,1
9,49,50,213.357096,8.649612,596.823228,1
10,47,50,43.24806,23.065632,245.07234,3
9,41,50,66.313692,20.182428,380.582928,3
12,44,50,49.014468,23.065632,299.853216,3
34,36,50,43.24806,23.065632,271.021176,3
41,12,50,60.547284,23.065632,418.06458,3
40,25,50,271.021176,8.649612,766.932264,1
40,25,50,213.357096,8.649612,605.47284,1
40,25,50,51.897672,8.649612,141.276996,1
40,25,50,268.137972,8.649612,795.764304,1
40,25,50,89.379324,8.649612,250.838748,1
45,63,50,11.532816,8.649612,34.598448,1
47,61,50,43.24806,17.299224,233.539524,3
53,8,50,100.91214,23.065632,622.772064,3
60,65,50,11.532816,8.649612,34.598448,1
60,25,50,271.021176,8.649612,740.983428,1
60,25,50,271.021176,8.649612,732.333816,1
64,13,50,31.715244,43.24806,294.086808,3
63,36,50,100.91214,23.065632,666.020124,3
66,48,50,31.715244,8.649612,77.846508,1
72,12,50,49.014468,20.182428,282.553992,3
76,23,50,17.299224,20.182428,77.846508,2
86,12,50,51.897672,25.948836,340.218072,3
3,29,50,8.624142,2.874714,8.598747,1
3,29,50,45.995424,2.874714,45.859984,1
3,29,50,28.74714,2.874714,28.66249,1
3,24,50,28.74714,1762.199682,17157.366514,1
3,24,50,2.874714,63.243708,63.057478,1
3,24,50,2.874714,43.12071,42.993735,1
3,24,50,2.874714,43.12071,42.993735,1
3,24,50,28.74714,773.298066,7414.986163,1
3,24,50,20.122998,28.74714,143.31245,1
3,24,50,31.621854,28.74714,266.561157,1
3,24,50,17.248284,28.74714,149.044948,1
3,24,50,25.872426,28.74714,217.834924,1
3,24,50,28.74714,1655.835264,16486.664248,1
3,24,50,28.74714,166.733412,1656.691922,1
3,26,50,28.74714,1719.078972,16976.792827,1
3,26,50,28.74714,741.676212,7283.138709,1
3,26,50,22.997712,28.74714,192.038683,1
3,26,50,22.997712,28.74714,197.771181,1
3,26,50,25.872426,28.74714,232.166169,1
3,26,50,22.997712,28.74714,160.509944,1
3,30,50,22.997712,28.74714,206.369928,1
3,30,50,28.74714,28.74714,235.032418,1
3,30,50,28.74714,2762.600154,25437.959875,1
3,30,50,28.74714,2055.42051,18303.866114,1
3,30,50,20.122998,28.74714,192.038683,1
3,30,50,28.74714,28.74714,266.561157,1
11,26,50,2.874714,5.749428,5.732498,1
13,16,50,28.74714,114.98856,1146.4996,1
13,16,50,28.74714,2866.089858,28536.375044,1
13,16,50,28.74714,2342.89191,23314.069366,1
13,16,50,25.872426,28.74714,226.433671,1
13,16,50,25.872426,28.74714,220.701173,1
13,16,50,22.997712,28.74714,217.834924,1
13,16,50,43.12071,28.74714,323.886137,1
13,16,50,28.74714,899.785482,8945.563129,1
13,16,50,28.74714,1911.68481,19017.562115,1
13,16,50,28.74714,1399.985718,13955.766381,1
13,30,50,28.74714,485.826666,4843.96081,1
13,30,50,28.74714,2866.089858,28562.171285,1
13,30,50,28.74714,2340.017196,23316.935615,1
13,30,50,17.248284,28.74714,163.376193,1
13,30,50,22.997712,28.74714,214.968675,1
13,30,50,22.997712,28.74714,183.439936,1
13,30,50,20.122998,28.74714,163.376193,1
13,30,50,28.74714,899.785482,8971.35937,1
13,30,50,28.74714,1609.83984,16022.33191,1
13,30,50,28.74714,1078.01775,10742.701252,1
13,30,50,28.74714,244.35069,2436.31165,1
13,30,50,28.74714,235.726548,2350.32418,1
13,25,50,28.74714,1537.97199,15219.78219,1
13,25,50,28.74714,2340.017196,23302.60437,1
13,25,50,28.74714,747.42564,7311.801199,1
13,25,50,25.872426,28.74714,226.433671,1
13,25,50,715.803786,28.74714,1791.405625,1
