[Wafer Information]
Wafer Number,25
Wafer ID,A89-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100068-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 03:04
End Time,01/20/2024 03:08
Inspection Time,0:03:20
Photo Time,0:00:00
Data Output Time,01/20/2024 04:24

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
25,A89-Q335381-401,5518,5475,99.220732,43,50,28,5,17

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,35,50,54.780876,23.065632,337.334868,3
10,29,50,20.182428,17.299224,92.262528,2
12,43,50,271.021176,8.649612,801.530712,1
12,43,50,271.021176,8.649612,798.647508,1
12,43,50,175.875444,8.649612,527.626332,1
12,27,50,54.780876,8.649612,147.043404,1
15,29,50,43.24806,25.948836,305.619624,3
22,35,50,74.963304,20.182428,441.130212,3
26,54,50,11.532816,8.649612,31.715244,1
32,43,50,54.780876,8.649612,164.342628,1
34,26,50,271.021176,8.649612,723.684204,1
37,66,50,43.24806,23.065632,265.254768,3
37,29,50,40.364856,25.948836,276.787584,3
37,12,50,43.24806,25.948836,268.137972,3
40,44,50,51.897672,20.182428,294.086808,3
44,64,50,46.131264,20.182428,265.254768,3
46,51,50,118.211364,25.948836,746.749836,3
46,32,50,43.24806,25.948836,273.90438,3
53,53,50,40.364856,23.065632,236.422728,3
57,61,50,14.41602,20.182428,69.196896,2
58,29,50,54.780876,20.182428,322.918848,3
58,11,50,123.977772,8.649612,325.802052,1
59,31,50,25.948836,43.24806,291.203604,3
63,44,50,271.021176,8.649612,732.333816,1
63,44,50,227.773116,8.649612,648.7209,1
64,46,50,46.131264,25.948836,343.101276,3
66,35,50,43.24806,20.182428,265.254768,3
73,43,50,51.897672,23.065632,331.56846,3
73,14,50,17.299224,20.182428,103.795344,2
79,11,50,273.90438,8.649612,810.180324,1
79,11,50,271.021176,8.649612,810.180324,1
79,11,50,80.729712,8.649612,236.422728,1
80,62,50,86.49612,23.065632,533.39274,3
82,37,50,17.299224,20.182428,74.963304,2
83,11,50,43.24806,20.182428,242.189136,3
83,17,50,57.66408,20.182428,337.334868,3
85,12,50,271.021176,8.649612,706.38498,1
85,12,50,271.021176,8.649612,723.684204,1
85,12,50,268.137972,8.649612,717.917796,1
85,24,50,43.24806,20.182428,242.189136,3
85,39,50,51.897672,25.948836,354.634092,3
89,50,50,49.014468,25.948836,360.4005,3
89,40,50,43.24806,20.182428,236.422728,3
92,25,50,43.24806,20.182428,256.605156,3
93,47,50,63.430488,20.182428,380.582928,3
94,38,50,54.780876,23.065632,334.451664,3
93,50,50,43.24806,25.948836,268.137972,3
96,43,50,268.137972,8.649612,740.983428,1
96,49,50,54.780876,23.065632,343.101276,3
97,32,50,14.41602,20.182428,80.729712,2

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling
25,A89-Q335381-401,5518,5484,99.383835,34,34,28,5,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,35,50,54.780876,23.065632,337.334868,3
10,29,50,20.182428,17.299224,92.262528,2
12,43,Pass,271.021176,8.649612,801.530712,1
12,43,Pass,271.021176,8.649612,798.647508,1
12,43,Pass,175.875444,8.649612,527.626332,1
12,27,Pass,54.780876,8.649612,147.043404,1
15,29,50,43.24806,25.948836,305.619624,3
22,35,50,74.963304,20.182428,441.130212,3
26,54,Pass,11.532816,8.649612,31.715244,1
32,43,Pass,54.780876,8.649612,164.342628,1
34,26,Pass,271.021176,8.649612,723.684204,1
37,66,50,43.24806,23.065632,265.254768,3
37,29,50,40.364856,25.948836,276.787584,3
37,12,50,43.24806,25.948836,268.137972,3
40,44,50,51.897672,20.182428,294.086808,3
44,64,50,46.131264,20.182428,265.254768,3
46,51,50,118.211364,25.948836,746.749836,3
46,32,50,43.24806,25.948836,273.90438,3
53,53,50,40.364856,23.065632,236.422728,3
57,61,50,14.41602,20.182428,69.196896,2
58,29,50,54.780876,20.182428,322.918848,3
58,11,Pass,123.977772,8.649612,325.802052,1
59,31,50,25.948836,43.24806,291.203604,3
63,44,Pass,271.021176,8.649612,732.333816,1
63,44,Pass,227.773116,8.649612,648.7209,1
64,46,50,46.131264,25.948836,343.101276,3
66,35,50,43.24806,20.182428,265.254768,3
73,43,50,51.897672,23.065632,331.56846,3
73,14,50,17.299224,20.182428,103.795344,2
79,11,Pass,273.90438,8.649612,810.180324,1
79,11,Pass,271.021176,8.649612,810.180324,1
79,11,50,80.729712,8.649612,236.422728,1
80,62,50,86.49612,23.065632,533.39274,3
82,37,50,17.299224,20.182428,74.963304,2
83,11,50,43.24806,20.182428,242.189136,3
83,17,50,57.66408,20.182428,337.334868,3
85,12,Pass,271.021176,8.649612,706.38498,1
85,12,Pass,271.021176,8.649612,723.684204,1
85,12,Pass,268.137972,8.649612,717.917796,1
85,24,50,43.24806,20.182428,242.189136,3
85,39,50,51.897672,25.948836,354.634092,3
89,50,50,49.014468,25.948836,360.4005,3
89,40,50,43.24806,20.182428,236.422728,3
92,25,50,43.24806,20.182428,256.605156,3
93,47,50,63.430488,20.182428,380.582928,3
94,38,50,54.780876,23.065632,334.451664,3
93,50,50,43.24806,25.948836,268.137972,3
96,43,Pass,268.137972,8.649612,740.983428,1
96,49,50,54.780876,23.065632,343.101276,3
97,32,50,14.41602,20.182428,80.729712,2

