[Wafer Information]
Wafer Number,19
Wafer ID,A92-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100068-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 03:28
End Time,01/20/2024 03:31
Inspection Time,0:03:20
Photo Time,0:02:49
Data Output Time,01/20/2024 04:25

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
19,A92-Q335381-401,2263,2257,99.734865,6,12,5,7

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
35,13,50,83.612916,25.948836,547.80876,3
35,13,50,57.49428,11.498856,209.236177,3
37,17,50,273.90438,8.649612,813.063528,1
37,17,50,271.021176,8.649612,787.114692,1
66,23,50,40.364856,23.065632,242.189136,3
82,27,50,46.131264,28.83204,291.203604,3
87,18,50,51.897672,46.131264,527.626332,3
91,27,50,268.137972,8.649612,743.866632,1
91,27,50,271.021176,8.649612,740.983428,1
91,27,50,271.021176,8.649612,807.29712,1
91,27,50,271.021176,8.649612,810.180324,1
91,27,50,31.715244,8.649612,92.262528,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
19,A92-Q335381-401,2263,2259,99.823243,4,5,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
35,13,50,83.612916,25.948836,547.80876,3
35,13,50,57.49428,11.498856,209.236177,3
37,17,Pass,273.90438,8.649612,813.063528,1
37,17,Pass,271.021176,8.649612,787.114692,1
66,23,50,40.364856,23.065632,242.189136,3
82,27,50,46.131264,28.83204,291.203604,3
87,18,50,51.897672,46.131264,527.626332,3
91,27,Pass,268.137972,8.649612,743.866632,1
91,27,Pass,271.021176,8.649612,740.983428,1
91,27,Pass,271.021176,8.649612,807.29712,1
91,27,Pass,271.021176,8.649612,810.180324,1
91,27,Pass,31.715244,8.649612,92.262528,1

