[Wafer Information]
Wafer Number,13
Wafer ID,Q335730-12F0
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100079-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 01:01
End Time,01/07/2024 01:08
Inspection Time,0:06:43
Photo Time,0:12:58
Data Output Time,01/07/2024 04:52

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others,F07 Incoming microlens periphery peeling
13,Q335730-12F0,19520,19248,98.606557,272,376,376

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,82,50,46.131264,20.182428,282.553992,3
14,65,50,74.963304,25.948836,536.275944,3
15,41,50,49.014468,25.948836,305.619624,3
20,50,50,89.379324,31.715244,602.589636,3
24,70,50,8.649612,152.809812,403.64856,1
24,69,50,8.649612,46.131264,123.977772,1
24,30,50,40.364856,28.83204,322.918848,3
24,37,50,8.649612,149.926608,429.597396,1
26,77,50,8.649612,83.612916,222.006708,1
26,66,50,8.649612,80.729712,230.65632,1
26,96,50,100.91214,23.065632,617.005656,3
26,86,50,46.131264,20.182428,296.970012,3
26,88,50,8.649612,83.612916,227.773116,1
28,97,50,80.729712,8.649612,227.773116,1
28,42,50,80.729712,8.649612,219.123504,1
28,53,50,80.729712,8.649612,230.65632,1
31,54,50,14.41602,8.649612,40.364856,1
31,54,50,46.131264,8.649612,123.977772,1
31,43,50,164.342628,8.649612,484.378272,1
31,43,50,80.729712,8.649612,224.889912,1
31,43,50,14.41602,8.649612,43.24806,1
31,97,50,51.897672,40.364856,518.97672,3
32,92,50,63.430488,20.182428,403.64856,3
35,35,50,43.24806,37.481652,412.298172,3
36,48,50,40.364856,31.715244,302.73642,3
36,55,50,49.014468,31.715244,360.4005,3
38,18,50,43.24806,25.948836,334.451664,3
41,87,50,86.49612,23.065632,527.626332,3
44,103,50,43.24806,20.182428,250.838748,3
44,27,50,40.364856,28.83204,299.853216,3
43,18,50,23.065632,46.131264,291.203604,3
43,18,50,25.887708,51.775416,375.922316,3
46,26,50,8.649612,152.809812,452.663028,1
46,91,50,8.649612,46.131264,121.094568,1
46,81,50,8.649612,149.926608,418.06458,1
48,44,50,8.649612,83.612916,233.539524,1
48,33,50,8.649612,86.49612,242.189136,1
50,42,50,80.729712,8.649612,222.006708,1
50,42,50,80.729712,8.649612,233.539524,1
54,25,50,49.014468,25.948836,325.802052,3
52,43,50,57.66408,8.649612,161.459424,1
52,54,50,54.780876,8.649612,149.926608,1
52,76,50,54.780876,8.649612,164.342628,1
52,72,50,43.24806,23.065632,253.721952,3
54,75,50,100.91214,20.182428,593.940024,3
52,87,50,74.963304,8.649612,196.057872,1
52,109,50,34.598448,8.649612,98.028936,1
54,99,50,40.364856,37.481652,311.386032,3
52,98,50,57.66408,8.649612,167.225832,1
56,98,50,49.014468,28.83204,357.517296,3
56,98,50,51.775416,14.38206,209.483428,3
63,95,50,57.66408,20.182428,320.035644,3
68,26,50,8.649612,152.809812,449.779824,1
68,15,50,8.649612,149.926608,400.765356,1
68,25,50,8.649612,51.897672,132.627384,1
70,44,50,8.649612,83.612916,239.305932,1
70,88,50,8.649612,83.612916,236.422728,1
70,22,50,8.649612,83.612916,239.305932,1
73,37,50,268.137972,8.649612,726.567408,1
74,103,50,51.897672,8.649612,141.276996,1
72,108,50,80.729712,8.649612,236.422728,1
72,108,50,80.729712,8.649612,224.889912,1
73,102,50,51.897672,23.065632,328.685256,3
74,107,50,49.014468,23.065632,299.853216,3
75,10,50,28.83204,8.649612,83.612916,1
75,10,50,20.182428,8.649612,60.547284,1
75,43,50,77.846508,8.649612,222.006708,1
81,96,50,43.24806,31.715244,343.101276,3
83,107,50,49.014468,20.182428,299.853216,3
86,114,50,46.131264,20.182428,291.203604,3
90,59,50,8.649612,149.926608,444.013416,1
90,81,50,8.649612,149.926608,418.06458,1
90,69,50,8.649612,46.131264,129.74418,1
90,58,50,8.649612,46.131264,126.860976,1
90,26,50,8.649612,152.809812,449.779824,1
90,16,50,8.649612,152.809812,397.882152,1
90,16,50,5.752824,14.38206,25.826724,1
90,4,50,8.649612,149.926608,386.349336,1
92,22,50,8.649612,83.612916,233.539524,1
91,74,50,49.014468,20.182428,320.035644,3
92,99,50,8.649612,83.612916,222.006708,1
94,86,50,80.729712,8.649612,213.357096,1
93,79,50,43.24806,28.83204,299.853216,3
94,42,50,80.729712,8.649612,233.539524,1
95,14,50,51.897672,25.948836,299.853216,3
94,4,50,123.977772,11.532816,478.611864,1
95,48,50,141.276996,8.649612,418.06458,1
95,48,50,268.137972,11.532816,735.21702,1
96,76,50,57.66408,8.649612,167.225832,1
97,76,50,63.430488,8.649612,190.291464,1
97,76,50,77.846508,8.649612,233.539524,1
97,76,50,77.846508,8.649612,222.006708,1
97,65,50,80.729712,8.649612,224.889912,1
97,65,50,77.846508,8.649612,213.357096,1
97,87,50,63.430488,8.649612,184.525056,1
97,87,50,77.846508,8.649612,233.539524,1
97,87,50,164.342628,8.649612,472.845456,1
97,87,50,80.729712,8.649612,213.357096,1
97,109,50,167.225832,8.649612,449.779824,1
97,73,50,49.014468,20.182428,288.3204,3
97,54,50,51.897672,8.649612,147.043404,1
97,54,50,80.729712,8.649612,233.539524,1
99,110,50,49.014468,23.065632,305.619624,3
102,78,50,51.897672,20.182428,308.502828,3
105,95,50,46.131264,25.948836,294.086808,3
112,5,50,11.532816,152.809812,449.779824,1
112,70,50,8.649612,149.926608,446.89662,1
112,4,50,8.649612,152.809812,452.663028,1
112,26,50,8.649612,149.926608,438.247008,1
112,37,50,8.649612,149.926608,438.247008,1
112,48,50,8.649612,149.926608,403.64856,1
112,47,50,8.649612,54.780876,138.393792,1
112,103,50,8.649612,152.809812,438.247008,1
114,99,50,8.649612,86.49612,242.189136,1
114,94,50,46.131264,23.065632,288.3204,3
114,11,50,8.649612,86.49612,247.955544,1
116,53,50,80.729712,8.649612,236.422728,1
116,53,50,80.729712,8.649612,236.422728,1
116,75,50,66.313692,8.649612,184.525056,1
116,42,50,80.729712,8.649612,219.123504,1
117,14,50,43.24806,28.83204,317.15244,3
118,87,50,66.313692,8.649612,187.40826,1
121,91,50,51.897672,20.182428,317.15244,3
134,54,50,123.977772,23.065632,752.516244,3
134,15,50,8.649612,149.926608,412.298172,1
134,26,50,8.649612,34.598448,92.262528,1
134,58,50,8.649612,54.780876,132.627384,1
134,56,50,98.028936,20.182428,622.772064,3
134,70,50,8.649612,149.926608,432.4806,1
134,81,50,8.649612,149.926608,403.64856,1
136,99,50,8.649612,86.49612,239.305932,1
136,55,50,8.649612,86.49612,239.305932,1
137,57,50,43.24806,20.182428,256.605156,3
136,88,50,8.649612,86.49612,233.539524,1
136,81,50,54.780876,20.182428,320.035644,3
136,16,50,8.649612,17.299224,37.481652,1
136,33,50,8.649612,86.49612,236.422728,1
136,11,50,8.649612,83.612916,236.422728,1
136,22,50,8.649612,86.49612,230.65632,1
139,69,50,51.897672,25.948836,357.517296,3
146,69,50,92.262528,23.065632,556.458372,3
146,47,50,46.131264,20.182428,279.670788,3
146,71,50,43.24806,23.065632,259.48836,3
145,81,50,54.780876,23.065632,348.867684,3
156,102,50,8.649612,46.131264,123.977772,1
156,70,50,8.649612,149.926608,400.765356,1
156,15,50,8.649612,149.926608,444.013416,1
156,26,50,8.649612,149.926608,386.349336,1
158,44,50,8.649612,83.612916,233.539524,1
158,88,50,8.649612,83.612916,236.422728,1
160,108,50,80.729712,8.649612,219.123504,1
158,16,50,46.131264,8.649612,132.627384,1
160,48,50,123.977772,11.532816,348.867684,1
160,37,50,83.612916,8.649612,242.189136,1
161,73,50,57.66408,25.948836,351.750888,3
162,61,50,57.66408,23.065632,354.634092,3
162,54,50,80.729712,8.649612,227.773116,1
163,54,50,80.729712,8.649612,227.773116,1
170,92,50,57.66408,23.065632,337.334868,3
169,84,50,54.780876,25.948836,328.685256,3
174,20,50,77.846508,25.948836,573.757596,3
178,80,50,8.649612,51.897672,147.043404,1
177,82,50,63.430488,23.065632,363.283704,3
179,26,50,46.131264,34.598448,383.466132,3
180,77,50,8.649612,83.612916,236.422728,1
182,97,50,80.729712,11.532816,245.07234,1
182,97,50,80.729712,11.532816,247.955544,1
182,86,50,80.729712,8.649612,242.189136,1
184,54,50,66.313692,8.649612,184.525056,1
199,45,50,40.364856,28.83204,262.371564,3
200,44,50,51.897672,25.948836,354.634092,3
202,55,50,8.649612,83.612916,236.422728,1
203,49,50,80.729712,8.649612,224.889912,1
202,66,50,8.649612,83.612916,236.422728,1
107,66,50,742.114296,3779.605368,23100.5698,1
108,66,50,2191.825944,3779.605368,59671.210984,1
108,66,50,86.29236,46.022592,1305.68438,63
108,66,50,80.539536,270.382728,7409.400152,63
109,66,50,1748.858496,3773.852544,40143.338004,1
109,66,50,86.29236,46.022592,1308.554016,63
109,66,50,83.415948,270.382728,7495.489232,63
107,65,50,742.114296,1021.12626,7719.32084,1
108,65,50,2191.825944,1021.12626,19972.66656,1
108,65,50,86.29236,46.022592,1288.466564,63
108,65,50,77.663124,270.382728,7222.873812,63
109,65,50,1748.858496,1021.12626,13889.03824,1
109,65,50,86.29236,46.022592,1311.423652,63
109,65,50,80.539536,270.382728,7383.573428,63
140,56,50,34.516944,57.52824,304.181416,3
153,17,50,632.81064,1173.576096,4795.161756,1
154,17,50,2183.196708,1176.452508,14018.17186,1
155,17,50,1849.532916,1167.823272,10316.34142,1
153,16,50,632.81064,3690.436596,10743.917184,1
154,16,50,71.9103,3690.436596,9659.194776,1
154,16,50,2108.409996,3690.436596,14153.044752,1
156,104,50,2191.825944,2226.342888,32137.053564,1
157,104,50,2191.825944,2226.342888,31993.571764,1
158,104,50,241.618608,2220.590064,11343.671108,1
156,103,50,2191.825944,2657.804688,34398.326732,1
156,103,50,86.29236,46.022592,1299.945108,63
156,103,50,80.539536,270.382728,7234.352356,63
157,103,50,2191.825944,2657.804688,33815.790624,1
157,103,50,86.29236,46.022592,1305.68438,63
157,103,50,83.415948,270.382728,7291.745076,63
158,103,50,241.618608,2657.804688,13805.818796,1
168,52,50,609.799344,1766.116968,6450.941728,1
169,52,50,2183.196708,1768.99338,18061.488984,1
170,52,50,1817.892384,1768.99338,12391.088248,1
168,51,50,609.799344,3097.895724,9802.676576,1
169,51,50,2183.196708,3097.895724,21045.910424,1
170,51,50,1815.015972,3097.895724,11814.291412,1
181,72,50,17.258472,2309.758836,5805.273628,1
181,71,50,425.708976,2554.253856,6933.040576,1
182,71,50,670.203996,2554.253856,8304.726584,1
182,71,50,11.505648,2551.377444,5463.786944,1
2,71,50,5.752824,8.629236,11.478544,1
8,38,50,5.752824,8.629236,14.34818,1
8,60,50,5.752824,8.629236,14.34818,1
14,92,50,8.629236,2.876412,8.608908,1
15,55,50,8.629236,11.505648,22.957088,1
30,104,50,5.752824,11.505648,14.34818,1
30,38,50,5.752824,8.629236,14.34818,1
30,49,50,5.752824,8.629236,14.34818,1
29,93,50,20.134884,37.393356,137.742528,1
52,104,50,5.752824,8.629236,14.34818,1
52,82,50,5.752824,8.629236,17.217816,1
52,71,50,8.629236,8.629236,20.087452,1
52,38,50,8.629236,11.505648,25.826724,1
55,44,50,14.38206,8.629236,28.69636,1
64,47,50,31.640532,8.629236,77.480172,1
68,48,50,5.752824,31.640532,60.262356,1
68,69,50,2.876412,8.629236,8.608908,1
68,69,50,5.752824,17.258472,22.957088,1
68,69,50,2.876412,11.505648,11.478544,1
69,45,50,8.629236,5.752824,11.478544,1
74,71,50,5.752824,8.629236,14.34818,1
73,70,50,5.752824,11.505648,17.217816,1
74,60,50,5.752824,11.505648,17.217816,1
74,82,50,5.752824,8.629236,14.34818,1
74,27,50,5.752824,8.629236,11.478544,1
81,121,50,8.629236,2.876412,8.608908,1
90,38,50,5.752824,14.38206,22.957088,1
93,103,50,8.629236,2.876412,8.608908,1
93,92,50,8.629236,5.752824,11.478544,1
94,93,50,5.752824,11.505648,17.217816,1
96,115,50,5.752824,8.629236,17.217816,1
96,104,50,5.752824,8.629236,11.478544,1
96,82,50,8.629236,11.505648,17.217816,1
96,93,50,5.752824,11.505648,14.34818,1
96,71,50,5.752824,8.629236,11.478544,1
96,49,50,5.752824,8.629236,14.34818,1
96,16,50,5.752824,8.629236,14.34818,1
96,27,50,5.752824,8.629236,17.217816,1
97,7,50,11.505648,2.876412,11.478544,1
100,47,50,2.876412,8.629236,8.608908,1
105,58,50,8.629236,11.505648,25.826724,1
107,64,50,2.876412,8.629236,8.608908,1
111,55,50,11.505648,11.505648,31.565996,1
115,81,50,17.258472,2.876412,17.217816,1
114,85,50,11.505648,2.876412,11.478544,1
116,78,50,2217.713652,2807.378112,36045.497796,1
116,78,50,2.876412,60.404652,60.262356,1
116,78,50,2.876412,8.629236,8.608908,1
116,78,50,2.876412,31.640532,31.565996,1
116,78,50,2.876412,14.38206,14.34818,1
116,78,50,2.876412,63.281064,63.131992,1
116,78,50,2.876412,17.258472,17.217816,1
116,78,50,2.876412,11.505648,11.478544,1
116,78,50,2.876412,11.505648,11.478544,1
116,78,50,2.876412,11.505648,11.478544,1
116,78,50,2.876412,83.415948,83.219444,1
116,78,50,2.876412,14.38206,14.34818,1
117,78,50,169.708308,2807.378112,10709.481552,1
117,78,50,2.876412,66.157476,66.001628,1
117,78,50,2.876412,86.29236,86.08908,1
117,78,50,2.876412,20.134884,20.087452,1
115,77,50,2217.713652,2102.657172,24721.91414,1
115,77,50,2.876412,20.134884,20.087452,1
115,77,50,8.629236,172.58472,235.310152,1
115,77,50,2.876412,25.887708,25.826724,1
115,77,50,2.876412,66.157476,66.001628,1
115,77,50,2.876412,97.798008,97.567624,1
115,77,50,2.876412,11.505648,11.478544,1
115,77,50,2.876412,11.505648,11.478544,1
115,77,50,2.876412,8.629236,8.608908,1
115,77,50,2.876412,8.629236,8.608908,1
115,77,50,2.876412,23.011296,22.957088,1
115,77,50,2.876412,34.516944,34.435632,1
115,77,50,2.876412,112.180068,111.915804,1
115,77,50,2.876412,14.38206,14.34818,1
115,77,50,2.876412,8.629236,8.608908,1
115,77,50,2.876412,11.505648,11.478544,1
115,77,50,5.752824,115.05648,169.308524,1
115,77,50,2.876412,8.629236,8.608908,1
115,77,50,2.876412,14.38206,14.34818,1
115,77,50,2.876412,123.685716,123.394348,1
116,77,50,2217.713652,2102.657172,25861.159632,1
116,77,50,5.752824,169.708308,215.2227,1
116,77,50,2.876412,8.629236,8.608908,1
116,77,50,2.876412,11.505648,11.478544,1
116,77,50,2.876412,28.76412,28.69636,1
116,77,50,2.876412,54.651828,54.523084,1
116,77,50,2.876412,8.629236,8.608908,1
116,77,50,2.876412,8.629236,8.608908,1
116,77,50,2.876412,11.505648,11.478544,1
116,77,50,5.752824,63.281064,114.78544,1
116,77,50,2.876412,8.629236,8.608908,1
116,77,50,2.876412,8.629236,8.608908,1
117,77,50,169.708308,2102.657172,8984.830316,1
116,104,50,8.629236,5.752824,11.478544,1
118,115,50,8.629236,11.505648,25.826724,1
118,82,50,5.752824,8.629236,17.217816,1
118,38,50,5.752824,11.505648,14.34818,1
118,60,50,5.752824,8.629236,14.34818,1
117,15,50,11.505648,8.629236,25.826724,1
118,49,50,5.752824,8.629236,17.217816,1
134,71,50,2.876412,8.629236,8.608908,1
134,115,50,5.752824,14.38206,25.826724,1
136,44,50,5.752824,8.629236,14.34818,1
136,44,50,5.752824,8.629236,14.34818,1
140,93,50,5.752824,11.505648,17.217816,1
140,115,50,5.752824,11.505648,17.217816,1
140,60,50,5.752824,8.629236,17.217816,1
140,49,50,8.629236,8.629236,17.217816,1
140,27,50,5.752824,8.629236,14.34818,1
140,16,50,5.752824,8.629236,17.217816,1
143,103,50,8.629236,2.876412,8.608908,1
146,51,50,8.629236,2.876412,8.608908,1
152,29,50,2209.084416,126.562128,7185.568544,1
152,29,50,2.876412,63.281064,63.131992,1
153,29,50,891.68772,115.05648,2901.201996,1
153,29,50,2.876412,57.52824,57.39272,1
153,29,50,2.876412,14.38206,14.34818,1
151,28,50,189.843192,5.752824,235.310152,1
151,28,50,716.226588,8.629236,1262.63984,1
151,28,50,1630.925604,3788.234604,16293.793208,1
151,28,50,28.76412,2.876412,28.69636,1
151,28,50,11.505648,2.876412,11.478544,1
151,28,50,25.887708,5.752824,45.914176,1
151,28,50,11.505648,5.752824,14.34818,1
151,28,50,54.651828,5.752824,91.828352,1
151,28,50,20.134884,2.876412,20.087452,1
151,28,50,8.629236,2.876412,8.608908,1
151,28,50,2.876412,8.629236,8.608908,1
151,28,50,2.876412,17.258472,17.217816,1
151,28,50,2.876412,20.134884,20.087452,1
152,28,50,2211.960828,3788.234604,32627.76132,1
152,28,50,5.752824,80.539536,83.219444,1
152,28,50,2.876412,11.505648,11.478544,1
152,28,50,2.876412,54.651828,54.523084,1
153,28,50,883.058484,3788.234604,13983.736228,1
153,28,50,839.912304,8.629236,1317.162924,1
153,28,50,2.876412,80.539536,80.349808,1
151,27,50,1628.049192,808.271772,5670.400736,1
151,27,50,2.876412,8.629236,8.608908,1
151,27,50,2.876412,8.629236,8.608908,1
151,27,50,2.876412,8.629236,8.608908,1
152,27,50,2209.084416,808.271772,9091.006848,1
152,27,50,5.752824,161.079072,203.744156,1
153,27,50,883.058484,808.271772,4278.627276,1
156,16,50,5.752824,8.629236,17.217816,1
