[Wafer Information]
Wafer Number,21
Wafer ID,A58-Q335730-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100086-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 02:13
End Time,01/19/2024 02:16
Inspection Time,0:03:21
Photo Time,0:03:50
Data Output Time,01/19/2024 04:45

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F19 Rubber Tip,F99 Others
21,A58-Q335730-401,5518,5472,99.166365,46,79,69,9,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,19,50,57.66408,8.649612,152.809812,1
5,40,50,100.91214,8.649612,299.853216,1
5,40,50,276.787584,8.649612,787.114692,1
5,40,50,271.021176,8.649612,807.29712,1
5,40,50,271.021176,8.649612,807.29712,1
5,40,50,271.021176,8.649612,775.581876,1
5,40,50,57.66408,8.649612,155.693016,1
6,19,50,271.021176,8.649612,746.749836,1
6,19,50,271.021176,8.649612,766.932264,1
6,19,50,181.641852,8.649612,527.626332,1
6,40,50,201.82428,8.649612,547.80876,1
6,40,50,273.90438,8.649612,815.946732,1
6,40,50,262.371564,8.649612,781.348284,1
7,19,50,273.90438,8.649612,764.04906,1
20,47,50,51.897672,28.83204,322.918848,3
26,18,50,271.021176,8.649612,735.21702,1
26,18,50,268.137972,8.649612,764.04906,1
26,40,50,273.90438,8.649612,801.530712,1
26,40,50,273.90438,8.649612,798.647508,1
26,40,50,271.021176,8.649612,795.764304,1
28,19,50,273.90438,8.649612,787.114692,1
28,19,50,273.90438,8.649612,758.282652,1
28,19,50,271.021176,8.649612,740.983428,1
28,19,50,17.299224,8.649612,43.24806,1
31,65,50,276.787584,8.649612,729.450612,1
31,65,50,271.021176,8.649612,766.932264,1
31,65,50,271.021176,8.649612,784.231488,1
39,41,50,271.021176,8.649612,795.764304,1
40,41,50,273.90438,8.649612,818.829936,1
40,41,50,271.021176,8.649612,813.063528,1
40,41,50,273.90438,8.649612,810.180324,1
40,41,50,178.758648,8.649612,536.275944,1
43,20,50,273.90438,8.649612,810.180324,1
43,20,50,273.90438,8.649612,810.180324,1
43,20,50,273.90438,8.649612,804.413916,1
44,14,50,49.014468,20.182428,276.787584,3
46,66,50,57.66408,8.649612,167.225832,1
48,64,50,273.90438,8.649612,752.516244,1
49,64,50,245.07234,8.649612,732.333816,1
49,19,50,224.889912,8.649612,668.903328,1
60,53,50,80.729712,8.649612,230.65632,1
60,30,50,60.547284,23.065632,380.582928,3
60,14,50,11.532816,23.065632,72.0801,2
62,63,50,271.021176,8.649612,795.764304,1
62,63,50,271.021176,8.649612,738.100224,1
62,63,50,123.977772,8.649612,340.218072,1
63,0,50,54.780876,23.065632,354.634092,3
70,64,50,271.021176,8.649612,810.180324,1
70,64,50,271.021176,8.649612,720.801,1
70,64,50,123.977772,8.649612,348.867684,1
71,64,50,273.90438,8.649612,740.983428,1
71,64,50,271.021176,8.649612,749.63304,1
71,64,50,271.021176,8.649612,772.698672,1
71,64,50,271.021176,8.649612,761.165856,1
71,19,50,273.90438,8.649612,749.63304,1
79,38,50,57.66408,23.065632,331.56846,3
83,41,50,233.539524,8.649612,697.735368,1
82,41,50,273.90438,8.649612,772.698672,1
82,41,50,271.021176,8.649612,717.917796,1
82,41,50,95.145732,8.649612,245.07234,1
82,7,50,43.24806,23.065632,271.021176,3
85,20,50,271.021176,8.649612,712.151388,1
88,53,50,51.897672,20.182428,299.853216,3
90,46,50,43.24806,31.715244,369.050112,3
90,19,50,271.021176,8.649612,743.866632,1
90,19,50,271.021176,8.649612,761.165856,1
91,19,50,273.90438,8.649612,735.21702,1
39,4,50,2.874714,8.624142,8.598747,1
61,25,50,14.37357,17.248284,48.726233,1
68,58,50,2.874714,5.749428,5.732498,1
79,58,50,11.498856,2.874714,11.464996,1
78,25,50,5.749428,8.624142,14.331245,1
78,25,50,5.749428,5.749428,8.598747,1
83,21,50,17.248284,14.37357,60.191229,1
83,28,50,5.749428,2.874714,5.732498,1
88,29,50,5.749428,5.749428,8.598747,1
93,47,50,5.749428,2.874714,5.732498,1
94,37,50,22.997712,14.37357,60.191229,1
9,20,50,40.245996,48.870138,355.414876,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F19 Rubber Tip,F99 Others
21,A58-Q335730-401,5518,5502,99.71004,16,17,9,1,6,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
