[Wafer Information]
Wafer Number,11
Wafer ID,A63-Q335730-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100086-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 03:05
End Time,01/19/2024 03:08
Inspection Time,0:03:21
Photo Time,0:03:42
Data Output Time,01/19/2024 04:50

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F19 Rubber Tip
11,A63-Q335730-401,5518,5476,99.238855,42,49,24,23,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,39,50,95.145732,25.948836,599.706432,3
6,35,50,60.547284,23.065632,360.4005,3
7,50,50,43.24806,23.065632,265.254768,3
6,40,50,271.021176,8.649612,746.749836,1
6,40,50,259.48836,8.649612,709.268184,1
8,36,50,46.131264,20.182428,276.787584,3
8,34,50,46.131264,20.182428,253.721952,3
15,50,50,40.364856,25.948836,285.437196,3
21,59,50,54.780876,23.065632,354.634092,3
21,59,50,2187.657354,3714.130488,20235.71794,1
22,23,50,49.014468,17.299224,279.670788,3
26,40,50,144.1602,8.649612,420.947784,1
28,45,50,43.24806,23.065632,256.605156,3
27,24,50,57.66408,8.649612,149.926608,1
28,24,50,273.90438,8.649612,746.749836,1
29,45,50,54.780876,23.065632,340.218072,3
35,59,50,46.131264,20.182428,265.254768,3
38,41,50,43.24806,25.948836,325.802052,3
40,49,50,20.182428,17.299224,98.028936,2
39,50,50,51.897672,23.065632,337.334868,3
40,66,50,273.90438,8.649612,804.413916,1
40,66,50,271.021176,8.649612,709.268184,1
44,33,50,43.24806,23.065632,288.3204,3
47,29,50,40.364856,23.065632,245.07234,3
48,40,50,34.598448,8.649612,95.145732,1
48,8,50,273.90438,8.649612,740.983428,1
49,31,50,63.430488,23.065632,383.466132,3
56,67,50,193.174668,8.649612,527.626332,1
56,67,50,273.90438,8.649612,775.581876,1
56,67,50,273.90438,8.649612,775.581876,1
56,67,50,271.021176,8.649612,769.815468,1
56,37,50,60.547284,20.182428,343.101276,3
59,53,50,63.430488,23.065632,394.998948,3
70,8,50,54.780876,8.649612,141.276996,1
74,35,50,54.780876,20.182428,308.502828,3
78,23,50,69.196896,23.065632,444.013416,3
77,35,50,46.131264,20.182428,279.670788,3
91,25,50,25.948836,8.649612,72.0801,1
90,38,50,49.014468,23.065632,288.3204,3
93,24,50,273.90438,8.649612,732.333816,1
95,34,50,31.715244,11.532816,86.49612,1
94,50,50,49.014468,23.065632,291.203604,3
97,27,50,43.24806,20.182428,250.838748,3
82,28,50,5.749428,2.874714,5.732498,1
88,45,50,11.498856,8.624142,22.929992,1
20,60,50,1118.263746,373.71282,4815.29832,1
21,60,50,8.624142,359.33925,834.078459,1
21,60,50,2181.907926,373.71282,9237.920527,1
20,59,50,1121.13846,3714.130488,10593.656304,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F19 Rubber Tip
11,A63-Q335730-401,5518,5489,99.474447,29,30,24,2,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,39,50,95.145732,25.948836,599.706432,3
6,35,50,60.547284,23.065632,360.4005,3
7,50,50,43.24806,23.065632,265.254768,3
6,40,Pass,271.021176,8.649612,746.749836,1
6,40,Pass,259.48836,8.649612,709.268184,1
8,36,50,46.131264,20.182428,276.787584,3
8,34,50,46.131264,20.182428,253.721952,3
15,50,50,40.364856,25.948836,285.437196,3
21,59,50,54.780876,23.065632,354.634092,3
21,59,50,2187.657354,3714.130488,20235.71794,1
22,23,50,49.014468,17.299224,279.670788,3
26,40,Pass,144.1602,8.649612,420.947784,1
