[Wafer Information]
Wafer Number,9
Wafer ID,A64-Q335730-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100086-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 03:14
End Time,01/19/2024 03:17
Inspection Time,0:03:21
Photo Time,0:03:02
Data Output Time,01/19/2024 04:50

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F19 Rubber Tip,F99 Others
9,A64-Q335730-401,5518,5482,99.34759,36,47,17,29,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,34,50,46.131264,20.182428,265.254768,3
21,18,50,123.977772,23.065632,784.231488,3
23,48,50,271.021176,8.649612,749.63304,1
23,48,50,273.90438,8.649612,738.100224,1
23,48,50,271.021176,8.649612,729.450612,1
23,26,50,271.021176,8.649612,758.282652,1
23,26,50,271.021176,8.649612,772.698672,1
23,26,50,204.707484,8.649612,611.239248,1
22,13,50,40.364856,23.065632,242.189136,3
25,28,50,60.547284,23.065632,360.4005,3
27,50,50,43.24806,20.182428,233.539524,3
28,49,50,271.021176,8.649612,804.413916,1
28,49,50,271.021176,8.649612,801.530712,1
28,49,50,103.795344,8.649612,291.203604,1
28,40,50,54.780876,23.065632,334.451664,3
34,26,50,43.24806,20.182428,247.955544,3
41,36,50,40.364856,25.948836,256.605156,3
43,27,50,271.021176,8.649612,810.180324,1
43,27,50,271.021176,8.649612,807.29712,1
43,27,50,271.021176,8.649612,807.29712,1
43,26,50,268.137972,8.649612,720.801,1
43,55,50,43.24806,20.182428,250.838748,3
46,2,50,57.66408,8.649612,158.57622,1
46,1,50,273.90438,8.649612,818.829936,1
46,1,50,271.021176,8.649612,813.063528,1
46,1,50,20.182428,8.649612,60.547284,1
49,49,50,201.82428,8.649612,591.05682,1
48,0,50,25.948836,8.649612,69.196896,1
49,0,50,273.90438,8.649612,815.946732,1
54,60,50,11.532816,20.182428,66.313692,2
55,66,50,72.0801,25.948836,469.962252,3
57,63,50,80.729712,8.649612,210.473892,1
64,4,50,63.430488,25.948836,415.181376,3
68,1,50,273.90438,8.649612,729.450612,1
70,4,50,49.014468,20.182428,282.553992,3
71,32,50,46.131264,20.182428,265.254768,3
76,7,50,51.897672,23.065632,308.502828,3
78,48,50,43.24806,20.182428,236.422728,3
80,50,50,37.481652,8.649612,106.678548,1
82,50,50,271.021176,8.649612,729.450612,1
91,22,50,43.24806,23.065632,265.254768,3
91,49,50,273.90438,8.649612,810.180324,1
91,49,50,196.057872,8.649612,570.874392,1
45,12,50,8.624142,5.749428,14.331245,1
61,13,50,2.874714,8.624142,8.598747,1
66,54,50,8.624142,8.624142,14.331245,1
41,55,50,393.835818,169.608126,1739.813143,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F19 Rubber Tip,F99 Others
9,A64-Q335730-401,5518,5497,99.619427,21,21,16,2,1,1,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,34,50,46.131264,20.182428,265.254768,3
21,18,50,123.977772,23.065632,784.231488,3
23,48,Pass,271.021176,8.649612,749.63304,1
23,48,Pass,273.90438,8.649612,738.100224,1
23,48,Pass,271.021176,8.649612,729.450612,1
23,26,Pass,271.021176,8.649612,758.282652,1
23,26,Pass,271.021176,8.649612,772.698672,1
23,26,Pass,204.707484,8.649612,611.239248,1
22,13,50,40.364856,23.065632,242.189136,3
25,28,50,60.547284,23.065632,360.4005,3
27,50,50,43.24806,20.182428,233.539524,3
28,49,Pass,271.021176,8.649612,804.413916,1
28,49,Pass,271.021176,8.649612,801.530712,1
28,49,Pass,103.795344,8.649612,291.203604,1
28,40,50,54.780876,23.065632,334.451664,3
34,26,50,43.24806,20.182428,247.955544,3
41,36,50,40.364856,25.948836,256.605156,3
43,27,Pass,271.021176,8.649612,810.180324,1
43,27,Pass,271.021176,8.649612,807.29712,1
43,27,Pass,271.021176,8.649612,807.29712,1
43,26,Pass,268.137972,8.649612,720.801,1
43,55,50,43.24806,20.182428,250.838748,3
46,2,Pass,57.66408,8.649612,158.57622,1
46,1,Pass,273.90438,8.649612,818.829936,1
46,1,Pass,271.021176,8.649612,813.063528,1
46,1,Pass,20.182428,8.649612,60.547284,1
49,49,Pass,201.82428,8.649612,591.05682,1
48,0,50,25.948836,8.649612,69.196896,1
49,0,Pass,273.90438,8.649612,815.946732,1
54,60,50,11.532816,20.182428,66.313692,2
55,66,50,72.0801,25.948836,469.962252,3
57,63,Pass,80.729712,8.649612,210.473892,1
64,4,50,63.430488,25.948836,415.181376,3
68,1,Pass,273.90438,8.649612,729.450612,1
70,4,50,49.014468,20.182428,282.553992,3
71,32,50,46.131264,20.182428,265.254768,3
76,7,50,51.897672,23.065632,308.502828,3
78,48,50,43.24806,20.182428,236.422728,3
80,50,50,37.481652,8.649612,106.678548,1
82,50,Pass,271.021176,8.649612,729.450612,1
91,22,50,43.24806,23.065632,265.254768,3
91,49,Pass,273.90438,8.649612,810.180324,1
91,49,Pass,196.057872,8.649612,570.874392,1
45,12,50,8.624142,5.749428,14.331245,1
61,13,Pass,2.874714,8.624142,8.598747,1
66,54,50,8.624142,8.624142,14.331245,1
41,55,Pass,393.835818,169.608126,1739.813143,3

