[Wafer Information]
Wafer Number,11
Wafer ID,Q335730-20B2
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100088-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 07:11
End Time,01/07/2024 07:18
Inspection Time,0:06:35
Photo Time,0:08:41
Data Output Time,01/07/2024 07:41

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
11,Q335730-20B2,19071,18877,98.982749,194,244,244

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,52,50,46.131264,25.948836,317.15244,3
8,65,50,28.83204,20.182428,112.444956,1
8,65,50,23.011296,25.887708,154.960344,1
8,65,50,14.38206,11.505648,37.305268,1
10,79,50,51.897672,20.182428,296.970012,3
8,54,50,60.547284,8.649612,167.225832,1
13,50,50,40.364856,25.948836,320.035644,3
17,52,50,60.547284,25.948836,369.050112,3
24,69,50,8.649612,54.780876,138.393792,1
24,80,50,8.649612,46.131264,126.860976,1
24,47,50,8.649612,46.131264,126.860976,1
26,88,50,8.649612,86.49612,247.955544,1
26,33,50,8.649612,86.49612,245.07234,1
28,42,50,80.729712,8.649612,233.539524,1
28,75,50,57.66408,8.649612,172.99224,1
28,75,50,80.729712,8.649612,236.422728,1
28,75,50,80.729712,8.649612,224.889912,1
30,37,50,51.897672,8.649612,138.393792,1
28,98,50,69.196896,25.948836,438.247008,3
28,97,50,80.729712,8.649612,230.65632,1
28,97,50,80.729712,8.649612,222.006708,1
30,81,50,37.481652,8.649612,98.028936,1
31,99,50,66.313692,60.547284,813.063528,3
31,99,50,74.786712,69.033888,1101.940224,3
31,32,50,80.729712,8.649612,219.123504,1
32,67,50,43.24806,23.065632,250.838748,3
37,104,50,66.313692,23.065632,438.247008,3
46,80,50,8.649612,46.131264,129.74418,1
46,26,50,8.649612,152.809812,435.363804,1
46,47,50,8.649612,49.014468,123.977772,1
46,25,50,8.649612,49.014468,129.74418,1
46,15,50,8.649612,149.926608,394.998948,1
46,91,50,8.649612,46.131264,118.211364,1
46,58,50,8.649612,49.014468,118.211364,1
48,44,50,8.649612,83.612916,222.006708,1
48,22,50,8.649612,86.49612,245.07234,1
48,55,50,8.649612,86.49612,239.305932,1
48,66,50,8.649612,83.612916,230.65632,1
48,88,50,8.649612,83.612916,227.773116,1
48,99,50,8.649612,80.729712,224.889912,1
50,97,50,80.729712,8.649612,224.889912,1
50,86,50,80.729712,8.649612,227.773116,1
50,108,50,80.729712,8.649612,213.357096,1
50,42,50,80.729712,8.649612,230.65632,1
50,42,50,80.729712,8.649612,236.422728,1
53,32,50,164.342628,8.649612,487.261476,1
53,32,50,14.41602,8.649612,40.364856,1
53,76,50,31.715244,8.649612,95.145732,1
53,76,50,63.430488,8.649612,178.758648,1
53,76,50,77.846508,8.649612,219.123504,1
51,81,50,123.977772,8.649612,322.918848,1
51,81,50,268.137972,11.532816,925.508484,1
51,81,50,268.137972,8.649612,743.866632,1
51,103,50,271.021176,11.532816,781.348284,1
53,87,50,74.963304,8.649612,204.707484,1
51,109,50,43.24806,23.065632,256.605156,3
53,65,50,80.729712,8.649612,227.773116,1
56,112,50,74.963304,23.065632,469.962252,3
61,99,50,66.313692,20.182428,389.23254,3
64,11,50,54.780876,25.948836,322.918848,3
64,114,50,43.24806,20.182428,259.48836,3
65,111,50,57.66408,23.065632,363.283704,3
68,15,50,8.649612,149.926608,432.4806,1
68,58,50,8.649612,49.014468,129.74418,1
70,99,50,8.649612,83.612916,219.123504,1
70,77,50,8.649612,86.49612,236.422728,1
70,33,50,8.649612,86.49612,239.305932,1
70,11,50,8.649612,83.612916,224.889912,1
72,42,50,80.729712,8.649612,236.422728,1
72,42,50,77.846508,8.649612,207.590688,1
72,42,50,80.729712,8.649612,236.422728,1
72,20,50,77.846508,8.649612,213.357096,1
72,20,50,80.729712,8.649612,236.422728,1
72,20,50,80.729712,8.649612,239.305932,1
72,53,50,80.729712,8.649612,224.889912,1
72,53,50,77.846508,11.532816,265.254768,1
72,53,50,80.729712,11.532816,294.086808,1
72,86,50,80.729712,8.649612,236.422728,1
72,31,50,80.729712,8.649612,224.889912,1
72,9,50,80.729712,8.649612,219.123504,1
90,58,50,8.649612,51.897672,132.627384,1
92,55,50,8.649612,83.612916,242.189136,1
90,69,50,8.649612,51.897672,135.510588,1
92,77,50,11.532816,83.612916,268.137972,1
90,14,50,8.649612,51.897672,135.510588,1
90,89,50,54.780876,25.948836,363.283704,3
92,66,50,8.649612,80.729712,227.773116,1
92,22,50,8.649612,83.612916,239.305932,1
92,44,50,8.649612,86.49612,236.422728,1
92,11,50,8.649612,83.612916,239.305932,1
95,4,50,268.137972,11.532816,787.114692,1
95,4,50,265.254768,11.532816,755.399448,1
95,4,50,175.875444,8.649612,487.261476,1
94,19,50,17.299224,20.182428,92.262528,1
94,19,50,17.258472,34.516944,152.090708,1
94,97,50,80.729712,8.649612,236.422728,1
94,97,50,80.729712,8.649612,236.422728,1
94,97,50,80.729712,8.649612,239.305932,1
97,76,50,80.729712,8.649612,222.006708,1
112,37,50,8.649612,152.809812,435.363804,1
112,102,50,8.649612,49.014468,121.094568,1
112,36,50,8.649612,54.780876,135.510588,1
