[Wafer Information]
Wafer Number,13
Wafer ID,Q328395-03C6
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100097-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/07/2024 09:44
End Time,01/07/2024 09:50
Inspection Time,0:06:41
Photo Time,0:15:44
Data Output Time,01/08/2024 02:01

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F13 Pad area damage
13,Q328395-03C6,19450,19199,98.709512,251,330,326,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,75,50,57.66408,23.065632,369.050112,3
15,43,50,46.131264,20.182428,271.021176,3
17,45,50,43.24806,23.065632,276.787584,3
18,54,50,86.49612,28.83204,640.071288,3
21,56,50,43.24806,28.83204,328.685256,3
21,59,50,89.379324,31.715244,645.837696,3
24,64,50,8.649612,60.547284,172.99224,1
24,58,50,8.649612,51.897672,129.74418,1
26,78,50,60.547284,28.83204,415.181376,3
30,76,50,57.66408,25.948836,377.699724,3
29,26,50,51.897672,8.649612,138.393792,1
33,89,50,63.430488,23.065632,369.050112,3
37,18,50,46.131264,25.948836,285.437196,3
42,18,50,17.299224,11.532816,49.014468,1
42,18,50,20.134884,14.38206,83.219444,1
42,18,50,14.38206,14.38206,63.131992,1
42,105,50,83.612916,20.182428,533.39274,3
46,15,50,8.649612,34.598448,98.028936,1
51,92,50,126.860976,8.649612,348.867684,1
51,92,50,46.131264,8.649612,126.860976,1
52,114,50,34.598448,5.766408,69.196896,1
54,34,50,43.24806,25.948836,325.802052,3
52,76,50,57.66408,8.649612,158.57622,1
63,110,50,46.131264,20.182428,276.787584,3
63,31,50,37.481652,40.364856,320.035644,3
63,31,50,40.269768,48.899004,462.011396,3
76,104,50,40.364856,25.948836,268.137972,3
86,118,50,49.014468,28.83204,354.634092,3
88,108,50,8.649612,14.41602,31.715244,1
90,69,50,8.649612,49.014468,126.860976,1
90,47,50,8.649612,49.014468,123.977772,1
90,42,50,8.649612,83.612916,236.422728,1
94,26,50,123.977772,11.532816,371.933316,1
97,76,50,89.379324,8.649612,242.189136,1
