[Wafer Information]
Wafer Number,7
Wafer ID,A32-Q334778-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100450-001Q
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/10/2024 10:57
End Time,01/10/2024 11:00
Inspection Time,0:03:20
Photo Time,0:04:46
Data Output Time,01/11/2024 01:19

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F82 Top side chipping no damage sensor area
7,A32-Q334778-401,5518,5485,99.401957,33,53,44,6,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,29,50,273.90438,8.649612,818.829936,1
6,29,50,222.006708,8.649612,663.13692,1
22,11,50,8.649612,170.109036,495.911088,1
22,11,50,8.649612,83.612916,245.07234,1
45,29,50,8.649612,60.547284,170.109036,1
45,29,50,8.649612,152.809812,452.663028,1
46,5,50,271.021176,8.649612,738.100224,1
46,5,50,74.963304,8.649612,201.82428,1
48,58,50,60.547284,28.83204,366.166908,3
47,5,50,227.773116,8.649612,671.786532,1
47,5,50,268.137972,8.649612,746.749836,1
50,29,50,184.525056,8.649612,542.042352,1
50,29,50,271.021176,8.649612,746.749836,1
50,29,50,57.66408,8.649612,149.926608,1
52,11,50,46.131264,25.948836,288.3204,3
56,46,50,40.364856,31.715244,279.670788,3
57,1,50,57.66408,8.649612,155.693016,1
57,48,50,271.021176,8.649612,732.333816,1
63,31,50,46.131264,43.24806,507.443904,3
63,1,50,8.649612,144.1602,369.050112,1
65,57,50,57.66408,25.948836,337.334868,3
83,50,50,8.649612,144.1602,389.23254,1
86,8,50,28.83204,325.802052,1856.783376,2
86,8,50,28.83204,325.802052,1804.885704,2
86,8,50,28.83204,325.802052,1928.863476,2
98,25,50,98.028936,20.182428,596.823228,3
101,40,50,80.729712,8.649612,219.123504,1
6,31,50,2.874714,14.37357,14.331245,1
6,31,50,2.874714,14.37357,14.331245,1
6,31,50,5.749428,8.624142,11.464996,1
6,31,50,2.874714,14.37357,14.331245,1
6,31,50,2.874714,20.122998,20.063743,1
6,31,50,2.874714,5.749428,5.732498,1
6,31,50,2.874714,8.624142,8.598747,1
6,31,50,2.874714,5.749428,5.732498,1
6,31,50,2.874714,5.749428,5.732498,1
18,29,50,2.874714,20.122998,20.063743,1
19,60,50,2.874714,5.749428,5.732498,1
21,39,50,8.624142,2.874714,8.598747,1
45,67,50,2.874714,5.749428,5.732498,1
54,46,50,2.874714,5.749428,5.732498,1
55,46,50,2.874714,20.122998,20.063743,1
70,36,50,2.874714,5.749428,5.732498,1
73,39,50,5.749428,22.997712,25.796241,1
73,39,50,2.874714,25.872426,25.796241,1
73,39,50,2.874714,8.624142,8.598747,1
91,53,50,2.874714,8.624142,8.598747,1
24,33,50,592.191084,3113.315262,11078.052385,1
25,33,50,8.624142,3098.941692,8957.028125,1
25,33,50,2187.657354,3113.315262,18323.929857,1
24,32,50,592.191084,974.528046,4313.704745,1
25,32,50,2187.657354,974.528046,11794.614635,1
