[Wafer Information]
Wafer Number,13
Wafer ID,Q334778-21A5
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100464-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 06:54
End Time,01/09/2024 07:01
Inspection Time,0:06:31
Photo Time,0:07:20
Data Output Time,01/09/2024 09:02

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
13,Q334778-21A5,18786,18638,99.212179,148,170,170

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,53,50,74.963304,31.715244,516.093516,3
8,70,50,51.897672,8.649612,147.043404,1
11,55,50,86.49612,69.196896,1032.187032,3
11,55,50,94.921596,77.663124,1500.819628,3
10,70,50,69.196896,20.182428,409.414968,3
15,49,50,83.612916,25.948836,567.991188,3
19,33,50,43.24806,25.948836,268.137972,3
19,46,50,49.014468,43.24806,472.845456,3
19,46,50,57.52824,54.651828,680.103732,3
24,92,50,8.649612,149.926608,446.89662,1
25,99,50,100.91214,20.182428,619.88886,3
24,81,50,8.649612,152.809812,412.298172,1
24,48,50,8.649612,152.809812,438.247008,1
24,47,50,8.649612,49.014468,123.977772,1
24,37,50,66.313692,28.83204,478.611864,3
24,37,50,8.649612,149.926608,403.64856,1
27,40,50,34.598448,40.364856,380.582928,3
27,40,50,43.14618,48.899004,519.404116,3
26,44,50,8.649612,83.612916,236.422728,1
26,33,50,8.649612,80.729712,213.357096,1
28,53,50,80.729712,8.649612,219.123504,1
32,35,50,40.364856,31.715244,311.386032,3
34,52,50,63.430488,74.963304,1075.435092,3
34,52,50,71.9103,83.415948,1386.034188,3
40,25,50,57.66408,43.24806,510.327108,3
46,58,50,8.649612,46.131264,123.977772,1
46,15,50,8.649612,149.926608,418.06458,1
46,25,50,8.649612,49.014468,123.977772,1
46,26,50,8.649612,149.926608,449.779824,1
51,70,50,268.137972,8.649612,752.516244,1
50,59,50,224.889912,8.649612,596.823228,1
52,76,50,57.66408,8.649612,161.459424,1
57,113,50,57.66408,25.948836,348.867684,3
64,13,50,40.364856,25.948836,302.73642,3
67,14,50,17.299224,51.897672,198.941076,1
67,14,50,25.887708,69.033888,261.136876,1
68,16,50,11.532816,149.926608,449.779824,1
68,16,50,8.649612,152.809812,420.947784,1
68,25,50,8.649612,51.897672,135.510588,1
68,36,50,8.649612,51.897672,129.74418,1
70,11,50,8.649612,83.612916,236.422728,1
75,43,50,25.948836,8.649612,74.963304,1
76,118,50,43.24806,31.715244,357.517296,3
90,15,50,8.649612,149.926608,449.779824,1
90,16,50,8.649612,152.809812,400.765356,1
90,14,50,8.649612,49.014468,132.627384,1
90,26,50,8.649612,149.926608,426.714192,1
