[Wafer Information]
Wafer Number,23
Wafer ID,A100-Q334778-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100471-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/10/2024 03:31
End Time,01/10/2024 03:34
Inspection Time,0:03:20
Photo Time,0:03:06
Data Output Time,01/10/2024 05:05

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
23,A100-Q334778-401,5518,5464,99.021385,54,77,23,52,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,37,50,34.598448,31.715244,299.853216,3
3,29,50,271.021176,8.649612,778.46508,1
3,29,50,271.021176,8.649612,792.8811,1
3,29,50,271.021176,8.649612,804.413916,1
3,29,50,57.66408,8.649612,149.926608,1
10,16,50,43.24806,20.182428,242.189136,3
12,51,50,273.90438,8.649612,735.21702,1
13,53,50,46.131264,51.897672,550.691964,3
13,53,50,57.49428,63.243708,854.142202,3
17,52,50,271.021176,8.649612,798.647508,1
17,52,50,271.021176,8.649612,738.100224,1
17,52,50,123.977772,8.649612,325.802052,1
19,28,50,271.021176,8.649612,729.450612,1
20,28,50,54.780876,8.649612,138.393792,1
20,11,50,46.131264,20.182428,256.605156,3
25,41,50,14.41602,8.649612,40.364856,1
30,25,50,17.299224,20.182428,89.379324,2
31,3,50,271.021176,8.649612,761.165856,1
32,3,50,216.2403,8.649612,645.837696,1
32,3,50,25.948836,8.649612,72.0801,1
32,36,50,43.24806,17.299224,239.305932,3
34,5,50,271.021176,8.649612,784.231488,1
33,4,50,51.897672,23.065632,296.970012,3
33,20,50,121.094568,23.065632,735.21702,3
35,53,50,49.014468,23.065632,305.619624,3
36,52,50,54.780876,23.065632,325.802052,3
39,52,50,273.90438,8.649612,810.180324,1
39,52,50,86.49612,8.649612,259.48836,1
39,52,50,271.021176,8.649612,798.647508,1
39,52,50,268.137972,8.649612,778.46508,1
40,19,50,11.532816,8.649612,34.598448,1
40,19,50,28.83204,8.649612,83.612916,1
42,32,50,49.014468,20.182428,279.670788,3
45,28,50,28.83204,40.364856,288.3204,3
45,29,50,268.137972,8.649612,729.450612,1
46,2,50,54.780876,8.649612,158.57622,1
46,59,50,43.24806,20.182428,256.605156,3
46,42,50,28.83204,23.065632,103.795344,1
46,42,50,28.74714,14.37357,120.382458,1
48,20,50,83.612916,8.649612,207.590688,1
48,20,50,80.729712,8.649612,230.65632,1
50,64,50,80.729712,8.649612,242.189136,1
50,64,50,103.795344,8.649612,288.3204,1
50,16,50,63.430488,23.065632,363.283704,3
51,30,50,271.021176,8.649612,792.8811,1
52,48,50,49.014468,23.065632,305.619624,3
56,5,50,273.90438,8.649612,813.063528,1
56,5,50,268.137972,8.649612,764.04906,1
56,5,50,123.977772,8.649612,343.101276,1
57,5,50,271.021176,8.649612,810.180324,1
57,5,50,172.99224,8.649612,518.97672,1
57,5,50,271.021176,8.649612,787.114692,1
57,5,50,271.021176,8.649612,810.180324,1
56,3,50,40.364856,8.649612,109.561752,1
56,4,50,268.137972,8.649612,715.034592,1
57,18,50,80.729712,8.649612,222.006708,1
57,50,50,57.66408,25.948836,363.283704,3
61,40,50,83.612916,8.649612,230.65632,1
62,52,50,271.021176,8.649612,781.348284,1
63,20,50,115.32816,23.065632,749.63304,3
66,44,50,43.24806,23.065632,247.955544,3
68,54,50,89.379324,25.948836,559.341576,3
74,30,50,271.021176,8.649612,807.29712,1
74,30,50,271.021176,8.649612,810.180324,1
74,30,50,190.291464,8.649612,570.874392,1
74,30,50,271.021176,8.649612,766.932264,1
73,44,50,74.963304,20.182428,432.4806,3
77,4,50,271.021176,8.649612,766.932264,1
79,55,50,40.364856,49.014468,498.794292,3
79,55,50,48.870138,57.49428,733.759744,3
81,18,50,17.299224,23.065632,98.028936,2
82,52,50,268.137972,8.649612,735.21702,1
83,52,50,273.90438,8.649612,732.333816,1
85,51,50,268.137972,8.649612,732.333816,1
89,28,50,66.313692,25.948836,420.947784,3
97,30,50,54.780876,8.649612,141.276996,1
13,20,50,2.874714,5.749428,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F99 Others
23,A100-Q334778-401,5518,5497,99.619427,21,22,19,1,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,37,50,34.598448,31.715244,299.853216,3
3,29,Pass,271.021176,8.649612,778.46508,1
3,29,Pass,271.021176,8.649612,792.8811,1
3,29,Pass,271.021176,8.649612,804.413916,1
3,29,Pass,57.66408,8.649612,149.926608,1
10,16,50,43.24806,20.182428,242.189136,3
12,51,Pass,273.90438,8.649612,735.21702,1
13,53,Pass,46.131264,51.897672,550.691964,3
13,53,Pass,57.49428,63.243708,854.142202,3
17,52,Pass,271.021176,8.649612,798.647508,1
17,52,Pass,271.021176,8.649612,738.100224,1
17,52,Pass,123.977772,8.649612,325.802052,1
19,28,Pass,271.021176,8.649612,729.450612,1
20,28,Pass,54.780876,8.649612,138.393792,1
20,11,50,46.131264,20.182428,256.605156,3
25,41,Pass,14.41602,8.649612,40.364856,1
30,25,Pass,17.299224,20.182428,89.379324,2
31,3,Pass,271.021176,8.649612,761.165856,1
32,3,Pass,216.2403,8.649612,645.837696,1
32,3,50,25.948836,8.649612,72.0801,1
32,36,50,43.24806,17.299224,239.305932,3
34,5,Pass,271.021176,8.649612,784.231488,1
33,4,50,51.897672,23.065632,296.970012,3
33,20,50,121.094568,23.065632,735.21702,3
35,53,50,49.014468,23.065632,305.619624,3
36,52,50,54.780876,23.065632,325.802052,3
39,52,Pass,273.90438,8.649612,810.180324,1
39,52,Pass,86.49612,8.649612,259.48836,1
39,52,Pass,271.021176,8.649612,798.647508,1
39,52,Pass,268.137972,8.649612,778.46508,1
40,19,Pass,11.532816,8.649612,34.598448,1
40,19,Pass,28.83204,8.649612,83.612916,1
42,32,50,49.014468,20.182428,279.670788,3
45,28,50,28.83204,40.364856,288.3204,3
45,29,Pass,268.137972,8.649612,729.450612,1
46,2,Pass,54.780876,8.649612,158.57622,1
46,59,50,43.24806,20.182428,256.605156,3
46,42,50,28.83204,23.065632,103.795344,1
46,42,50,28.74714,14.37357,120.382458,1
48,20,Pass,83.612916,8.649612,207.590688,1
48,20,Pass,80.729712,8.649612,230.65632,1
50,64,Pass,80.729712,8.649612,242.189136,1
50,64,Pass,103.795344,8.649612,288.3204,1
50,16,50,63.430488,23.065632,363.283704,3
51,30,Pass,271.021176,8.649612,792.8811,1
52,48,50,49.014468,23.065632,305.619624,3
56,5,Pass,273.90438,8.649612,813.063528,1
56,5,Pass,268.137972,8.649612,764.04906,1
56,5,Pass,123.977772,8.649612,343.101276,1
57,5,Pass,271.021176,8.649612,810.180324,1
57,5,Pass,172.99224,8.649612,518.97672,1
57,5,Pass,271.021176,8.649612,787.114692,1
57,5,Pass,271.021176,8.649612,810.180324,1
56,3,Pass,40.364856,8.649612,109.561752,1
56,4,Pass,268.137972,8.649612,715.034592,1
57,18,Pass,80.729712,8.649612,222.006708,1
57,50,50,57.66408,25.948836,363.283704,3
61,40,Pass,83.612916,8.649612,230.65632,1
62,52,Pass,271.021176,8.649612,781.348284,1
63,20,50,115.32816,23.065632,749.63304,3
66,44,50,43.24806,23.065632,247.955544,3
68,54,50,89.379324,25.948836,559.341576,3
74,30,Pass,271.021176,8.649612,807.29712,1
74,30,Pass,271.021176,8.649612,810.180324,1
74,30,Pass,190.291464,8.649612,570.874392,1
74,30,Pass,271.021176,8.649612,766.932264,1
73,44,50,74.963304,20.182428,432.4806,3
77,4,Pass,271.021176,8.649612,766.932264,1
79,55,Pass,40.364856,49.014468,498.794292,3
79,55,Pass,48.870138,57.49428,733.759744,3
81,18,Pass,17.299224,23.065632,98.028936,2
82,52,Pass,268.137972,8.649612,735.21702,1
83,52,Pass,273.90438,8.649612,732.333816,1
85,51,Pass,268.137972,8.649612,732.333816,1
89,28,50,66.313692,25.948836,420.947784,3
97,30,Pass,54.780876,8.649612,141.276996,1
13,20,Pass,2.874714,5.749428,5.732498,1

