[Wafer Information]
Wafer Number,17
Wafer ID,A59-Q328395-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100572-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 04:33
End Time,01/20/2024 04:36
Inspection Time,0:03:21
Photo Time,0:02:56
Data Output Time,01/20/2024 05:23

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others
17,A59-Q328395-402,5518,5487,99.438202,31,40,11,1,26,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,36,50,46.131264,25.948836,320.035644,3
5,32,50,17.299224,8.649612,46.131264,1
5,32,50,40.364856,8.649612,103.795344,1
6,32,50,273.90438,8.649612,813.063528,1
6,32,50,178.758648,8.649612,493.027884,1
7,45,50,49.014468,37.481652,386.349336,3
9,48,50,43.24806,23.065632,242.189136,3
15,33,50,46.131264,8.649612,121.094568,1
20,48,50,51.897672,23.065632,305.619624,3
22,10,50,271.021176,8.649612,720.801,1
22,10,50,271.021176,8.649612,712.151388,1
23,10,50,54.780876,8.649612,164.342628,1
26,32,50,69.196896,8.649612,184.525056,1
25,48,50,147.043404,23.065632,902.442852,3
39,35,50,40.364856,37.481652,400.765356,3
43,35,50,60.547284,25.948836,400.765356,3
46,55,50,273.90438,8.649612,813.063528,1
45,55,50,14.41602,23.065632,86.49612,2
46,32,50,273.90438,8.649612,738.100224,1
46,32,50,271.021176,8.649612,755.399448,1
49,56,50,271.021176,8.649612,772.698672,1
49,56,50,271.021176,8.649612,755.399448,1
49,56,50,236.422728,8.649612,694.852164,1
49,61,50,51.897672,25.948836,320.035644,3
54,12,50,57.66408,8.649612,158.57622,1
59,33,50,271.021176,8.649612,804.413916,1
59,33,50,123.977772,8.649612,328.685256,1
60,33,50,271.021176,8.649612,712.151388,1
65,25,50,46.131264,23.065632,291.203604,3
72,56,50,54.780876,8.649612,149.926608,1
74,12,50,271.021176,8.649612,810.180324,1
74,12,50,271.021176,8.649612,801.530712,1
74,12,50,181.641852,8.649612,544.925556,1
78,53,50,43.24806,23.065632,262.371564,3
83,33,50,54.780876,8.649612,161.459424,1
82,26,50,17.299224,20.182428,95.145732,2
88,11,50,273.90438,8.649612,792.8811,1
91,24,50,54.780876,8.649612,149.926608,1
14,48,50,2.874714,14.37357,14.331245,1
51,0,50,34.496568,63.243708,435.669848,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others
17,A59-Q328395-402,5518,5504,99.746285,14,15,10,2,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
1,36,50,46.131264,25.948836,320.035644,3
5,32,50,17.299224,8.649612,46.131264,1
5,32,50,40.364856,8.649612,103.795344,1
6,32,Pass,273.90438,8.649612,813.063528,1
6,32,Pass,178.758648,8.649612,493.027884,1
7,45,50,49.014468,37.481652,386.349336,3
9,48,50,43.24806,23.065632,242.189136,3
15,33,Pass,46.131264,8.649612,121.094568,1
20,48,50,51.897672,23.065632,305.619624,3
22,10,Pass,271.021176,8.649612,720.801,1
22,10,Pass,271.021176,8.649612,712.151388,1
23,10,Pass,54.780876,8.649612,164.342628,1
26,32,Pass,69.196896,8.649612,184.525056,1
25,48,50,147.043404,23.065632,902.442852,3
39,35,50,40.364856,37.481652,400.765356,3
43,35,50,60.547284,25.948836,400.765356,3
46,55,Pass,273.90438,8.649612,813.063528,1
45,55,50,14.41602,23.065632,86.49612,2
46,32,Pass,273.90438,8.649612,738.100224,1
46,32,Pass,271.021176,8.649612,755.399448,1
49,56,Pass,271.021176,8.649612,772.698672,1
49,56,Pass,271.021176,8.649612,755.399448,1
49,56,Pass,236.422728,8.649612,694.852164,1
49,61,50,51.897672,25.948836,320.035644,3
54,12,Pass,57.66408,8.649612,158.57622,1
59,33,Pass,271.021176,8.649612,804.413916,1
59,33,Pass,123.977772,8.649612,328.685256,1
60,33,Pass,271.021176,8.649612,712.151388,1
65,25,50,46.131264,23.065632,291.203604,3
72,56,Pass,54.780876,8.649612,149.926608,1
74,12,Pass,271.021176,8.649612,810.180324,1
74,12,Pass,271.021176,8.649612,801.530712,1
74,12,Pass,181.641852,8.649612,544.925556,1
78,53,50,43.24806,23.065632,262.371564,3
83,33,Pass,54.780876,8.649612,161.459424,1
82,26,50,17.299224,20.182428,95.145732,2
88,11,Pass,273.90438,8.649612,792.8811,1
91,24,Pass,54.780876,8.649612,149.926608,1
14,48,Pass,2.874714,14.37357,14.331245,1
51,0,50,34.496568,63.243708,435.669848,3

