[Wafer Information]
Wafer Number,13
Wafer ID,Q335961-22C5
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101024-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/18/2024 11:48
End Time,01/18/2024 11:55
Inspection Time,0:06:22
Photo Time,0:10:32
Data Output Time,01/19/2024 12:18

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling,F13 Pad area damage,F06 Incoming others
13,Q335961-22C5,18163,17952,98.838298,211,244,242,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,53,50,83.612916,8.649612,239.305932,1
11,53,50,63.430488,20.182428,392.115744,3
17,77,50,11.532816,20.182428,72.0801,2
16,79,50,109.561752,20.182428,694.852164,3
18,80,50,77.846508,20.182428,461.31264,3
18,62,50,66.313692,25.948836,423.830988,3
20,69,50,74.963304,25.948836,469.962252,3
26,34,50,54.780876,74.963304,527.626332,1
26,34,50,28.76412,74.786712,645.6681,1
27,25,50,66.313692,8.649612,178.758648,1
27,25,50,98.028936,8.649612,273.90438,1
27,25,50,167.225832,8.649612,469.962252,1
28,97,50,80.729712,8.649612,219.123504,1
29,70,50,268.137972,8.649612,715.034592,1
29,70,50,17.299224,8.649612,46.131264,1
30,88,50,17.299224,20.182428,106.678548,2
29,59,50,268.137972,8.649612,743.866632,1
31,47,50,46.131264,23.065632,273.90438,3
32,25,50,147.043404,57.66408,1470.43404,3
32,25,50,152.449836,69.033888,2048.920104,3
32,25,50,28.76412,34.516944,298.442144,1
34,79,50,46.131264,23.065632,265.254768,3
37,68,50,86.49612,28.83204,582.407208,3
42,64,50,57.66408,20.182428,354.634092,3
42,76,50,57.66408,25.948836,371.933316,3
43,82,50,89.379324,23.065632,608.356044,3
46,48,50,8.649612,152.809812,441.130212,1
46,37,50,8.649612,149.926608,400.765356,1
46,58,50,8.649612,49.014468,123.977772,1
47,46,50,8.649612,83.612916,242.189136,1
50,55,50,40.364856,25.948836,279.670788,3
52,65,50,72.0801,8.649612,184.525056,1
52,54,50,54.780876,8.649612,158.57622,1
58,83,50,66.313692,40.364856,475.72866,3
65,93,50,43.24806,31.715244,334.451664,3
68,36,50,8.649612,46.131264,129.74418,1
68,27,50,8.649612,54.780876,141.276996,1
68,26,50,8.649612,152.809812,435.363804,1
68,9,50,8.649612,83.612916,233.539524,1
70,44,50,8.649612,80.729712,233.539524,1
70,76,50,63.430488,23.065632,409.414968,3
71,55,50,43.24806,28.83204,317.15244,3
71,70,50,46.131264,20.182428,273.90438,3
73,26,50,268.137972,8.649612,775.581876,1
73,26,50,268.137972,11.532816,720.801,1
73,26,50,268.137972,8.649612,735.21702,1
73,26,50,268.137972,8.649612,778.46508,1
73,26,50,28.83204,11.532816,92.262528,1
72,53,50,80.729712,8.649612,224.889912,1
74,69,50,43.24806,31.715244,345.98448,3
75,61,50,66.313692,31.715244,481.495068,3
74,84,50,46.131264,20.182428,282.553992,3
77,48,50,43.24806,23.065632,247.955544,3
78,104,50,31.715244,8.649612,83.612916,1
78,104,50,49.014468,8.649612,132.627384,1
80,82,50,51.897672,23.065632,314.269236,3
80,47,50,49.014468,23.065632,305.619624,3
81,105,50,51.897672,37.481652,438.247008,3
81,105,50,54.651828,46.022592,642.798464,3
83,38,50,43.24806,28.83204,294.086808,3
84,31,50,46.131264,23.065632,288.3204,3
85,42,50,46.131264,25.948836,343.101276,3
85,79,50,77.846508,25.948836,478.611864,3
87,46,50,49.014468,28.83204,383.466132,3
86,52,50,51.897672,28.83204,377.699724,3
86,37,50,46.131264,28.83204,363.283704,3
89,50,50,25.948836,40.364856,294.086808,3
88,94,50,89.379324,25.948836,599.706432,3
90,51,50,34.598448,37.481652,285.437196,3
90,48,50,8.649612,152.809812,441.130212,1
89,6,50,17.299224,20.182428,86.49612,2
92,16,50,43.24806,23.065632,239.305932,3
92,68,50,51.897672,28.83204,371.933316,3
92,99,50,17.299224,23.065632,103.795344,2
94,9,50,80.729712,8.649612,227.773116,1
99,53,50,46.131264,31.715244,308.502828,3
99,54,50,43.24806,25.948836,262.371564,3
98,74,50,63.430488,20.182428,377.699724,3
100,35,50,54.780876,25.948836,374.81652,3
101,57,50,37.481652,31.715244,305.619624,3
102,76,50,40.364856,25.948836,259.48836,3
102,50,50,14.41602,20.182428,66.313692,2
102,49,50,46.131264,28.83204,371.933316,3
102,60,50,37.481652,43.24806,429.597396,3
105,60,50,54.780876,43.24806,527.626332,3
107,70,50,43.24806,28.83204,296.970012,3
105,54,50,46.131264,31.715244,363.283704,3
108,82,50,17.299224,20.182428,86.49612,2
110,53,50,51.897672,31.715244,383.466132,3
111,14,50,17.299224,34.598448,115.32816,1
111,14,50,23.011296,51.775416,195.135248,1
112,15,50,8.649612,152.809812,441.130212,1
112,15,50,8.649612,46.131264,138.393792,1
112,16,50,8.649612,49.014468,126.860976,1
112,56,50,49.014468,25.948836,334.451664,3
112,70,50,8.649612,152.809812,423.830988,1
114,56,50,49.014468,25.948836,302.73642,3
113,58,50,74.963304,31.715244,495.911088,3
113,11,50,49.014468,28.83204,392.115744,3
114,57,50,49.014468,31.715244,369.050112,3
116,9,50,80.729712,11.532816,262.371564,1
116,9,50,83.612916,11.532816,320.035644,1
116,86,50,80.729712,8.649612,236.422728,1
116,86,50,80.729712,8.649612,236.422728,1
116,69,50,51.897672,23.065632,320.035644,3
118,32,50,46.131264,28.83204,294.086808,3
118,65,50,54.780876,8.649612,152.809812,1
118,65,50,63.430488,23.065632,392.115744,3
118,120,50,54.780876,8.649612,164.342628,1
121,56,50,49.014468,31.715244,334.451664,3
124,87,50,72.0801,25.948836,446.89662,3
125,84,50,54.780876,20.182428,340.218072,3
126,23,50,40.364856,31.715244,291.203604,3
127,47,50,60.547284,25.948836,429.597396,3
127,100,50,20.182428,17.299224,89.379324,2
129,65,50,49.014468,23.065632,345.98448,3
128,66,50,46.131264,23.065632,285.437196,3
130,42,50,49.014468,31.715244,392.115744,3
129,69,50,51.897672,23.065632,314.269236,3
130,68,50,74.963304,23.065632,464.195844,3
131,75,50,86.49612,23.065632,542.042352,3
135,70,50,51.897672,23.065632,340.218072,3
137,47,50,31.715244,43.24806,426.714192,3
140,92,50,49.014468,8.649612,126.860976,1
138,97,50,80.729712,8.649612,233.539524,1
138,97,50,80.729712,8.649612,239.305932,1
138,97,50,80.729712,8.649612,236.422728,1
138,92,50,265.254768,8.649612,712.151388,1
139,92,50,268.137972,8.649612,735.21702,1
140,41,50,51.897672,28.83204,343.101276,3
143,71,50,25.948836,43.24806,337.334868,3
143,66,50,43.24806,20.182428,262.371564,3
146,68,50,43.24806,40.364856,351.750888,3
151,85,50,57.66408,23.065632,360.4005,3
155,84,50,14.41602,20.182428,77.846508,2
154,69,50,54.780876,25.948836,371.933316,3
155,74,50,43.24806,20.182428,247.955544,3
160,15,50,57.66408,8.649612,158.57622,1
160,37,50,31.715244,8.649612,80.729712,1
161,59,50,268.137972,8.649612,752.516244,1
161,81,50,268.137972,8.649612,717.917796,1
162,81,50,54.780876,8.649612,149.926608,1
164,32,50,17.299224,20.182428,89.379324,2
179,59,50,72.0801,43.24806,591.05682,3
188,48,50,63.430488,34.598448,487.261476,3
188,52,50,43.24806,25.948836,273.90438,3
199,52,50,34.598448,31.715244,253.721952,3
198,57,50,60.547284,43.24806,619.88886,3
103,117,50,17.258472,60.404652,226.701244,3
110,120,50,34.516944,54.651828,450.532852,3
14,57,50,37.393356,5.752824,68.871264,1
16,88,50,5.752824,14.38206,17.217816,1
23,58,50,2.876412,8.629236,8.608908,1
23,58,50,2.876412,8.629236,8.608908,1
23,58,50,2.876412,8.629236,8.608908,1
30,38,50,2.876412,8.629236,8.608908,1
30,82,50,2.876412,8.629236,8.608908,1
31,94,50,8.629236,2.876412,8.608908,1
31,94,50,11.505648,2.876412,11.478544,1
30,74,50,63.281064,8.629236,169.308524,1
31,28,50,17.258472,2.876412,17.217816,1
31,29,50,14.38206,2.876412,14.34818,1
45,58,50,2.876412,8.629236,8.608908,1
45,58,50,2.876412,8.629236,8.608908,1
45,58,50,2.876412,11.505648,11.478544,1
49,54,50,5.752824,8.629236,14.34818,1
49,99,50,8.629236,11.505648,31.565996,1
52,38,50,8.629236,11.505648,22.957088,1
52,71,50,8.629236,8.629236,22.957088,1
53,106,50,20.134884,2.876412,20.087452,1
53,84,50,17.258472,2.876412,17.217816,1
53,45,50,11.505648,11.505648,40.174904,1
53,17,50,11.505648,2.876412,11.478544,1
53,17,50,8.629236,2.876412,8.608908,1
53,17,50,14.38206,2.876412,14.34818,1
53,17,50,11.505648,2.876412,11.478544,1
69,117,50,2.876412,14.38206,14.34818,1
69,115,50,2.876412,17.258472,17.217816,1
68,112,50,11.505648,5.752824,20.087452,1
68,64,50,14.38206,25.887708,71.7409,1
70,9,50,2.876412,34.516944,34.435632,1
70,9,50,2.876412,8.629236,8.608908,1
69,39,50,2.876412,8.629236,8.608908,1
70,73,50,2.876412,17.258472,17.217816,1
69,79,50,14.38206,2.876412,14.34818,1
70,114,50,5.752824,132.314952,146.351436,1
71,117,50,2.876412,8.629236,8.608908,1
71,117,50,2.876412,8.629236,8.608908,1
70,8,50,2.876412,11.505648,11.478544,1
74,104,50,5.752824,8.629236,17.217816,1
75,94,50,8.629236,2.876412,8.608908,1
75,17,50,11.505648,2.876412,11.478544,1
83,7,50,17.258472,2.876412,17.217816,1
89,69,50,2.876412,37.393356,37.305268,1
89,47,50,2.876412,11.505648,11.478544,1
93,88,50,5.752824,8.629236,14.34818,1
96,49,50,5.752824,8.629236,17.217816,1
96,82,50,5.752824,8.629236,11.478544,1
96,104,50,5.752824,8.629236,14.34818,1
97,29,50,17.258472,2.876412,17.217816,1
95,4,50,8.629236,5.752824,14.34818,1
101,107,50,5.752824,20.134884,28.69636,1
112,11,50,2.876412,8.629236,8.608908,1
113,48,50,2.876412,8.629236,8.608908,1
112,44,50,2.876412,8.629236,8.608908,1
117,114,50,8.629236,8.629236,20.087452,1
117,116,50,14.38206,14.38206,43.04454,1
116,92,50,5.752824,11.505648,20.087452,1
119,116,50,8.629236,2.876412,8.608908,1
119,83,50,11.505648,2.876412,11.478544,1
119,83,50,8.629236,2.876412,8.608908,1
119,83,50,8.629236,2.876412,8.608908,1
119,85,50,31.640532,5.752824,40.174904,1
121,82,50,37.393356,5.752824,51.653448,1
122,120,50,5.752824,17.258472,22.957088,1
122,82,50,17.258472,5.752824,31.565996,1
139,114,50,11.505648,5.752824,20.087452,1
137,110,50,17.258472,11.505648,45.914176,1
139,81,50,8.629236,5.752824,11.478544,1
141,106,50,17.258472,2.876412,17.217816,1
140,93,50,5.752824,8.629236,11.478544,1
141,17,50,8.629236,2.876412,8.608908,1
156,19,50,2.876412,8.629236,8.608908,1
154,15,50,5.752824,28.76412,48.783812,1
156,55,50,2.876412,8.629236,8.608908,1
161,104,50,11.505648,8.629236,31.565996,1
163,105,50,14.38206,2.876412,14.34818,1
163,105,50,8.629236,2.876412,8.608908,1
163,105,50,14.38206,2.876412,14.34818,1
163,61,50,8.629236,2.876412,8.608908,1
162,49,50,5.752824,11.505648,20.087452,1
163,73,50,17.258472,2.876412,17.217816,1
163,94,50,8.629236,2.876412,8.608908,1
177,36,50,2.876412,8.629236,8.608908,1
183,93,50,8.629236,8.629236,17.217816,1
185,39,50,8.629236,2.876412,8.608908,1
185,50,50,8.629236,2.876412,8.608908,1
185,83,50,11.505648,2.876412,11.478544,1
185,51,50,20.134884,2.876412,20.087452,1
184,49,50,5.752824,8.629236,11.478544,1
189,52,50,5.752824,11.505648,22.957088,1
197,45,50,14.38206,14.38206,54.523084,1
206,60,50,8.629236,8.629236,20.087452,1
207,61,50,8.629236,2.876412,8.608908,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling,F13 Pad area damage,F06 Incoming others
13,Q335961-22C5,18163,18038,99.311788,125,135,82,15,35,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,53,Pass,83.612916,8.649612,239.305932,1
11,53,50,63.430488,20.182428,392.115744,3
17,77,Pass,11.532816,20.182428,72.0801,2
16,79,50,109.561752,20.182428,694.852164,3
18,80,50,77.846508,20.182428,461.31264,3
18,62,50,66.313692,25.948836,423.830988,3
20,69,50,74.963304,25.948836,469.962252,3
26,34,50,54.780876,74.963304,527.626332,1
26,34,50,28.76412,74.786712,645.6681,1
27,25,Pass,66.313692,8.649612,178.758648,1
27,25,Pass,98.028936,8.649612,273.90438,1
27,25,Pass,167.225832,8.649612,469.962252,1
28,97,Pass,80.729712,8.649612,219.123504,1
29,70,Pass,268.137972,8.649612,715.034592,1
29,70,50,17.299224,8.649612,46.131264,1
30,88,Pass,17.299224,20.182428,106.678548,2
29,59,Pass,268.137972,8.649612,743.866632,1
31,47,50,46.131264,23.065632,273.90438,3
32,25,50,147.043404,57.66408,1470.43404,3
32,25,50,152.449836,69.033888,2048.920104,3
32,25,50,28.76412,34.516944,298.442144,1
34,79,50,46.131264,23.065632,265.254768,3
37,68,50,86.49612,28.83204,582.407208,3
42,64,50,57.66408,20.182428,354.634092,3
42,76,50,57.66408,25.948836,371.933316,3
43,82,50,89.379324,23.065632,608.356044,3
46,48,Pass,8.649612,152.809812,441.130212,1
46,37,Pass,8.649612,149.926608,400.765356,1
46,58,Pass,8.649612,49.014468,123.977772,1
47,46,Pass,8.649612,83.612916,242.189136,1
50,55,50,40.364856,25.948836,279.670788,3
52,65,Pass,72.0801,8.649612,184.525056,1
52,54,Pass,54.780876,8.649612,158.57622,1
58,83,50,66.313692,40.364856,475.72866,3
65,93,50,43.24806,31.715244,334.451664,3
68,36,Pass,8.649612,46.131264,129.74418,1
68,27,Pass,8.649612,54.780876,141.276996,1
68,26,Pass,8.649612,152.809812,435.363804,1
68,9,Pass,8.649612,83.612916,233.539524,1
70,44,Pass,8.649612,80.729712,233.539524,1
70,76,50,63.430488,23.065632,409.414968,3
71,55,50,43.24806,28.83204,317.15244,3
71,70,50,46.131264,20.182428,273.90438,3
73,26,Pass,268.137972,8.649612,775.581876,1
73,26,Pass,268.137972,11.532816,720.801,1
73,26,Pass,268.137972,8.649612,735.21702,1
73,26,Pass,268.137972,8.649612,778.46508,1
73,26,Pass,28.83204,11.532816,92.262528,1
72,53,Pass,80.729712,8.649612,224.889912,1
74,69,50,43.24806,31.715244,345.98448,3
75,61,50,66.313692,31.715244,481.495068,3
74,84,50,46.131264,20.182428,282.553992,3
77,48,50,43.24806,23.065632,247.955544,3
78,104,Pass,31.715244,8.649612,83.612916,1
78,104,Pass,49.014468,8.649612,132.627384,1
80,82,50,51.897672,23.065632,314.269236,3
80,47,50,49.014468,23.065632,305.619624,3
81,105,Pass,51.897672,37.481652,438.247008,3
81,105,Pass,54.651828,46.022592,642.798464,3
83,38,50,43.24806,28.83204,294.086808,3
84,31,50,46.131264,23.065632,288.3204,3
85,42,50,46.131264,25.948836,343.101276,3
85,79,50,77.846508,25.948836,478.611864,3
