[Wafer Information]
Wafer Number,21
Wafer ID,A89-Q336635-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101055-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 10:53
End Time,01/21/2024 10:56
Inspection Time,0:03:20
Photo Time,0:03:38
Data Output Time,01/21/2024 11:36

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F99 Others,F82 Top side chipping no damage sensor area,F07 Incoming microlens periphery peeling
21,A89-Q336635-402,5518,5498,99.63755,20,26,14,2,10

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,15,50,273.90438,8.649612,784.231488,1
23,48,50,14.41602,20.182428,92.262528,2
23,26,50,54.780876,8.649612,155.693016,1
34,64,50,46.131264,23.065632,279.670788,3
37,5,50,14.41602,20.182428,83.612916,2
40,56,50,271.021176,8.649612,807.29712,1
40,56,50,77.846508,8.649612,230.65632,1
41,39,50,43.24806,37.481652,392.115744,3
40,10,50,40.364856,28.83204,276.787584,3
49,4,50,63.430488,31.715244,478.611864,3
49,4,50,54.619566,17.248284,232.166169,3
65,58,50,43.24806,28.83204,285.437196,3
71,22,50,63.430488,23.065632,438.247008,3
72,4,50,11.532816,23.065632,60.547284,1
85,26,50,11.532816,8.649612,34.598448,1
92,25,50,69.196896,20.182428,394.998948,3
98,26,50,43.24806,23.065632,282.553992,3
52,55,50,2.874714,28.74714,28.66249,1
72,7,50,5.749428,80.491992,146.178699,1
75,8,50,5.749428,48.870138,91.719968,1
97,18,50,304.719684,17.248284,679.301013,1
97,18,50,25.872426,5.749428,28.66249,1
97,18,50,28.74714,5.749428,34.394988,1
97,18,50,227.102406,17.248284,564.651053,1
97,18,50,68.993136,5.749428,77.388723,1
32,49,50,51.744852,20.122998,209.236177,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F99 Others,F82 Top side chipping no damage sensor area,F07 Incoming microlens periphery peeling
21,A89-Q336635-402,5518,5503,99.728162,15,20,2,10,1,6,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,15,Pass,273.90438,8.649612,784.231488,1
23,48,50,14.41602,20.182428,92.262528,2
23,26,Pass,54.780876,8.649612,155.693016,1
34,64,50,46.131264,23.065632,279.670788,3
37,5,50,14.41602,20.182428,83.612916,2
40,56,Pass,271.021176,8.649612,807.29712,1
40,56,Pass,77.846508,8.649612,230.65632,1
41,39,50,43.24806,37.481652,392.115744,3
40,10,50,40.364856,28.83204,276.787584,3
49,4,50,63.430488,31.715244,478.611864,3
49,4,50,54.619566,17.248284,232.166169,3
65,58,50,43.24806,28.83204,285.437196,3
71,22,50,63.430488,23.065632,438.247008,3
72,4,50,11.532816,23.065632,60.547284,1
85,26,Pass,11.532816,8.649612,34.598448,1
92,25,50,69.196896,20.182428,394.998948,3
98,26,50,43.24806,23.065632,282.553992,3
52,55,Pass,2.874714,28.74714,28.66249,1
72,7,50,5.749428,80.491992,146.178699,1
75,8,50,5.749428,48.870138,91.719968,1
97,18,50,304.719684,17.248284,679.301013,1
97,18,50,25.872426,5.749428,28.66249,1
97,18,50,28.74714,5.749428,34.394988,1
97,18,50,227.102406,17.248284,564.651053,1
97,18,50,68.993136,5.749428,77.388723,1
32,49,50,51.744852,20.122998,209.236177,3

