[Wafer Information]
Wafer Number,7
Wafer ID,A102-Q337422-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101058-002A
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 09:14
End Time,01/30/2024 09:17
Inspection Time,0:03:20
Photo Time,0:04:03
Data Output Time,01/30/2024 12:20

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F99 Others
7,A102-Q337422-402,5518,5455,98.858282,63,92,28,51,13

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,42,50,63.430488,23.065632,403.64856,3
4,22,50,54.780876,20.182428,340.218072,3
3,38,50,54.780876,8.649612,147.043404,1
5,27,50,74.963304,20.182428,432.4806,3
6,41,50,51.897672,20.182428,299.853216,3
5,38,50,271.021176,8.649612,764.04906,1
8,24,50,57.66408,20.182428,340.218072,3
10,33,50,43.24806,20.182428,250.838748,3
12,19,50,273.90438,8.649612,801.530712,1
12,47,50,80.729712,8.649612,216.2403,1
13,19,50,271.021176,8.649612,720.801,1
12,29,50,80.729712,8.649612,210.473892,1
12,29,50,83.612916,8.649612,239.305932,1
12,29,50,80.729712,8.649612,236.422728,1
12,29,50,170.109036,8.649612,501.677496,1
12,29,50,80.729712,8.649612,242.189136,1
12,29,50,83.612916,8.649612,230.65632,1
12,28,50,83.612916,8.649612,216.2403,1
23,19,50,43.24806,23.065632,268.137972,3
26,48,50,43.24806,25.948836,296.970012,3
26,48,50,51.744852,37.371282,484.396081,3
29,63,50,271.021176,8.649612,801.530712,1
30,56,50,72.0801,25.948836,481.495068,3
31,37,50,271.021176,8.649612,755.399448,1
31,37,50,271.021176,8.649612,732.333816,1
31,37,50,54.780876,8.649612,144.1602,1
33,44,50,17.299224,20.182428,83.612916,2
33,5,50,66.313692,20.182428,394.998948,3
