[Wafer Information]
Wafer Number,5
Wafer ID,A103Q337422402.Chipping.0
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101058-012
Description,
Wafer Size(mm),200
Die Size XY(um),X,1357.753,Y,2285.221
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 12:28
End Time,01/30/2024 12:29
Inspection Time,0:01:06
Photo Time,0:00:00
Data Output Time,01/30/2024 01:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
5,A103Q337422402.Chipping.0,3382,3375,99.793022,7,9,9

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
22,18,50,11.464996,11.464996,22.929992,1
23,5,50,5.732498,2.866249,5.732498,1
40,18,50,8.598747,2.866249,8.598747,1
43,4,50,2.866249,5.732498,5.732498,1
80,16,50,2.866249,11.464996,11.464996,1
80,16,50,2.866249,5.732498,5.732498,1
83,10,50,65.923727,2.866249,65.923727,1
98,24,50,2.866249,8.598747,8.598747,1
98,24,50,2.866249,28.66249,28.66249,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F07 Incoming microlens periphery peeling
5,A103Q337422402.Chipping.0,3382,3375,99.793022,7,9,9

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
22,18,50,11.464996,11.464996,22.929992,1
23,5,50,5.732498,2.866249,5.732498,1
40,18,50,8.598747,2.866249,8.598747,1
43,4,50,2.866249,5.732498,5.732498,1
80,16,50,2.866249,11.464996,11.464996,1
80,16,50,2.866249,5.732498,5.732498,1
83,10,50,65.923727,2.866249,65.923727,1
98,24,50,2.866249,8.598747,8.598747,1
98,24,50,2.866249,28.66249,28.66249,1

