[Wafer Information]
Wafer Number,9
Wafer ID,Q337422-16C4
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101075-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/19/2024 01:12
End Time,01/19/2024 01:19
Inspection Time,0:06:46
Photo Time,0:10:28
Data Output Time,01/19/2024 01:48

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F82 Top side chipping no damage sensor area,F16 Die scratch,F07 Incoming microlens periphery peeling
9,Q337422-16C4,19983,19703,98.598809,280,382,377,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,70,50,14.41602,25.948836,98.028936,1
2,70,50,28.76412,25.887708,140.612164,1
4,73,50,60.547284,23.065632,386.349336,3
14,86,50,46.131264,20.182428,285.437196,3
17,76,50,77.846508,20.182428,455.546232,3
18,83,50,60.547284,25.948836,371.933316,3
20,63,50,51.897672,20.182428,328.685256,3
24,91,50,8.649612,46.131264,115.32816,1
24,69,50,8.649612,46.131264,123.977772,1
24,48,50,8.649612,149.926608,423.830988,1
24,58,50,8.649612,49.014468,129.74418,1
24,47,50,8.649612,46.131264,123.977772,1
24,37,50,8.649612,149.926608,435.363804,1
26,66,50,8.649612,80.729712,222.006708,1
26,33,50,8.649612,80.729712,233.539524,1
26,44,50,8.649612,83.612916,230.65632,1
26,88,50,8.649612,80.729712,219.123504,1
26,77,50,8.649612,83.612916,224.889912,1
26,55,50,8.649612,80.729712,239.305932,1
28,75,50,80.729712,8.649612,224.889912,1
28,75,50,80.729712,8.649612,227.773116,1
28,86,50,80.729712,8.649612,236.422728,1
28,86,50,77.846508,8.649612,233.539524,1
28,97,50,80.729712,8.649612,233.539524,1
28,97,50,80.729712,8.649612,230.65632,1
28,53,50,80.729712,8.649612,239.305932,1
28,53,50,80.729712,8.649612,236.422728,1
28,41,50,54.780876,28.83204,374.81652,3
28,30,50,43.24806,31.715244,371.933316,3
31,52,50,86.49612,37.481652,596.823228,3
33,63,50,57.66408,31.715244,383.466132,3
31,91,50,51.897672,20.182428,308.502828,3
34,72,50,49.014468,25.948836,328.685256,3
35,90,50,60.547284,23.065632,354.634092,3
38,94,50,60.547284,25.948836,386.349336,3
40,95,50,54.780876,20.182428,328.685256,3
44,103,50,46.131264,20.182428,285.437196,3
44,86,50,66.313692,20.182428,409.414968,3
43,85,50,54.780876,23.065632,340.218072,3
46,36,50,8.649612,49.014468,121.094568,1
46,26,50,8.649612,152.809812,446.89662,1
46,25,50,8.649612,49.014468,132.627384,1
46,48,50,8.649612,149.926608,406.531764,1
46,91,50,8.649612,49.014468,123.977772,1
48,88,50,8.649612,83.612916,222.006708,1
48,110,50,8.649612,80.729712,216.2403,1
48,44,50,8.649612,83.612916,230.65632,1
48,66,50,8.649612,83.612916,233.539524,1
48,33,50,8.649612,86.49612,242.189136,1
50,64,50,80.729712,8.649612,222.006708,1
49,70,50,72.0801,23.065632,441.130212,3
49,51,50,40.364856,25.948836,296.970012,3
52,98,50,46.131264,20.182428,279.670788,3
52,98,50,57.66408,8.649612,155.693016,1
52,95,50,49.014468,20.182428,320.035644,3
50,31,50,80.729712,8.649612,224.889912,1
52,32,50,46.131264,23.065632,271.021176,3
52,32,50,54.780876,8.649612,149.926608,1
50,42,50,17.299224,8.649612,51.897672,1
51,91,50,51.897672,20.182428,311.386032,3
50,20,50,80.729712,8.649612,230.65632,1
53,12,50,14.41602,8.649612,40.364856,1
53,12,50,17.258472,5.752824,31.565996,1
52,54,50,54.780876,8.649612,155.693016,1
53,29,50,46.131264,28.83204,340.218072,3
52,76,50,54.780876,8.649612,158.57622,1
54,43,50,40.364856,25.948836,305.619624,3
52,87,50,57.66408,8.649612,167.225832,1
57,101,50,46.131264,25.948836,288.3204,3
59,44,50,49.014468,31.715244,363.283704,3
68,15,50,8.649612,149.926608,441.130212,1
68,14,50,8.649612,49.014468,129.74418,1
68,9,50,8.649612,80.729712,236.422728,1
70,58,50,72.0801,28.83204,504.5607,3
68,47,50,8.649612,51.897672,132.627384,1
70,77,50,8.649612,83.612916,227.773116,1
68,36,50,8.649612,49.014468,132.627384,1
70,44,50,8.649612,83.612916,239.305932,1
68,101,50,57.66408,20.182428,360.4005,3
69,86,50,40.364856,23.065632,262.371564,3
70,55,50,8.649612,83.612916,236.422728,1
70,33,50,8.649612,83.612916,233.539524,1
70,22,50,8.649612,83.612916,239.305932,1
70,11,50,8.649612,83.612916,242.189136,1
74,81,50,51.897672,8.649612,138.393792,1
72,108,50,80.729712,8.649612,224.889912,1
72,108,50,80.729712,8.649612,222.006708,1
74,103,50,51.897672,8.649612,149.926608,1
74,98,50,77.846508,11.532816,253.721952,1
75,32,50,80.729712,8.649612,233.539524,1
75,32,50,77.846508,8.649612,204.707484,1
75,43,50,80.729712,8.649612,224.889912,1
79,92,50,43.24806,20.182428,271.021176,3
84,39,50,60.547284,25.948836,400.765356,3
85,61,50,20.182428,8.649612,46.131264,1
90,69,50,8.649612,49.014468,129.74418,1
90,80,50,8.649612,49.014468,132.627384,1
90,58,50,8.649612,49.014468,121.094568,1
90,114,50,8.649612,152.809812,446.89662,1
90,81,50,8.649612,152.809812,429.597396,1
90,26,50,8.649612,152.809812,441.130212,1
90,36,50,8.649612,49.014468,126.860976,1
90,15,50,8.649612,149.926608,444.013416,1
92,44,50,8.649612,80.729712,236.422728,1
92,77,50,8.649612,80.729712,219.123504,1
92,55,50,8.649612,83.612916,230.65632,1
92,11,50,8.649612,83.612916,222.006708,1
92,33,50,8.649612,83.612916,239.305932,1
92,22,50,8.649612,83.612916,219.123504,1
94,97,50,80.729712,8.649612,236.422728,1
94,97,50,80.729712,8.649612,239.305932,1
94,119,50,80.729712,8.649612,227.773116,1
94,64,50,80.729712,8.649612,224.889912,1
94,4,50,121.094568,11.532816,363.283704,1
96,54,50,54.780876,11.532816,161.459424,1
95,48,50,190.291464,8.649612,530.509536,1
97,48,50,43.24806,28.83204,320.035644,3
97,76,50,77.846508,8.649612,222.006708,1
96,109,50,54.780876,8.649612,152.809812,1
97,109,50,167.225832,8.649612,469.962252,1
97,98,50,167.225832,8.649612,490.14468,1
