[Wafer Information]
Wafer Number,9
Wafer ID,A64-Q337362-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101106-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/23/2024 03:49
End Time,01/23/2024 03:52
Inspection Time,0:03:21
Photo Time,0:04:12
Data Output Time,01/23/2024 04:47

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling
9,A64-Q337362-402,5518,5479,99.293222,39,48,22,23,2,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,16,50,271.021176,8.649612,807.29712,1
12,16,50,273.90438,8.649612,810.180324,1
12,16,50,37.481652,8.649612,112.444956,1
12,15,50,8.649612,152.809812,412.298172,1
12,15,50,8.649612,155.693016,446.89662,1
22,20,50,51.897672,20.182428,305.619624,3
42,19,50,100.91214,23.065632,602.589636,3
43,37,50,109.561752,8.649612,302.73642,1
42,18,50,66.313692,23.065632,380.582928,3
43,59,50,95.145732,20.182428,579.524004,3
46,50,50,14.41602,23.065632,83.612916,2
47,49,50,14.41602,20.182428,66.313692,2
55,8,50,43.24806,23.065632,262.371564,3
57,63,50,273.90438,8.649612,818.829936,1
57,63,50,69.196896,8.649612,198.941076,1
57,24,50,43.24806,20.182428,245.07234,3
57,23,50,46.131264,20.182428,256.605156,3
58,24,50,40.364856,28.83204,320.035644,3
57,4,50,57.66408,20.182428,331.56846,3
60,15,50,273.90438,8.649612,735.21702,1
61,10,50,49.014468,23.065632,314.269236,3
68,58,50,60.547284,325.802052,2179.702224,3
68,58,50,68.993136,336.341538,3319.116342,3
70,14,50,43.24806,23.065632,245.07234,3
70,11,50,46.131264,23.065632,262.371564,3
74,64,50,273.90438,8.649612,752.516244,1
74,64,50,63.430488,8.649612,167.225832,1
76,33,50,43.24806,23.065632,271.021176,3
78,6,50,57.66408,40.364856,550.691964,3
77,33,50,69.196896,20.182428,423.830988,3
77,26,50,43.24806,31.715244,371.933316,3
83,17,50,46.131264,23.065632,285.437196,3
86,17,50,34.598448,40.364856,374.81652,3
87,37,50,271.021176,8.649612,717.917796,1
95,34,50,66.313692,86.49612,870.727608,3
95,34,50,5.766408,23.065632,46.131264,1
95,34,50,22.997712,25.872426,108.917462,1
95,34,50,80.491992,94.865562,1390.130765,3
95,42,50,63.430488,23.065632,374.81652,3
23,13,50,2.874714,8.624142,8.598747,1
28,24,50,2.874714,17.248284,17.197494,1
41,36,50,2.874714,5.749428,5.732498,1
47,0,50,2.874714,11.498856,11.464996,1
51,6,50,2.874714,5.749428,5.732498,1
52,29,50,2.874714,66.118422,65.923727,1
60,30,50,2.874714,5.749428,5.732498,1
78,26,50,11.498856,14.37357,34.394988,1
93,43,50,51.744852,5.749428,88.853719,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F07 Incoming microlens periphery peeling
9,A64-Q337362-402,5518,5495,99.583182,23,27,19,5,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,16,Pass,271.021176,8.649612,807.29712,1
12,16,Pass,273.90438,8.649612,810.180324,1
12,16,Pass,37.481652,8.649612,112.444956,1
12,15,Pass,8.649612,152.809812,412.298172,1
12,15,Pass,8.649612,155.693016,446.89662,1
22,20,50,51.897672,20.182428,305.619624,3
42,19,50,100.91214,23.065632,602.589636,3
43,37,Pass,109.561752,8.649612,302.73642,1
42,18,50,66.313692,23.065632,380.582928,3
43,59,50,95.145732,20.182428,579.524004,3
46,50,Pass,14.41602,23.065632,83.612916,2
47,49,Pass,14.41602,20.182428,66.313692,2
55,8,50,43.24806,23.065632,262.371564,3
57,63,Pass,273.90438,8.649612,818.829936,1
57,63,Pass,69.196896,8.649612,198.941076,1
57,24,50,43.24806,20.182428,245.07234,3
57,23,50,46.131264,20.182428,256.605156,3
58,24,50,40.364856,28.83204,320.035644,3
57,4,50,57.66408,20.182428,331.56846,3
60,15,Pass,273.90438,8.649612,735.21702,1
61,10,50,49.014468,23.065632,314.269236,3
68,58,50,60.547284,325.802052,2179.702224,3
68,58,50,68.993136,336.341538,3319.116342,3
70,14,50,43.24806,23.065632,245.07234,3
70,11,50,46.131264,23.065632,262.371564,3
74,64,Pass,273.90438,8.649612,752.516244,1
74,64,Pass,63.430488,8.649612,167.225832,1
76,33,50,43.24806,23.065632,271.021176,3
78,6,50,57.66408,40.364856,550.691964,3
77,33,50,69.196896,20.182428,423.830988,3
77,26,50,43.24806,31.715244,371.933316,3
83,17,50,46.131264,23.065632,285.437196,3
86,17,50,34.598448,40.364856,374.81652,3
87,37,Pass,271.021176,8.649612,717.917796,1
95,34,50,66.313692,86.49612,870.727608,3
95,34,50,5.766408,23.065632,46.131264,1
95,34,50,22.997712,25.872426,108.917462,1
95,34,50,80.491992,94.865562,1390.130765,3
95,42,50,63.430488,23.065632,374.81652,3
23,13,Pass,2.874714,8.624142,8.598747,1
28,24,Pass,2.874714,17.248284,17.197494,1
41,36,Pass,2.874714,5.749428,5.732498,1
47,0,Pass,2.874714,11.498856,11.464996,1
51,6,Pass,2.874714,5.749428,5.732498,1
52,29,Pass,2.874714,66.118422,65.923727,1
60,30,50,2.874714,5.749428,5.732498,1
78,26,50,11.498856,14.37357,34.394988,1
93,43,Pass,51.744852,5.749428,88.853719,1

