[Wafer Information]
Wafer Number,11
Wafer ID,Q337362-21E1
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101111-002
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 05:30
End Time,01/20/2024 05:37
Inspection Time,0:06:49
Photo Time,0:13:08
Data Output Time,01/20/2024 06:18

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others,F33 Black Foreign material,F13 Pad area damage,F07 Incoming microlens periphery peeling
11,Q337362-21E1,19833,19505,98.346191,328,410,406,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,53,50,49.014468,31.715244,380.582928,3
6,53,50,80.729712,11.532816,239.305932,1
6,53,50,80.729712,8.649612,224.889912,1
6,62,50,83.612916,69.196896,732.333816,3
6,62,50,100.67442,83.415948,1173.681124,3
6,62,50,28.76412,54.651828,373.05268,1
6,60,50,54.780876,63.430488,582.407208,3
6,60,50,60.404652,77.663124,863.760436,3
6,60,50,28.76412,100.67442,639.928828,1
6,57,50,17.299224,20.182428,86.49612,2
6,64,50,80.729712,8.649612,216.2403,1
6,64,50,80.729712,8.649612,210.473892,1
9,85,50,69.196896,23.065632,429.597396,3
9,61,50,285.437196,69.196896,3108.093912,3
9,61,50,8.649612,43.24806,95.145732,1
9,61,50,296.270436,86.29236,4565.590876,3
9,61,50,28.76412,43.14618,344.35632,1
9,46,50,23.065632,34.598448,193.174668,1
9,46,50,28.76412,25.887708,223.831608,1
10,52,50,8.649612,37.481652,74.963304,1
10,52,50,28.76412,34.516944,261.136876,1
12,57,50,279.670788,74.963304,2537.21952,3
12,57,50,284.764788,89.168772,3607.132452,3
12,57,50,28.76412,57.52824,430.4454,1
11,44,50,8.649612,31.715244,66.313692,1
11,44,50,28.76412,34.516944,258.26724,1
15,60,50,49.014468,25.948836,299.853216,3
19,46,50,23.065632,23.065632,155.693016,2
22,61,50,63.430488,25.948836,409.414968,3
23,53,50,37.481652,28.83204,291.203604,3
24,70,50,8.649612,152.809812,444.013416,1
24,59,50,8.649612,149.926608,426.714192,1
24,58,50,8.649612,49.014468,135.510588,1
24,92,50,8.649612,149.926608,403.64856,1
24,48,50,8.649612,152.809812,429.597396,1
23,47,50,152.809812,89.379324,1900.031436,3
23,47,50,186.96678,100.67442,2657.282936,3
23,47,50,28.76412,23.011296,206.613792,1
24,46,50,43.24806,40.364856,383.466132,3
24,46,50,48.899004,48.899004,611.232468,3
24,46,50,28.76412,40.269768,352.965228,1
24,37,50,8.649612,152.809812,452.663028,1
26,66,50,8.649612,46.131264,132.627384,1
26,77,50,8.649612,83.612916,219.123504,1
26,88,50,8.649612,80.729712,219.123504,1
26,99,50,8.649612,80.729712,236.422728,1
26,55,50,8.649612,83.612916,227.773116,1
28,97,50,80.729712,8.649612,216.2403,1
28,86,50,80.729712,8.649612,227.773116,1
28,75,50,80.729712,8.649612,219.123504,1
28,75,50,80.729712,8.649612,230.65632,1
28,53,50,80.729712,8.649612,213.357096,1
28,53,50,80.729712,8.649612,233.539524,1
28,26,50,54.780876,20.182428,320.035644,3
31,54,50,46.131264,8.649612,121.094568,1
29,46,50,14.41602,37.481652,83.612916,1
29,46,50,95.145732,54.780876,749.63304,3
29,46,50,51.897672,60.547284,553.575168,3
29,46,50,247.955544,40.364856,2280.614364,3
29,46,50,572.405988,129.43854,6864.169312,3
29,46,50,28.76412,43.14618,295.572508,1
30,76,50,54.780876,8.649612,161.459424,1
31,76,50,167.225832,8.649612,475.72866,1
31,76,50,77.846508,8.649612,222.006708,1
30,98,50,57.66408,8.649612,152.809812,1
29,92,50,268.137972,8.649612,729.450612,1
33,73,50,69.196896,25.948836,441.130212,3
37,56,50,57.66408,31.715244,435.363804,3
42,59,50,43.24806,25.948836,302.73642,3
41,78,50,63.430488,25.948836,409.414968,3
44,50,50,46.131264,23.065632,273.90438,3
46,69,50,8.649612,49.014468,126.860976,1
46,26,50,8.649612,149.926608,449.779824,1
45,77,50,20.182428,20.182428,112.444956,2
46,15,50,8.649612,149.926608,446.89662,1
46,58,50,8.649612,49.014468,132.627384,1
46,36,50,8.649612,49.014468,123.977772,1
46,59,50,8.649612,152.809812,406.531764,1
