[Wafer Information]
Wafer Number,11
Wafer ID,A85-Q337362-402
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101118-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/22/2024 12:36
End Time,01/22/2024 12:39
Inspection Time,0:03:21
Photo Time,0:03:40
Data Output Time,01/22/2024 01:04

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
11,A85-Q337362-402,5518,5471,99.148242,47,56,25,30,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,42,50,86.49612,25.948836,553.575168,3
14,34,50,40.364856,23.065632,233.539524,3
15,52,50,43.24806,23.065632,271.021176,3
18,38,50,34.598448,34.598448,320.035644,3
18,50,50,51.897672,23.065632,302.73642,3
21,6,50,8.649612,144.1602,418.06458,1
21,8,50,8.649612,80.729712,236.422728,1
23,6,50,8.649612,86.49612,233.539524,1
26,40,50,28.83204,8.649612,83.612916,1
26,13,50,34.598448,8.649612,98.028936,1
26,13,50,86.49612,8.649612,239.305932,1
29,4,50,271.021176,8.649612,743.866632,1
29,4,50,273.90438,8.649612,769.815468,1
29,4,50,271.021176,8.649612,798.647508,1
29,60,50,14.41602,20.182428,72.0801,2
31,63,50,51.897672,23.065632,340.218072,3
29,48,50,43.24806,23.065632,273.90438,3
32,56,50,46.131264,23.065632,288.3204,3
34,45,50,43.24806,23.065632,273.90438,3
34,39,50,46.131264,31.715244,299.853216,3
36,9,50,8.649612,144.1602,383.466132,1
35,59,50,54.780876,23.065632,325.802052,3
39,7,50,8.649612,141.276996,415.181376,1
40,17,50,273.90438,8.649612,723.684204,1
39,5,50,28.83204,8.649612,80.729712,1
39,5,50,28.83204,8.649612,77.846508,1
43,49,50,8.649612,155.693016,415.181376,1
42,8,50,8.649612,83.612916,245.07234,1
43,50,50,51.897672,20.182428,294.086808,3
46,11,50,60.547284,8.649612,172.99224,1
45,4,50,51.897672,23.065632,296.970012,3
51,67,50,43.24806,23.065632,256.605156,3
58,36,50,40.364856,23.065632,233.539524,3
60,49,50,271.021176,8.649612,740.983428,1
60,49,50,271.021176,8.649612,746.749836,1
61,3,50,49.014468,23.065632,296.970012,3
62,30,50,43.24806,20.182428,242.189136,3
62,15,50,43.24806,20.182428,239.305932,3
69,46,50,43.24806,23.065632,268.137972,3
72,18,50,49.014468,23.065632,294.086808,3
72,34,50,72.0801,23.065632,438.247008,3
73,18,50,43.24806,20.182428,227.773116,3
74,25,50,46.131264,20.182428,282.553992,3
74,32,50,184.525056,8.649612,490.14468,1
74,32,50,273.90438,8.649612,740.983428,1
94,51,50,273.90438,8.649612,813.063528,1
101,35,50,40.364856,23.065632,276.787584,3
21,51,50,5.749428,2.874714,5.732498,1
21,51,50,5.749428,2.874714,5.732498,1
21,51,50,5.749428,2.874714,5.732498,1
21,51,50,11.498856,2.874714,11.464996,1
38,33,50,57.49428,8.624142,83.121221,1
42,18,50,17.248284,2.874714,17.197494,1
59,33,50,8.624142,2.874714,8.598747,1
95,51,50,17.248284,2.874714,17.197494,1
50,2,50,57.49428,60.368994,601.91229,3

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
11,A85-Q337362-402,5518,5492,99.528815,26,26,25,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,42,50,86.49612,25.948836,553.575168,3
14,34,50,40.364856,23.065632,233.539524,3
15,52,50,43.24806,23.065632,271.021176,3
18,38,50,34.598448,34.598448,320.035644,3
18,50,50,51.897672,23.065632,302.73642,3
21,6,Pass,8.649612,144.1602,418.06458,1
21,8,Pass,8.649612,80.729712,236.422728,1
23,6,Pass,8.649612,86.49612,233.539524,1
26,40,Pass,28.83204,8.649612,83.612916,1
26,13,Pass,34.598448,8.649612,98.028936,1
26,13,Pass,86.49612,8.649612,239.305932,1
29,4,Pass,271.021176,8.649612,743.866632,1
29,4,Pass,273.90438,8.649612,769.815468,1
29,4,Pass,271.021176,8.649612,798.647508,1
29,60,Pass,14.41602,20.182428,72.0801,2
31,63,50,51.897672,23.065632,340.218072,3
29,48,50,43.24806,23.065632,273.90438,3
32,56,50,46.131264,23.065632,288.3204,3
34,45,50,43.24806,23.065632,273.90438,3
34,39,50,46.131264,31.715244,299.853216,3
36,9,Pass,8.649612,144.1602,383.466132,1
35,59,50,54.780876,23.065632,325.802052,3
39,7,Pass,8.649612,141.276996,415.181376,1
40,17,Pass,273.90438,8.649612,723.684204,1
39,5,Pass,28.83204,8.649612,80.729712,1
39,5,50,28.83204,8.649612,77.846508,1
43,49,Pass,8.649612,155.693016,415.181376,1
42,8,Pass,8.649612,83.612916,245.07234,1
43,50,50,51.897672,20.182428,294.086808,3
46,11,Pass,60.547284,8.649612,172.99224,1
45,4,50,51.897672,23.065632,296.970012,3
51,67,50,43.24806,23.065632,256.605156,3
58,36,50,40.364856,23.065632,233.539524,3
60,49,Pass,271.021176,8.649612,740.983428,1
60,49,Pass,271.021176,8.649612,746.749836,1
61,3,50,49.014468,23.065632,296.970012,3
62,30,50,43.24806,20.182428,242.189136,3
62,15,50,43.24806,20.182428,239.305932,3
69,46,50,43.24806,23.065632,268.137972,3
72,18,50,49.014468,23.065632,294.086808,3
72,34,50,72.0801,23.065632,438.247008,3
73,18,50,43.24806,20.182428,227.773116,3
74,25,50,46.131264,20.182428,282.553992,3
74,32,Pass,184.525056,8.649612,490.14468,1
74,32,Pass,273.90438,8.649612,740.983428,1
94,51,Pass,273.90438,8.649612,813.063528,1
101,35,50,40.364856,23.065632,276.787584,3
21,51,Pass,5.749428,2.874714,5.732498,1
21,51,Pass,5.749428,2.874714,5.732498,1
21,51,Pass,5.749428,2.874714,5.732498,1
21,51,Pass,11.498856,2.874714,11.464996,1
38,33,Pass,57.49428,8.624142,83.121221,1
42,18,Pass,17.248284,2.874714,17.197494,1
59,33,Pass,8.624142,2.874714,8.598747,1
95,51,Pass,17.248284,2.874714,17.197494,1
50,2,50,57.49428,60.368994,601.91229,3

