[Wafer Information]
Wafer Number,13
Wafer ID,Q334273-03H1
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101139-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 06:44
End Time,01/20/2024 06:51
Inspection Time,0:06:41
Photo Time,0:12:06
Data Output Time,01/20/2024 07:27

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F13 Pad area damage
13,Q334273-03H1,19554,19199,98.184515,355,409,408,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,72,50,57.66408,20.182428,357.517296,3
12,90,50,51.897672,20.182428,279.670788,3
16,74,50,17.299224,20.182428,106.678548,2
16,46,50,14.41602,20.182428,83.612916,2
17,58,50,17.299224,25.948836,118.211364,2
18,37,50,14.41602,25.948836,95.145732,2
19,52,50,17.299224,20.182428,83.612916,2
18,88,50,49.014468,20.182428,317.15244,3
21,88,50,14.41602,20.182428,89.379324,2
20,88,50,72.0801,23.065632,435.363804,3
21,44,50,43.24806,25.948836,276.787584,3
20,42,50,17.299224,17.299224,92.262528,2
24,37,50,8.649612,149.926608,438.247008,1
23,44,50,46.131264,23.065632,265.254768,3
24,91,50,8.649612,43.24806,123.977772,1
24,39,50,43.24806,28.83204,331.56846,3
24,80,50,8.649612,54.780876,135.510588,1
26,51,50,17.299224,20.182428,98.028936,2
26,44,50,8.649612,83.612916,219.123504,1
27,78,50,46.131264,20.182428,279.670788,3
28,97,50,40.364856,8.649612,121.094568,1
28,97,50,80.729712,8.649612,224.889912,1
28,86,50,80.729712,11.532816,276.787584,1
28,86,50,80.729712,11.532816,294.086808,1
28,44,50,17.299224,20.182428,89.379324,2
28,90,50,89.379324,23.065632,593.940024,3
28,75,50,80.729712,8.649612,224.889912,1
28,75,50,80.729712,8.649612,227.773116,1
28,53,50,77.846508,8.649612,227.773116,1
30,70,50,17.299224,20.182428,92.262528,2
29,59,50,20.182428,8.649612,51.897672,1
29,37,50,253.721952,11.532816,778.46508,1
29,37,50,34.598448,11.532816,95.145732,1
31,78,50,14.41602,20.182428,80.729712,2
29,48,50,57.66408,11.532816,158.57622,1
33,88,50,17.299224,20.182428,103.795344,2
38,64,50,11.532816,20.182428,69.196896,2
38,105,50,46.131264,31.715244,343.101276,3
38,106,50,51.897672,34.598448,403.64856,3
40,103,50,83.612916,20.182428,567.991188,3
40,29,50,49.014468,28.83204,348.867684,3
40,28,50,54.780876,28.83204,377.699724,3
40,95,50,17.299224,20.182428,80.729712,2
42,17,50,43.24806,25.948836,308.502828,3
42,52,50,112.444956,40.364856,755.399448,3
45,85,50,17.299224,20.182428,95.145732,2
46,15,50,8.649612,147.043404,426.714192,1
47,41,50,17.299224,23.065632,109.561752,2
46,48,50,8.649612,152.809812,444.013416,1
46,58,50,8.649612,49.014468,121.094568,1
46,70,50,8.649612,149.926608,394.998948,1
46,59,50,8.649612,152.809812,386.349336,1
46,91,50,8.649612,46.131264,121.094568,1
48,110,50,8.649612,80.729712,233.539524,1
48,106,50,46.131264,31.715244,337.334868,3
48,88,50,8.649612,86.49612,239.305932,1
48,63,50,31.715244,31.715244,256.605156,2
48,32,50,46.131264,28.83204,345.98448,3
48,66,50,8.649612,83.612916,239.305932,1
50,20,50,43.24806,25.948836,271.021176,3
49,72,50,51.897672,25.948836,337.334868,3
51,81,50,106.678548,8.649612,279.670788,1
51,81,50,268.137972,8.649612,712.151388,1
51,92,50,268.137972,11.532816,740.983428,1
51,92,50,268.137972,11.532816,836.12916,1
51,92,50,268.137972,11.532816,789.997896,1
51,92,50,123.977772,11.532816,331.56846,1
51,92,50,46.131264,11.532816,149.926608,1
51,92,50,210.473892,11.532816,764.04906,1
51,92,50,271.021176,11.532816,957.223728,1
51,92,50,11.505648,8.629236,31.565996,1
50,84,50,69.196896,20.182428,429.597396,3
50,108,50,80.729712,8.649612,227.773116,1
