[Wafer Information]
Wafer Number,11
Wafer ID,Q334273-05F7
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101142-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 07:34
End Time,01/21/2024 07:41
Inspection Time,0:06:44
Photo Time,0:08:25
Data Output Time,01/21/2024 08:05

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling,F99 Others
11,Q334273-05F7,19863,19687,99.11393,176,192,191,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
13,91,50,46.131264,20.182428,250.838748,3
20,76,50,60.547284,20.182428,386.349336,3
21,98,50,60.547284,20.182428,383.466132,3
22,51,50,80.729712,34.598448,663.13692,3
22,98,50,49.014468,28.83204,334.451664,3
24,70,50,8.649612,152.809812,449.779824,1
24,55,50,72.0801,31.715244,521.859924,3
24,58,50,8.649612,51.897672,129.74418,1
24,69,50,8.649612,46.131264,121.094568,1
26,44,50,8.649612,83.612916,236.422728,1
26,55,50,8.649612,80.729712,222.006708,1
26,88,50,8.649612,80.729712,233.539524,1
26,92,50,49.014468,37.481652,400.765356,3
26,99,50,8.649612,80.729712,230.65632,1
27,93,50,63.430488,23.065632,392.115744,3
28,97,50,80.729712,8.649612,219.123504,1
31,65,50,77.846508,8.649612,213.357096,1
31,65,50,63.430488,8.649612,181.641852,1
37,31,50,49.014468,28.83204,345.98448,3
40,87,50,66.313692,20.182428,394.998948,3
43,40,50,43.24806,34.598448,392.115744,3
44,49,50,69.196896,25.948836,423.830988,3
46,58,50,8.649612,49.014468,121.094568,1
46,69,50,8.649612,51.897672,132.627384,1
46,102,50,8.649612,46.131264,121.094568,1
48,99,50,8.649612,80.729712,230.65632,1
48,44,50,8.649612,83.612916,224.889912,1
47,24,50,8.649612,80.729712,230.65632,1
50,20,50,80.729712,8.649612,236.422728,1
50,20,50,80.729712,8.649612,216.2403,1
52,87,50,54.780876,8.649612,161.459424,1
52,76,50,54.780876,8.649612,158.57622,1
52,98,50,57.66408,8.649612,161.459424,1
60,21,50,51.897672,25.948836,320.035644,3
61,9,50,46.131264,25.948836,334.451664,3
61,102,50,43.24806,20.182428,250.838748,3
61,105,50,72.0801,23.065632,426.714192,3
65,26,50,43.24806,40.364856,392.115744,3
65,101,50,49.014468,25.948836,285.437196,3
68,113,50,8.649612,46.131264,123.977772,1
68,102,50,8.649612,46.131264,123.977772,1
68,47,50,8.649612,49.014468,129.74418,1
68,36,50,8.649612,49.014468,129.74418,1
68,14,50,8.649612,49.014468,129.74418,1
70,11,50,8.649612,83.612916,219.123504,1
74,92,50,54.780876,8.649612,149.926608,1
74,103,50,54.780876,11.532816,164.342628,1
72,106,50,46.131264,23.065632,282.553992,3
74,81,50,40.364856,8.649612,106.678548,1
74,43,50,63.430488,8.649612,181.641852,1
76,74,50,63.430488,25.948836,435.363804,3
88,107,50,51.897672,20.182428,325.802052,3
90,102,50,8.649612,54.780876,135.510588,1
90,25,50,8.649612,49.014468,118.211364,1
90,14,50,8.649612,49.014468,118.211364,1
90,15,50,8.649612,149.926608,441.130212,1
92,23,50,43.24806,25.948836,262.371564,3
92,88,50,8.649612,80.729712,224.889912,1
92,99,50,8.649612,80.729712,224.889912,1
