[Wafer Information]
Wafer Number,11
Wafer ID,Q334273-17H0
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101151-017
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/20/2024 06:56
End Time,01/20/2024 07:02
Inspection Time,0:06:16
Photo Time,0:08:42
Data Output Time,01/20/2024 07:37

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F33 Black Foreign material,F06 Incoming others
11,Q334273-17H0,17985,17722,98.53767,263,375,375

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,76,50,31.715244,8.649612,89.379324,1
9,76,50,63.430488,8.649612,181.641852,1
9,76,50,77.846508,8.649612,207.590688,1
13,50,50,25.948836,43.24806,256.605156,3
13,50,50,34.516944,51.775416,427.575764,3
19,84,50,49.014468,20.182428,288.3204,3
22,68,50,43.24806,20.182428,247.955544,3
24,81,50,8.649612,149.926608,438.247008,1
24,80,50,8.649612,49.014468,138.393792,1
24,80,50,8.649612,14.41602,40.364856,1
24,91,50,8.649612,49.014468,126.860976,1
24,59,50,8.649612,152.809812,426.714192,1
24,47,50,8.649612,49.014468,132.627384,1
24,58,50,8.649612,49.014468,126.860976,1
24,48,50,8.649612,149.926608,409.414968,1
26,99,50,8.649612,80.729712,239.305932,1
26,88,50,8.649612,83.612916,242.189136,1
26,66,50,8.649612,86.49612,239.305932,1
26,77,50,8.649612,83.612916,239.305932,1
26,33,50,8.649612,80.729712,230.65632,1
26,55,50,8.649612,83.612916,242.189136,1
26,44,50,8.649612,83.612916,233.539524,1
29,37,50,268.137972,11.532816,717.917796,1
29,26,50,265.254768,11.532816,795.764304,1
29,26,50,265.254768,8.649612,789.997896,1
29,26,50,265.254768,11.532816,749.63304,1
29,55,50,14.41602,20.182428,80.729712,2
29,62,50,14.41602,20.182428,69.196896,2
31,43,50,49.014468,8.649612,138.393792,1
31,87,50,80.729712,8.649612,207.590688,1
34,97,50,49.014468,63.430488,755.399448,3
34,97,50,51.775416,71.9103,949.849516,3
34,67,50,60.547284,20.182428,369.050112,3
38,98,50,49.014468,20.182428,291.203604,3
46,103,50,8.649612,152.809812,412.298172,1
46,91,50,8.649612,43.24806,123.977772,1
48,88,50,8.649612,80.729712,233.539524,1
48,74,50,60.547284,20.182428,337.334868,3
48,110,50,11.532816,80.729712,276.787584,1
47,103,50,51.897672,23.065632,308.502828,3
49,77,50,77.846508,20.182428,478.611864,3
50,15,50,253.721952,11.532816,821.71314,1
50,15,50,271.021176,11.532816,844.778772,1
50,15,50,123.977772,11.532816,389.23254,1
52,26,50,11.532816,5.766408,23.065632,1
50,59,50,112.444956,8.649612,322.918848,1
50,70,50,123.977772,8.649612,337.334868,1
50,81,50,80.729712,11.532816,291.203604,1
50,48,50,14.41602,8.649612,43.24806,1
50,48,50,224.889912,11.532816,709.268184,1
50,48,50,123.977772,11.532816,363.283704,1
53,98,50,63.430488,8.649612,172.99224,1
53,76,50,167.225832,8.649612,458.429436,1
57,49,50,60.547284,25.948836,360.4005,3
60,51,50,14.41602,49.014468,181.641852,2
61,81,50,54.780876,28.83204,386.349336,3
61,53,50,46.131264,28.83204,400.765356,3
61,48,50,43.24806,23.065632,256.605156,3
62,41,50,69.196896,31.715244,449.779824,3
66,53,50,17.299224,20.182428,100.91214,2
68,27,50,11.532816,149.926608,455.546232,1
68,27,50,11.532816,109.561752,345.98448,1
68,31,50,8.649612,80.729712,227.773116,1
68,26,50,8.649612,149.926608,444.013416,1
68,25,50,8.649612,49.014468,129.74418,1
68,15,50,8.649612,149.926608,403.64856,1
68,9,50,8.649612,80.729712,236.422728,1
68,48,50,8.649612,149.926608,415.181376,1
68,91,50,8.649612,43.24806,121.094568,1
68,58,50,8.649612,49.014468,126.860976,1
68,113,50,8.649612,51.897672,138.393792,1
68,77,50,57.66408,20.182428,363.283704,3
70,8,50,11.532816,80.729712,265.254768,1
68,14,50,8.649612,49.014468,126.860976,1
70,11,50,8.649612,86.49612,245.07234,1
70,22,50,8.649612,83.612916,242.189136,1
71,25,50,14.41602,17.299224,77.846508,2
70,33,50,8.649612,83.612916,236.422728,1
72,86,50,80.729712,8.649612,236.422728,1
72,86,50,80.729712,8.649612,233.539524,1
72,108,50,80.729712,8.649612,230.65632,1
72,108,50,80.729712,8.649612,230.65632,1
72,111,50,17.299224,23.065632,103.795344,2
72,111,50,20.182428,23.065632,121.094568,2
72,64,50,80.729712,8.649612,224.889912,1
73,37,50,57.66408,11.532816,149.926608,1
75,109,50,77.846508,8.649612,207.590688,1
75,10,50,80.729712,8.649612,210.473892,1
78,46,50,46.131264,25.948836,302.73642,3
83,46,50,11.532816,20.182428,77.846508,2
82,26,50,14.41602,317.15244,1467.550836,2
82,26,50,14.41602,311.386032,1470.43404,2
82,26,50,17.299224,311.386032,1326.27384,2
83,26,50,17.299224,311.386032,1519.448508,2
83,26,50,14.41602,311.386032,1539.630936,2
83,26,50,17.299224,317.15244,1516.565304,2
83,107,50,51.897672,23.065632,322.918848,3
85,112,50,49.014468,20.182428,276.787584,3
84,11,50,20.182428,20.182428,92.262528,2
86,32,50,51.897672,25.948836,308.502828,3
85,25,50,23.065632,34.598448,175.875444,1
85,25,50,20.134884,34.516944,200.87452,1
90,15,50,8.649612,14.41602,37.481652,1
90,15,50,8.649612,149.926608,400.765356,1
90,36,50,8.649612,49.014468,126.860976,1
90,37,50,8.649612,149.926608,397.882152,1
90,69,50,8.649612,49.014468,123.977772,1
90,25,50,8.649612,54.780876,135.510588,1
90,91,50,8.649612,49.014468,126.860976,1
90,81,50,8.649612,149.926608,441.130212,1
92,121,50,8.649612,80.729712,233.539524,1
92,99,50,8.649612,83.612916,222.006708,1
92,88,50,8.649612,80.729712,230.65632,1
92,55,50,8.649612,83.612916,236.422728,1
92,77,50,8.649612,80.729712,233.539524,1
92,66,50,8.649612,83.612916,227.773116,1
95,19,50,51.897672,28.83204,357.517296,3
95,26,50,268.137972,8.649612,738.100224,1
95,92,50,268.137972,8.649612,732.333816,1
95,92,50,268.137972,8.649612,775.581876,1
97,87,50,63.430488,8.649612,187.40826,1
97,87,50,77.846508,8.649612,213.357096,1
97,87,50,37.481652,8.649612,100.91214,1
97,87,50,77.846508,8.649612,216.2403,1
97,7,50,72.0801,23.065632,429.597396,3
97,7,50,17.258472,2.876412,17.217816,1
97,5,50,51.897672,20.182428,317.15244,3
97,42,50,386.349336,409.414968,20782.134432,2
97,42,50,14.41602,311.386032,1556.93016,2
97,42,50,20.182428,311.386032,1551.163752,2
97,42,50,17.299224,311.386032,1579.995792,2
98,42,50,386.349336,409.414968,23895.994752,2
98,42,50,17.299224,311.386032,1556.93016,2
98,42,50,14.41602,311.386032,1556.93016,2
98,42,50,23.065632,320.035644,1764.520848,2
97,41,50,386.349336,406.531764,46327.321872,2
97,41,50,386.349336,409.414968,19008.963972,2
97,41,50,14.41602,311.386032,1533.864528,2
97,41,50,14.41602,311.386032,1542.51414,2
97,41,50,14.41602,17.299224,74.963304,2
97,41,50,17.299224,314.269236,1522.331712,2
98,41,50,386.349336,406.531764,47970.748152,2
98,41,50,386.349336,409.414968,21929.649624,2
98,41,50,17.299224,317.15244,1516.565304,2
98,41,50,14.41602,311.386032,1556.93016,2
98,41,50,14.41602,17.299224,74.963304,2
98,41,50,17.299224,317.15244,1579.995792,2
97,43,50,46.131264,8.649612,121.094568,1
97,32,50,63.430488,8.649612,187.40826,1
97,32,50,77.846508,8.649612,216.2403,1
98,94,50,66.313692,23.065632,418.06458,3
97,120,50,77.846508,8.649612,213.357096,1
101,116,50,60.547284,23.065632,351.750888,3
112,102,50,8.649612,49.014468,126.860976,1
112,102,50,8.649612,11.532816,28.83204,1
112,114,50,8.649612,149.926608,394.998948,1
112,80,50,8.649612,51.897672,132.627384,1
112,91,50,8.649612,49.014468,118.211364,1
112,36,50,8.649612,51.897672,138.393792,1
112,36,50,8.649612,14.41602,34.598448,1
