[Wafer Information]
Wafer Number,13
Wafer ID,A61-Q334273-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101155-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/22/2024 02:38
End Time,01/22/2024 02:41
Inspection Time,0:03:21
Photo Time,0:06:27
Data Output Time,01/22/2024 04:32

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder
13,A61-Q334273-403,5518,5478,99.2751,40,58,12,5,41

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
22,13,50,43.24806,28.83204,276.787584,3
28,10,50,49.014468,28.83204,305.619624,3
33,14,50,28.83204,325.802052,2104.73892,2
33,14,50,23.065632,325.802052,1876.965804,2
33,14,50,28.83204,325.802052,2220.06708,2
37,28,50,17.299224,20.182428,80.729712,2
40,19,50,271.021176,8.649612,789.997896,1
40,19,50,273.90438,8.649612,789.997896,1
43,40,50,83.612916,8.649612,245.07234,1
43,40,50,86.49612,8.649612,245.07234,1
44,50,50,40.364856,23.065632,239.305932,3
47,20,50,31.715244,37.481652,285.437196,3
47,20,50,40.245996,48.870138,452.867342,3
58,32,50,49.014468,46.131264,622.772064,3
58,48,50,14.41602,20.182428,74.963304,2
65,20,50,37.481652,31.715244,253.721952,3
75,63,50,49.014468,23.065632,282.553992,3
78,7,50,46.131264,23.065632,268.137972,3
79,19,50,8.649612,152.809812,403.64856,1
79,46,50,46.131264,17.299224,250.838748,3
86,10,50,51.897672,37.481652,429.597396,3
91,45,50,273.90438,8.649612,743.866632,1
91,45,50,271.021176,8.649612,769.815468,1
91,45,50,273.90438,8.649612,758.282652,1
91,45,50,115.32816,8.649612,331.56846,1
16,49,50,2.874714,8.624142,8.598747,1
21,57,50,2.874714,5.749428,5.732498,1
21,57,50,2.874714,5.749428,5.732498,1
24,44,50,2.874714,8.624142,8.598747,1
26,37,50,2.874714,63.243708,63.057478,1
26,37,50,2.874714,22.997712,22.929992,1
26,37,50,2.874714,8.624142,8.598747,1
26,37,50,5.749428,48.870138,54.458731,1
26,37,50,2.874714,5.749428,5.732498,1
28,39,50,5.749428,40.245996,48.726233,1
38,59,50,2.874714,8.624142,8.598747,1
37,25,50,2.874714,5.749428,5.732498,1
42,31,50,8.624142,2.874714,8.598747,1
46,53,50,2.874714,5.749428,5.732498,1
47,61,50,2.874714,8.624142,8.598747,1
49,53,50,8.624142,5.749428,11.464996,1
50,13,50,2.874714,8.624142,8.598747,1
50,13,50,2.874714,5.749428,5.732498,1
52,66,50,2.874714,5.749428,5.732498,1
53,61,50,2.874714,8.624142,8.598747,1
53,61,50,2.874714,20.122998,20.063743,1
53,61,50,2.874714,8.624142,8.598747,1
53,61,50,2.874714,5.749428,5.732498,1
56,44,50,5.749428,11.498856,17.197494,1
59,39,50,2.874714,5.749428,5.732498,1
59,39,50,2.874714,11.498856,11.464996,1
69,60,50,2.874714,5.749428,5.732498,1
