[Wafer Information]
Wafer Number,15
Wafer ID,A88-Q334273-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101158-006
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/31/2024 04:33
End Time,01/31/2024 04:37
Inspection Time,0:03:21
Photo Time,0:03:24
Data Output Time,01/31/2024 05:47

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
15,A88-Q334273-403,5518,5493,99.546937,25,26,22,2,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,41,50,57.66408,23.065632,380.582928,3
6,43,50,54.780876,8.649612,141.276996,1
15,34,50,43.24806,23.065632,250.838748,3
20,47,50,54.780876,49.014468,660.253716,3
31,53,50,46.131264,20.182428,256.605156,3
32,52,50,40.364856,23.065632,256.605156,3
43,16,50,40.364856,23.065632,230.65632,3
43,24,50,66.313692,20.182428,397.882152,3
48,55,50,49.014468,23.065632,288.3204,3
47,48,50,46.131264,23.065632,285.437196,3
48,12,50,60.547284,20.182428,348.867684,3
56,54,50,43.24806,23.065632,247.955544,3
56,55,50,49.014468,20.182428,273.90438,3
58,22,50,54.780876,23.065632,334.451664,3
57,38,50,57.66408,23.065632,345.98448,3
60,53,50,46.131264,23.065632,273.90438,3
66,62,50,17.299224,20.182428,98.028936,2
70,32,50,14.41602,28.83204,103.795344,2
70,29,50,51.897672,23.065632,328.685256,3
71,65,50,49.014468,25.948836,314.269236,3
82,48,50,43.24806,23.065632,259.48836,3
88,56,50,40.364856,23.065632,250.838748,3
89,52,50,66.313692,28.83204,444.013416,3
100,25,50,74.963304,46.131264,694.852164,3
100,25,50,51.744852,20.122998,243.631165,3
63,59,50,5.749428,2.874714,5.732498,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others
15,A88-Q334273-403,5518,5496,99.601305,22,23,22,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,41,50,57.66408,23.065632,380.582928,3
6,43,Pass,54.780876,8.649612,141.276996,1
15,34,50,43.24806,23.065632,250.838748,3
20,47,50,54.780876,49.014468,660.253716,3
31,53,50,46.131264,20.182428,256.605156,3
32,52,50,40.364856,23.065632,256.605156,3
43,16,50,40.364856,23.065632,230.65632,3
43,24,50,66.313692,20.182428,397.882152,3
48,55,50,49.014468,23.065632,288.3204,3
47,48,50,46.131264,23.065632,285.437196,3
48,12,50,60.547284,20.182428,348.867684,3
56,54,50,43.24806,23.065632,247.955544,3
56,55,50,49.014468,20.182428,273.90438,3
58,22,50,54.780876,23.065632,334.451664,3
57,38,50,57.66408,23.065632,345.98448,3
60,53,50,46.131264,23.065632,273.90438,3
66,62,Pass,17.299224,20.182428,98.028936,2
70,32,50,14.41602,28.83204,103.795344,2
70,29,50,51.897672,23.065632,328.685256,3
71,65,50,49.014468,25.948836,314.269236,3
82,48,50,43.24806,23.065632,259.48836,3
88,56,50,40.364856,23.065632,250.838748,3
89,52,50,66.313692,28.83204,444.013416,3
100,25,50,74.963304,46.131264,694.852164,3
100,25,50,51.744852,20.122998,243.631165,3
63,59,Pass,5.749428,2.874714,5.732498,1

