[Wafer Information]
Wafer Number,13
Wafer ID,Q337528-02A4
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101190-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/21/2024 03:08
End Time,01/21/2024 03:15
Inspection Time,0:06:35
Photo Time,0:13:47
Data Output Time,01/21/2024 05:00

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F06 Incoming others,F82 Top side chipping no damage sensor area,F07 Incoming microlens periphery peeling,F99 Others
13,Q337528-02A4,18701,18408,98.433239,293,407,394,13

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,52,50,57.66408,25.948836,340.218072,3
6,64,50,80.729712,8.649612,230.65632,1
6,64,50,80.729712,8.649612,233.539524,1
5,62,50,83.612916,28.83204,611.239248,3
6,53,50,80.729712,8.649612,230.65632,1
6,53,50,80.729712,8.649612,230.65632,1
8,52,50,49.014468,28.83204,296.970012,3
8,76,50,74.963304,11.532816,233.539524,1
8,54,50,54.780876,8.649612,164.342628,1
8,65,50,54.780876,8.649612,164.342628,1
19,56,50,66.313692,28.83204,521.859924,3
20,92,50,57.66408,25.948836,363.283704,3
21,89,50,43.24806,20.182428,262.371564,3
24,91,50,8.649612,46.131264,126.860976,1
24,69,50,8.649612,49.014468,129.74418,1
24,69,50,8.649612,14.41602,34.598448,1
24,69,50,8.649612,11.532816,28.83204,1
24,80,50,8.649612,46.131264,126.860976,1
24,47,50,8.649612,46.131264,123.977772,1
26,88,50,8.649612,86.49612,242.189136,1
26,88,50,80.729712,23.065632,559.341576,3
24,96,50,66.313692,23.065632,464.195844,3
26,33,50,8.649612,83.612916,242.189136,1
29,27,50,49.014468,25.948836,320.035644,3
28,53,50,77.846508,8.649612,233.539524,1
28,53,50,80.729712,8.649612,230.65632,1
30,70,50,51.897672,8.649612,141.276996,1
30,81,50,51.897672,8.649612,144.1602,1
28,97,50,80.729712,8.649612,230.65632,1
38,27,50,49.014468,25.948836,317.15244,3
42,21,50,40.364856,28.83204,250.838748,3
46,69,50,8.649612,46.131264,129.74418,1
46,59,50,8.649612,152.809812,429.597396,1
46,47,50,8.649612,49.014468,129.74418,1
46,48,50,8.649612,152.809812,449.779824,1
46,81,50,8.649612,149.926608,409.414968,1
46,80,50,8.649612,49.014468,132.627384,1
46,80,50,8.649612,14.41602,31.715244,1
46,14,50,8.649612,49.014468,129.74418,1
46,15,50,8.649612,152.809812,392.115744,1
48,99,50,8.649612,83.612916,219.123504,1
48,55,50,8.649612,80.729712,216.2403,1
48,66,50,8.649612,83.612916,242.189136,1
48,110,50,8.649612,80.729712,219.123504,1
51,109,50,57.66408,49.014468,732.333816,3
50,108,50,77.846508,8.649612,216.2403,1
50,108,50,80.729712,8.649612,236.422728,1
50,108,50,80.729712,8.649612,233.539524,1
50,97,50,80.729712,8.649612,227.773116,1
53,109,50,63.430488,8.649612,175.875444,1
53,109,50,28.83204,8.649612,86.49612,1
53,109,50,80.729712,8.649612,222.006708,1
53,76,50,25.948836,8.649612,77.846508,1
57,110,50,51.897672,20.182428,302.73642,3
59,15,50,43.24806,51.897672,510.327108,3
59,15,50,48.899004,60.404652,697.321548,3
68,25,50,8.649612,46.131264,126.860976,1
68,25,50,8.649612,14.41602,31.715244,1
68,26,50,8.649612,152.809812,444.013416,1
68,15,50,8.649612,149.926608,406.531764,1
68,58,50,8.649612,49.014468,132.627384,1
68,91,50,8.649612,49.014468,126.860976,1
68,113,50,8.649612,54.780876,138.393792,1
68,103,50,8.649612,152.809812,406.531764,1
69,108,50,46.131264,28.83204,314.269236,3
70,110,50,8.649612,83.612916,239.305932,1
70,99,50,8.649612,86.49612,242.189136,1
72,70,50,265.254768,8.649612,723.684204,1
72,70,50,268.137972,8.649612,729.450612,1
72,92,50,86.49612,8.649612,250.838748,1
72,92,50,123.977772,11.532816,363.283704,1
72,31,50,80.729712,8.649612,227.773116,1
72,9,50,80.729712,8.649612,222.006708,1
74,98,50,80.729712,11.532816,247.955544,1
76,112,50,57.66408,28.83204,383.466132,3
90,113,50,8.649612,46.131264,132.627384,1
90,113,50,8.649612,14.41602,34.598448,1
90,113,50,8.649612,11.532816,28.83204,1
90,102,50,8.649612,49.014468,121.094568,1
90,80,50,8.649612,49.014468,129.74418,1
90,69,50,8.649612,54.780876,135.510588,1
89,39,50,5.766408,20.182428,40.364856,1
89,39,50,20.134884,14.38206,77.480172,1
90,14,50,8.649612,49.014468,126.860976,1
90,25,50,8.649612,49.014468,121.094568,1
90,15,50,8.649612,51.897672,155.693016,1
90,36,50,8.649612,54.780876,132.627384,1
90,58,50,8.649612,54.780876,138.393792,1
92,44,50,8.649612,86.49612,224.889912,1
92,22,50,8.649612,83.612916,239.305932,1
92,33,50,8.649612,83.612916,230.65632,1
92,11,50,8.649612,86.49612,242.189136,1
95,4,50,268.137972,8.649612,792.8811,1
95,4,50,268.137972,11.532816,769.815468,1
95,4,50,268.137972,8.649612,738.100224,1
95,37,50,268.137972,8.649612,706.38498,1
95,37,50,268.137972,8.649612,732.333816,1
95,15,50,268.137972,8.649612,735.21702,1
95,26,50,268.137972,8.649612,703.501776,1
94,13,50,8.649612,17.299224,43.24806,1
94,106,50,57.66408,25.948836,438.247008,3
96,92,50,34.598448,8.649612,89.379324,1
96,98,50,57.66408,8.649612,155.693016,1
97,43,50,77.846508,8.649612,210.473892,1
103,97,50,8.649612,14.41602,43.24806,1
103,97,50,8.629236,23.011296,31.565996,1
112,102,50,8.649612,49.014468,132.627384,1
112,72,50,8.649612,17.299224,34.598448,1
112,81,50,8.649612,149.926608,420.947784,1
112,91,50,8.649612,49.014468,129.74418,1
112,37,50,8.649612,152.809812,397.882152,1
112,3,50,8.649612,49.014468,129.74418,1
112,47,50,8.649612,49.014468,121.094568,1
112,16,50,11.532816,152.809812,409.414968,1
112,16,50,8.649612,54.780876,147.043404,1
112,15,50,8.649612,149.926608,432.4806,1
112,25,50,8.649612,49.014468,126.860976,1
114,110,50,8.649612,86.49612,242.189136,1
116,119,50,80.729712,8.649612,227.773116,1
116,108,50,80.729712,8.649612,236.422728,1
116,97,50,80.729712,8.649612,210.473892,1
116,42,50,80.729712,8.649612,222.006708,1
116,37,50,100.91214,8.649612,279.670788,1
116,15,50,187.40826,11.532816,562.22478,1
117,70,50,121.094568,8.649612,325.802052,1
119,98,50,54.780876,8.649612,152.809812,1
119,98,50,77.846508,8.649612,213.357096,1
119,120,50,11.532816,8.649612,34.598448,1
119,120,50,77.846508,8.649612,222.006708,1
119,120,50,49.014468,20.182428,294.086808,3
119,87,50,80.729712,8.649612,222.006708,1
119,87,50,77.846508,8.649612,210.473892,1
119,76,50,23.065632,8.649612,69.196896,1
121,82,50,31.715244,8.649612,74.963304,1
121,82,50,28.76412,28.76412,281.224328,1
124,22,50,46.131264,34.598448,403.64856,3
124,22,50,54.651828,43.14618,599.753924,3
134,25,50,8.649612,49.014468,126.860976,1
134,16,50,11.532816,155.693016,444.013416,1
134,14,50,8.649612,60.547284,147.043404,1
134,38,50,8.649612,54.780876,152.809812,1
134,37,50,8.649612,152.809812,426.714192,1
134,80,50,8.649612,51.897672,144.1602,1
134,91,50,8.649612,49.014468,132.627384,1
134,91,50,8.649612,14.41602,31.715244,1
136,88,50,8.649612,86.49612,233.539524,1
135,66,50,100.91214,20.182428,614.122452,3
136,33,50,8.649612,83.612916,224.889912,1
138,97,50,80.729712,8.649612,233.539524,1
138,97,50,80.729712,8.649612,239.305932,1
138,97,50,80.729712,8.649612,239.305932,1
138,97,50,14.41602,11.532816,49.014468,1
138,108,50,80.729712,8.649612,219.123504,1
138,92,50,25.948836,8.649612,72.0801,1
138,92,50,268.137972,8.649612,723.684204,1
138,86,50,80.729712,8.649612,239.305932,1
138,53,50,80.729712,8.649612,239.305932,1
138,53,50,80.729712,8.649612,233.539524,1
138,75,50,80.729712,8.649612,236.422728,1
138,75,50,80.729712,8.649612,227.773116,1
138,20,50,80.729712,8.649612,239.305932,1
138,20,50,80.729712,8.649612,239.305932,1
138,20,50,80.729712,8.649612,236.422728,1
140,87,50,54.780876,8.649612,155.693016,1
147,116,50,43.24806,31.715244,354.634092,3
147,66,50,8.649612,20.182428,46.131264,1
147,66,50,17.258472,14.38206,40.174904,1
150,105,50,5.766408,14.41602,28.83204,1
150,17,50,51.897672,23.065632,305.619624,3
156,92,50,8.649612,149.926608,441.130212,1
156,15,50,8.649612,152.809812,449.779824,1
156,15,50,2.876412,8.629236,8.608908,1
156,25,50,8.649612,60.547284,147.043404,1
156,59,50,8.649612,152.809812,412.298172,1
157,65,50,43.24806,23.065632,279.670788,3
156,47,50,8.649612,54.780876,135.510588,1
156,80,50,8.649612,49.014468,132.627384,1
156,69,50,8.649612,51.897672,135.510588,1
156,103,50,8.649612,149.926608,444.013416,1
158,44,50,8.649612,83.612916,239.305932,1
158,66,50,8.649612,83.612916,239.305932,1
158,55,50,8.649612,86.49612,242.189136,1
158,77,50,8.649612,83.612916,236.422728,1
158,88,50,8.649612,86.49612,245.07234,1
158,22,50,8.649612,86.49612,239.305932,1
158,33,50,8.649612,86.49612,242.189136,1
161,103,50,268.137972,8.649612,749.63304,1
161,103,50,271.021176,8.649612,775.581876,1
161,103,50,271.021176,8.649612,735.21702,1
161,103,50,25.948836,11.532816,74.963304,1
161,103,50,118.211364,11.532816,432.4806,1
