[Wafer Information]
Wafer Number,3
Wafer ID,Q337528-08E1
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101427-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/22/2024 07:30
End Time,01/22/2024 07:37
Inspection Time,0:06:32
Photo Time,0:13:41
Data Output Time,01/22/2024 08:37

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F06 Incoming others,F07 Incoming microlens periphery peeling
3,Q337528-08E1,17964,17645,98.224226,319,408,407,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,53,50,80.729712,8.649612,236.422728,1
6,53,50,80.729712,8.649612,233.539524,1
6,64,50,80.729712,8.649612,236.422728,1
6,64,50,80.729712,8.649612,239.305932,1
8,76,50,51.897672,25.948836,360.4005,3
8,76,50,57.66408,8.649612,167.225832,1
9,65,50,63.430488,8.649612,178.758648,1
9,65,50,77.846508,8.649612,222.006708,1
8,54,50,54.780876,11.532816,181.641852,1
9,75,50,54.780876,25.948836,334.451664,3
10,67,50,14.41602,20.182428,83.612916,2
11,81,50,43.24806,23.065632,276.787584,3
14,45,50,40.364856,25.948836,265.254768,3
15,53,50,49.014468,31.715244,317.15244,3
17,51,50,98.028936,25.948836,614.122452,3
24,80,50,8.649612,46.131264,129.74418,1
24,69,50,8.649612,46.131264,126.860976,1
24,69,50,8.649612,14.41602,31.715244,1
24,37,50,8.649612,147.043404,403.64856,1
24,47,50,8.649612,46.131264,115.32816,1
26,88,50,8.649612,83.612916,239.305932,1
27,94,50,60.547284,23.065632,371.933316,3
27,91,50,51.897672,23.065632,334.451664,3
26,33,50,8.649612,80.729712,230.65632,1
26,44,50,8.649612,83.612916,242.189136,1
27,26,50,11.532816,28.83204,98.028936,2
30,81,50,11.532816,5.766408,23.065632,1
29,37,50,57.66408,8.649612,152.809812,1
30,92,50,17.299224,20.182428,83.612916,2
31,32,50,77.846508,8.649612,207.590688,1
31,43,50,54.780876,11.532816,213.357096,1
35,50,50,49.014468,46.131264,501.677496,3
36,21,50,43.24806,28.83204,340.218072,3
40,24,50,40.364856,34.598448,320.035644,3
45,100,50,54.780876,25.948836,357.517296,3
45,15,50,46.131264,25.948836,294.086808,3
46,69,50,8.649612,49.014468,129.74418,1
46,47,50,8.649612,49.014468,129.74418,1
46,93,50,69.196896,20.182428,449.779824,3
47,94,50,46.131264,46.131264,524.743128,2
46,59,50,8.649612,152.809812,423.830988,1
46,25,50,8.649612,46.131264,123.977772,1
48,22,50,8.649612,80.729712,224.889912,1
48,33,50,8.649612,83.612916,233.539524,1
47,90,50,63.430488,23.065632,406.531764,3
48,55,50,8.649612,57.66408,164.342628,1
48,88,50,8.649612,83.612916,236.422728,1
50,108,50,80.729712,8.649612,207.590688,1
50,86,50,80.729712,8.649612,219.123504,1
50,42,50,80.729712,8.649612,219.123504,1
49,29,50,28.83204,317.15244,1536.747732,2
49,29,50,14.41602,311.386032,1427.18598,2
50,29,50,28.83204,317.15244,1510.798896,2
50,29,50,14.41602,311.386032,1530.981324,2
50,29,50,17.299224,317.15244,1369.5219,2
50,15,50,95.145732,11.532816,296.970012,1
51,48,50,109.561752,11.532816,334.451664,1
51,48,50,268.137972,8.649612,735.21702,1
51,37,50,268.137972,11.532816,752.516244,1
55,17,50,43.24806,25.948836,322.918848,3
68,15,50,8.649612,149.926608,409.414968,1
68,25,50,8.649612,51.897672,132.627384,1
68,37,50,8.649612,147.043404,415.181376,1
68,36,50,8.649612,46.131264,126.860976,1
68,26,50,8.649612,149.926608,397.882152,1
68,70,50,8.649612,34.598448,103.795344,1
68,91,50,8.649612,46.131264,121.094568,1
70,110,50,8.649612,83.612916,219.123504,1
70,77,50,8.649612,83.612916,236.422728,1
70,99,50,11.532816,80.729712,239.305932,1
70,11,50,8.649612,83.612916,222.006708,1
72,53,50,80.729712,8.649612,236.422728,1
72,53,50,80.729712,8.649612,239.305932,1
70,61,50,17.299224,20.182428,86.49612,2
