[Wafer Information]
Wafer Number,23
Wafer ID,A94-Q337528-403
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101428-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 10:11
End Time,02/02/2024 10:14
Inspection Time,0:03:21
Photo Time,0:01:37
Data Output Time,02/02/2024 12:44

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F13 Pad area damage
23,A94-Q337528-403,5518,5404,97.934034,114,178,51,22,95,6,4

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
3,39,50,271.021176,8.649612,798.647508,1
5,39,50,54.780876,11.532816,164.342628,1
3,30,50,83.612916,8.649612,219.123504,1
5,30,50,80.729712,8.649612,222.006708,1
8,44,50,69.196896,23.065632,461.31264,3
9,33,50,23.065632,11.532816,80.729712,63
11,33,50,8.649612,14.41602,43.24806,63
11,19,50,49.014468,25.948836,291.203604,3
12,17,50,80.729712,14.41602,282.553992,63
11,49,50,43.24806,23.065632,268.137972,3
13,17,50,129.74418,14.41602,438.247008,63
13,17,50,14.41602,11.532816,43.24806,63
14,17,50,17.299224,14.41602,63.430488,63
14,17,50,25.948836,11.532816,83.612916,63
15,17,50,149.926608,1974.99474,7282.973304,63
15,17,50,17.299224,14.41602,66.313692,63
15,17,50,25.948836,11.532816,95.145732,63
16,17,50,147.043404,1974.99474,6743.814156,63
16,17,50,17.299224,14.41602,54.780876,63
15,49,50,66.313692,23.065632,400.765356,3
15,31,50,69.196896,23.065632,467.079048,3
17,17,50,20.182428,11.532816,66.313692,63
17,17,50,77.846508,11.532816,262.371564,63
16,19,50,271.021176,8.649612,720.801,1
17,21,50,17.299224,11.532816,57.66408,63
18,21,50,8.649612,8.649612,25.948836,63
19,21,50,129.74418,14.41602,429.597396,63
19,21,50,207.590688,28.83204,703.501776,63
20,21,50,14.41602,17.299224,60.547284,63
20,21,50,25.948836,11.532816,89.379324,63
21,21,50,25.948836,11.532816,86.49612,63
21,21,50,129.74418,14.41602,504.5607,63
21,21,50,14.41602,14.41602,63.430488,63
23,40,50,230.65632,8.649612,663.13692,1
22,21,50,77.846508,11.532816,259.48836,63
22,21,50,268.137972,8.649612,717.917796,1
23,21,50,63.430488,11.532816,210.473892,63
27,12,50,20.182428,23.065632,126.860976,2
29,33,50,40.364856,31.715244,265.254768,3
30,40,50,63.430488,23.065632,380.582928,3
29,53,50,46.131264,23.065632,322.918848,3
32,13,50,63.430488,14.41602,227.773116,63
32,32,50,77.846508,14.41602,262.371564,63
32,32,50,14.41602,14.41602,63.430488,63
31,20,50,271.021176,8.649612,723.684204,1
32,20,50,54.780876,8.649612,158.57622,1
32,6,50,23.065632,8.649612,63.430488,1
32,5,50,23.065632,8.649612,66.313692,1
32,23,50,80.729712,14.41602,282.553992,63
34,13,50,23.065632,11.532816,77.846508,63
35,13,50,25.948836,11.532816,86.49612,63
35,13,50,14.41602,14.41602,66.313692,63
35,13,50,147.043404,1231.128108,4506.447852,63
35,13,50,129.74418,17.299224,530.509536,63
36,13,50,147.043404,1231.128108,4835.133108,63
36,13,50,25.948836,11.532816,83.612916,63
36,13,50,14.41602,17.299224,57.66408,63
37,13,50,66.313692,25.948836,418.06458,3
37,13,50,11.532816,14.41602,49.014468,63
37,4,50,54.780876,8.649612,149.926608,1
38,13,50,123.977772,11.532816,418.06458,63
40,56,50,46.131264,25.948836,273.90438,3
40,56,50,43.24806,23.065632,262.371564,3
40,64,50,43.24806,25.948836,320.035644,3
43,21,50,273.90438,8.649612,810.180324,1
43,21,50,271.021176,8.649612,810.180324,1
43,21,50,273.90438,8.649612,810.180324,1
44,21,50,123.977772,8.649612,334.451664,1
45,9,50,66.313692,11.532816,233.539524,63
46,39,50,271.021176,8.649612,813.063528,1
46,39,50,271.021176,8.649612,813.063528,1
49,43,50,63.430488,25.948836,412.298172,3
49,13,50,17.299224,20.182428,80.729712,2
50,25,50,126.860976,11.532816,458.429436,63
50,58,50,147.043404,1897.148232,6997.536108,63
49,58,50,129.74418,14.41602,432.4806,63
50,50,50,77.846508,23.065632,507.443904,3
50,48,50,28.83204,8.649612,77.846508,1
51,58,50,11.532816,8.649612,34.598448,63
52,25,50,147.043404,657.370512,2741.927004,63
52,25,50,25.948836,11.532816,95.145732,63
52,25,50,14.41602,14.41602,66.313692,63
53,25,50,147.043404,657.370512,2574.701172,63
53,25,50,129.74418,14.41602,484.378272,63
53,41,50,28.83204,325.802052,1943.279496,2
54,25,50,8.649612,8.649612,25.948836,63
54,25,50,66.313692,11.532816,247.955544,63
54,25,50,17.299224,11.532816,51.897672,63
53,32,50,43.24806,23.065632,253.721952,3
54,20,50,54.780876,8.649612,144.1602,1
56,63,50,129.74418,14.41602,452.663028,63
56,63,50,23.065632,8.649612,69.196896,63
56,63,50,40.364856,14.41602,172.99224,63
56,48,50,77.846508,23.065632,513.210312,3
58,63,50,126.860976,14.41602,452.663028,63
58,38,50,17.299224,11.532816,63.430488,63
57,59,50,273.90438,8.649612,801.530712,1
57,59,50,271.021176,8.649612,801.530712,1
57,59,50,273.90438,8.649612,801.530712,1
57,59,50,271.021176,8.649612,810.180324,1
57,63,50,2021.126004,2623.71564,15067.624104,63
60,60,50,271.021176,8.649612,775.581876,1
60,60,50,268.137972,8.649612,729.450612,1
60,60,50,271.021176,8.649612,743.866632,1
60,38,50,63.430488,11.532816,216.2403,63
60,38,50,271.021176,8.649612,732.333816,1
60,38,50,271.021176,8.649612,775.581876,1
60,38,50,268.137972,8.649612,792.8811,1
66,7,50,77.846508,14.41602,282.553992,63
66,7,50,11.532816,14.41602,49.014468,63
66,7,50,8.649612,83.612916,227.773116,1
65,21,50,273.90438,8.649612,709.268184,1
67,7,50,222.006708,2372.876892,9278.150472,63
67,7,50,25.948836,11.532816,77.846508,63
67,7,50,14.41602,14.41602,54.780876,63
66,3,50,80.729712,14.41602,279.670788,63
66,3,50,66.313692,28.83204,420.947784,3
67,45,50,129.74418,11.532816,455.546232,63
67,45,50,14.41602,14.41602,54.780876,63
67,53,50,126.860976,14.41602,426.714192,63
68,59,50,268.137972,8.649612,784.231488,1
68,7,50,25.948836,11.532816,86.49612,63
68,7,50,11.532816,14.41602,46.131264,63
70,7,50,80.729712,14.41602,305.619624,63
69,7,50,14.41602,14.41602,54.780876,63
69,7,50,132.627384,11.532816,438.247008,63
69,7,50,25.948836,11.532816,80.729712,63
70,51,50,123.977772,11.532816,429.597396,63
70,51,50,20.182428,14.41602,80.729712,63
70,51,50,14.41602,11.532816,43.24806,63
70,53,50,1179.230436,2658.314088,13173.359076,63
