[Wafer Information]
Wafer Number,13
Wafer ID,Q337528-18G4
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101436-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/23/2024 12:26
End Time,01/23/2024 12:33
Inspection Time,0:06:31
Photo Time,0:16:02
Data Output Time,01/23/2024 02:15

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F13 Pad area damage
13,Q337528-18G4,18762,18482,98.507622,280,315,313,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
9,77,50,23.065632,49.014468,317.15244,3
12,67,50,51.897672,20.182428,314.269236,3
24,69,50,8.649612,51.897672,132.627384,1
24,47,50,8.649612,46.131264,129.74418,1
24,47,50,8.649612,14.41602,31.715244,1
28,53,50,80.729712,8.649612,216.2403,1
29,92,50,89.379324,8.649612,233.539524,1
30,92,50,11.532816,5.766408,23.065632,1
32,101,50,83.612916,20.182428,533.39274,3
39,57,50,46.131264,28.83204,371.933316,3
39,99,50,49.014468,20.182428,305.619624,3
40,21,50,37.481652,34.598448,276.787584,3
40,17,50,123.977772,100.91214,2626.598844,3
40,17,50,143.8206,106.427244,3799.398064,3
46,26,50,8.649612,149.926608,446.89662,1
46,26,50,8.649612,63.430488,184.525056,1
46,47,50,8.649612,49.014468,123.977772,1
46,14,50,8.649612,51.897672,129.74418,1
46,36,50,8.649612,46.131264,118.211364,1
47,78,50,43.24806,25.948836,282.553992,3
47,89,50,40.364856,28.83204,268.137972,3
48,33,50,8.649612,83.612916,230.65632,1
50,103,50,54.780876,20.182428,331.56846,3
50,86,50,74.963304,25.948836,455.546232,3
52,68,50,40.364856,31.715244,291.203604,3
50,31,50,57.66408,8.649612,161.459424,1
52,87,50,57.66408,8.649612,155.693016,1
53,89,50,46.131264,23.065632,285.437196,3
52,76,50,54.780876,8.649612,161.459424,1
68,102,50,8.649612,49.014468,126.860976,1
68,91,50,8.649612,46.131264,126.860976,1
68,26,50,8.649612,152.809812,426.714192,1
68,47,50,8.649612,46.131264,126.860976,1
68,36,50,8.649612,49.014468,138.393792,1
68,36,50,8.649612,14.41602,31.715244,1
68,14,50,8.649612,51.897672,129.74418,1
70,22,50,8.649612,80.729712,230.65632,1
70,44,50,8.649612,80.729712,233.539524,1
68,25,50,8.649612,51.897672,129.74418,1
70,116,50,63.430488,20.182428,380.582928,3
70,33,50,8.649612,83.612916,239.305932,1
74,81,50,40.364856,8.649612,118.211364,1
73,88,50,49.014468,28.83204,340.218072,3
74,92,50,46.131264,8.649612,126.860976,1
75,43,50,31.715244,8.649612,89.379324,1
75,10,50,77.846508,8.649612,213.357096,1
90,109,50,43.24806,20.182428,282.553992,3
91,118,50,54.780876,20.182428,320.035644,3
90,113,50,8.649612,46.131264,123.977772,1
90,102,50,8.649612,43.24806,118.211364,1
91,107,50,46.131264,31.715244,369.050112,3
90,80,50,8.649612,49.014468,121.094568,1
90,48,50,8.649612,51.897672,138.393792,1
90,47,50,8.649612,49.014468,123.977772,1
90,36,50,8.649612,54.780876,138.393792,1
90,14,50,8.649612,49.014468,126.860976,1
92,22,50,8.649612,83.612916,230.65632,1
92,55,50,8.649612,80.729712,224.889912,1
92,88,50,8.649612,83.612916,236.422728,1
92,99,50,8.649612,80.729712,224.889912,1
94,31,50,80.729712,8.649612,230.65632,1
94,4,50,74.963304,11.532816,210.473892,1
94,15,50,17.299224,11.532816,54.780876,1
94,15,50,11.532816,11.532816,37.481652,1
94,15,50,8.629236,11.505648,28.69636,1
97,54,50,77.846508,8.649612,216.2403,1
97,54,50,77.846508,8.649612,213.357096,1
96,21,50,63.430488,8.649612,170.109036,1
97,21,50,167.225832,8.649612,467.079048,1
99,112,50,57.66408,25.948836,397.882152,3
112,4,50,8.649612,28.83204,77.846508,1
112,47,50,8.649612,51.897672,129.74418,1
112,59,50,8.649612,149.926608,386.349336,1
112,102,50,8.649612,49.014468,123.977772,1
116,31,50,80.729712,8.649612,236.422728,1
116,31,50,80.729712,8.649612,242.189136,1
114,5,50,11.532816,83.612916,282.553992,1
114,5,50,11.532816,83.612916,308.502828,1
114,5,50,11.532816,86.49612,320.035644,1
116,103,50,66.313692,8.649612,193.174668,1
117,103,50,60.547284,8.649612,161.459424,1
117,103,50,11.505648,11.505648,25.826724,1
118,120,50,77.846508,11.532816,276.787584,1
128,81,50,54.780876,54.780876,795.764304,3
128,81,50,60.404652,66.157476,1010.111872,3
134,102,50,8.649612,49.014468,123.977772,1
134,113,50,8.649612,49.014468,132.627384,1
134,80,50,8.649612,57.66408,141.276996,1
134,25,50,8.649612,51.897672,132.627384,1
136,88,50,8.649612,80.729712,236.422728,1
136,55,50,8.649612,83.612916,236.422728,1
136,33,50,8.649612,83.612916,236.422728,1
136,22,50,8.649612,80.729712,233.539524,1
138,97,50,80.729712,8.649612,222.006708,1
139,92,50,20.182428,8.649612,49.014468,1
140,114,50,11.532816,5.766408,23.065632,1
139,70,50,181.641852,8.649612,539.159148,1
139,70,50,57.66408,8.649612,155.693016,1
141,43,50,40.364856,51.897672,441.130212,3
141,43,50,46.022592,57.52824,585.405744,3
141,21,50,167.225832,8.649612,446.89662,1
142,75,50,60.547284,46.131264,559.341576,3
145,93,50,54.780876,23.065632,351.750888,3
145,87,50,74.963304,23.065632,475.72866,3
149,68,50,43.24806,20.182428,236.422728,3
154,82,50,69.196896,118.211364,1781.820072,3
154,82,50,74.786712,123.685716,2149.357364,3
156,69,50,8.649612,51.897672,135.510588,1
156,80,50,8.649612,49.014468,121.094568,1
156,36,50,8.649612,54.780876,141.276996,1
156,14,50,8.649612,49.014468,132.627384,1
158,55,50,8.649612,11.532816,28.83204,1
158,33,50,8.649612,83.612916,222.006708,1
158,44,50,8.649612,80.729712,222.006708,1
158,95,50,43.24806,20.182428,242.189136,3
159,70,50,51.897672,37.481652,510.327108,3
160,66,50,60.547284,28.83204,432.4806,3
159,79,50,49.014468,34.598448,412.298172,3
159,74,50,72.0801,20.182428,452.663028,3
160,48,50,60.547284,8.649612,167.225832,1
162,54,50,80.729712,11.532816,230.65632,1
163,54,50,167.225832,8.649612,487.261476,1
166,98,50,57.66408,20.182428,328.685256,3
178,25,50,8.649612,60.547284,147.043404,1
176,75,50,46.131264,23.065632,282.553992,3
178,36,50,8.649612,49.014468,135.510588,1
178,58,50,8.649612,54.780876,135.510588,1
180,55,50,8.649612,86.49612,239.305932,1
178,85,50,43.24806,28.83204,328.685256,3
178,74,50,49.014468,20.182428,271.021176,3
180,88,50,8.649612,83.612916,242.189136,1
182,75,50,80.729712,8.649612,236.422728,1
182,75,50,80.729712,8.649612,233.539524,1
182,97,50,80.729712,8.649612,222.006708,1
182,86,50,80.729712,8.649612,210.473892,1
189,79,50,63.430488,43.24806,559.341576,3
191,33,50,60.547284,25.948836,380.582928,3
195,40,50,43.24806,28.83204,320.035644,3
196,42,50,43.24806,34.598448,337.334868,3
200,47,50,8.649612,51.897672,132.627384,1
200,69,50,8.649612,51.897672,126.860976,1
202,66,50,8.649612,80.729712,233.539524,1
202,55,50,8.649612,80.729712,233.539524,1
205,48,50,46.131264,11.532816,121.094568,1
49,51,50,60.404652,43.14618,573.9272,3
57,59,50,97.798008,43.14618,872.369344,3
66,16,50,28.76412,51.775416,332.877776,3
75,3,50,17.258472,60.404652,229.57088,3
77,13,50,40.269768,48.899004,427.575764,3
86,61,50,54.651828,25.887708,358.7045,3
106,8,50,31.640532,54.651828,295.572508,3
115,82,50,20.134884,57.52824,289.833236,3
127,84,50,11.505648,28.76412,114.78544,1
127,84,50,28.76412,23.011296,189.395976,1
8,49,50,8.629236,11.505648,22.957088,1
8,71,50,8.629236,8.629236,20.087452,1
7,60,50,17.258472,2.876412,17.217816,1
7,59,50,14.38206,11.505648,51.653448,1
24,68,50,106.427244,5.752824,120.524712,1
24,38,50,2.876412,8.629236,8.608908,1
24,57,50,28.76412,5.752824,40.174904,1
27,29,50,8.629236,5.752824,14.34818,1
29,27,50,8.629236,5.752824,11.478544,1
29,27,50,8.629236,2.876412,8.608908,1
29,27,50,8.629236,2.876412,8.608908,1
30,38,50,5.752824,8.629236,11.478544,1
30,60,50,5.752824,8.629236,14.34818,1
29,60,50,46.022592,5.752824,48.783812,1
30,82,50,5.752824,8.629236,14.34818,1
28,81,50,8.629236,5.752824,14.34818,1
30,71,50,5.752824,8.629236,11.478544,1
30,93,50,5.752824,8.629236,11.478544,1
30,49,50,5.752824,11.505648,17.217816,1
40,29,50,5.752824,20.134884,34.435632,1
46,82,50,5.752824,115.05648,132.003256,1
46,90,50,51.775416,8.629236,88.958716,1
46,16,50,5.752824,66.157476,86.08908,1
51,16,50,11.505648,5.752824,20.087452,1
52,49,50,5.752824,8.629236,11.478544,1
52,38,50,11.505648,8.629236,22.957088,1
52,82,50,5.752824,8.629236,17.217816,1
52,93,50,5.752824,8.629236,11.478544,1
52,71,50,11.505648,11.505648,25.826724,1
51,70,50,11.505648,8.629236,22.957088,1
52,115,50,11.505648,5.752824,14.34818,1
53,84,50,20.134884,2.876412,20.087452,1
52,27,50,8.629236,11.505648,20.087452,1
59,36,50,8.629236,40.269768,97.567624,1
68,79,50,103.550832,5.752824,126.263984,1
68,79,50,8.629236,2.876412,8.608908,1
68,24,50,77.663124,5.752824,91.828352,1
68,71,50,2.876412,8.629236,8.608908,1
68,70,50,5.752824,34.516944,66.001628,1
68,48,50,5.752824,8.629236,14.34818,1
68,16,50,2.876412,14.38206,14.34818,1
68,15,50,5.752824,8.629236,14.34818,1
72,38,50,11.505648,8.629236,28.69636,1
