[Wafer Information]
Wafer Number,13
Wafer ID,Q337528-20G4
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101439-002
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/22/2024 01:42
End Time,01/22/2024 01:49
Inspection Time,0:06:32
Photo Time,0:11:16
Data Output Time,01/22/2024 02:13

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F13 Pad area damage,F82 Top side chipping no damage sensor area
13,Q337528-20G4,18885,18640,98.702674,245,276,273,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,64,50,80.729712,8.649612,216.2403,1
6,64,50,77.846508,8.649612,201.82428,1
5,69,50,57.66408,23.065632,351.750888,3
6,53,50,80.729712,8.649612,216.2403,1
8,65,50,57.66408,11.532816,170.109036,1
8,76,50,57.66408,11.532816,175.875444,1
13,65,50,14.41602,20.182428,72.0801,2
14,67,50,46.131264,23.065632,288.3204,3
16,90,50,54.780876,23.065632,337.334868,3
20,31,50,17.299224,20.182428,89.379324,2
24,58,50,8.649612,46.131264,118.211364,1
24,80,50,8.649612,46.131264,126.860976,1
24,47,50,8.649612,46.131264,126.860976,1
26,79,50,20.182428,23.065632,106.678548,2
26,88,50,11.532816,83.612916,271.021176,1
26,33,50,8.649612,83.612916,236.422728,1
26,44,50,8.649612,83.612916,227.773116,1
28,97,50,80.729712,8.649612,236.422728,1
30,65,50,57.66408,8.649612,164.342628,1
30,81,50,14.41602,20.182428,89.379324,2
36,66,50,14.41602,20.182428,72.0801,2
37,100,50,46.131264,23.065632,273.90438,3
38,33,50,17.299224,20.182428,112.444956,2
38,75,50,14.41602,20.182428,80.729712,2
44,88,50,17.299224,23.065632,100.91214,2
46,80,50,8.649612,46.131264,123.977772,1
46,69,50,8.649612,46.131264,129.74418,1
46,25,50,8.649612,46.131264,115.32816,1
46,36,50,8.649612,49.014468,126.860976,1
46,47,50,8.649612,46.131264,126.860976,1
48,44,50,8.649612,80.729712,219.123504,1
50,53,50,80.729712,8.649612,222.006708,1
50,42,50,80.729712,8.649612,222.006708,1
50,15,50,109.561752,11.532816,403.64856,1
51,37,50,265.254768,8.649612,717.917796,1
51,70,50,144.1602,8.649612,409.414968,1
51,70,50,83.612916,8.649612,222.006708,1
51,70,50,98.028936,8.649612,259.48836,1
51,48,50,112.444956,8.649612,291.203604,1
53,109,50,37.481652,8.649612,100.91214,1
53,109,50,77.846508,8.649612,216.2403,1
57,82,50,17.299224,20.182428,92.262528,2
63,61,50,17.299224,20.182428,100.91214,2
68,36,50,8.649612,46.131264,123.977772,1
68,37,50,8.649612,80.729712,204.707484,1
67,22,50,17.299224,23.065632,89.379324,2
68,48,50,8.649612,149.926608,400.765356,1
68,25,50,8.649612,49.014468,129.74418,1
68,58,50,8.649612,46.131264,126.860976,1
68,70,50,8.649612,23.065632,69.196896,1
68,91,50,8.649612,46.131264,126.860976,1
68,80,50,8.649612,49.014468,129.74418,1
70,110,50,8.649612,80.729712,236.422728,1
70,99,50,8.649612,83.612916,239.305932,1
70,33,50,8.649612,72.0801,204.707484,1
72,31,50,80.729712,8.649612,233.539524,1
72,31,50,80.729712,8.649612,224.889912,1
72,42,50,80.729712,8.649612,230.65632,1
72,42,50,77.846508,8.649612,222.006708,1
72,53,50,80.729712,8.649612,236.422728,1
72,53,50,80.729712,11.532816,245.07234,1
72,86,50,80.729712,8.649612,224.889912,1
73,31,50,23.065632,317.15244,1458.901224,2
74,31,50,20.182428,317.15244,1565.579772,2
74,31,50,17.299224,317.15244,1525.214916,2
72,20,50,80.729712,11.532816,242.189136,1
72,20,50,80.729712,8.649612,239.305932,1
74,6,50,46.131264,28.83204,325.802052,3
72,9,50,77.846508,8.649612,219.123504,1
74,109,50,54.780876,8.649612,161.459424,1
