[Wafer Information]
Wafer Number,13
Wafer ID,Q337528-24E0
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101442-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/23/2024 01:07
End Time,01/23/2024 01:14
Inspection Time,0:06:43
Photo Time,0:11:06
Data Output Time,01/23/2024 01:41

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F07 Incoming microlens periphery peeling,F13 Pad area damage
13,Q337528-24E0,19748,19501,98.74924,247,267,266,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,70,50,25.948836,8.649612,63.430488,1
17,64,50,20.182428,23.065632,126.860976,2
22,32,50,49.014468,23.065632,296.970012,3
24,69,50,8.649612,46.131264,126.860976,1
24,37,50,8.649612,149.926608,438.247008,1
24,58,50,8.649612,49.014468,132.627384,1
26,55,50,8.649612,83.612916,242.189136,1
25,35,50,60.547284,63.430488,680.436144,2
26,33,50,8.649612,80.729712,222.006708,1
26,66,50,8.649612,83.612916,227.773116,1
28,75,50,80.729712,8.649612,219.123504,1
28,86,50,80.729712,8.649612,227.773116,1
28,64,50,80.729712,8.649612,233.539524,1
28,64,50,80.729712,8.649612,224.889912,1
28,53,50,80.729712,8.649612,216.2403,1
32,101,50,57.66408,20.182428,357.517296,3
34,62,50,17.299224,23.065632,95.145732,2
37,92,50,51.897672,74.963304,890.910036,3
37,92,50,60.404652,83.415948,1153.593672,3
46,47,50,8.649612,49.014468,123.977772,1
46,26,50,8.649612,54.780876,158.57622,1
46,26,50,8.649612,149.926608,423.830988,1
46,15,50,8.649612,149.926608,392.115744,1
46,14,50,8.649612,49.014468,126.860976,1
46,36,50,8.649612,54.780876,138.393792,1
46,37,50,8.649612,149.926608,406.531764,1
46,80,50,8.649612,46.131264,126.860976,1
47,42,50,17.299224,20.182428,86.49612,2
48,33,50,8.649612,83.612916,219.123504,1
48,66,50,8.649612,83.612916,222.006708,1
50,100,50,63.430488,28.83204,366.166908,2
