[Wafer Information]
Wafer Number,9
Wafer ID,Q335405-01F1
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101448-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/23/2024 07:50
End Time,01/23/2024 07:57
Inspection Time,0:06:46
Photo Time,0:14:40
Data Output Time,01/23/2024 08:53

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
9,Q335405-01F1,19812,19532,98.586715,280,334,334

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,51,50,11.532816,83.612916,302.73642,1
3,51,50,11.532816,25.948836,74.963304,1
6,53,50,77.846508,8.649612,213.357096,1
20,51,50,43.24806,28.83204,331.56846,3
23,56,50,43.24806,46.131264,403.64856,3
23,56,50,20.182428,74.963304,429.597396,3
23,56,50,51.775416,54.651828,625.580648,3
23,56,50,25.887708,83.415948,611.232468,3
22,51,50,106.678548,25.948836,657.370512,3
24,91,50,8.649612,49.014468,132.627384,1
24,91,50,8.649612,14.41602,31.715244,1
24,80,50,8.649612,46.131264,123.977772,1
24,70,50,8.649612,149.926608,400.765356,1
24,48,50,8.649612,152.809812,455.546232,1
24,58,50,8.649612,49.014468,129.74418,1
24,47,50,8.649612,46.131264,126.860976,1
24,37,50,8.649612,152.809812,403.64856,1
26,33,50,8.649612,83.612916,233.539524,1
26,44,50,8.649612,83.612916,233.539524,1
26,25,50,11.532816,126.860976,420.947784,1
26,37,50,54.780876,34.598448,458.429436,3
26,37,50,60.404652,46.022592,705.930456,3
26,88,50,8.649612,86.49612,245.07234,1
26,77,50,8.649612,83.612916,227.773116,1
28,97,50,49.014468,20.182428,265.254768,3
28,97,50,77.846508,8.649612,227.773116,1
28,68,50,43.24806,20.182428,253.721952,3
28,53,50,77.846508,8.649612,210.473892,1
28,53,50,80.729712,8.649612,233.539524,1
28,53,50,80.729712,8.649612,227.773116,1
29,92,50,17.299224,11.532816,49.014468,1
31,98,50,80.729712,8.649612,222.006708,1
31,98,50,28.83204,8.649612,86.49612,1
31,87,50,63.430488,8.649612,172.99224,1
31,87,50,49.014468,8.649612,135.510588,1
33,103,50,43.24806,23.065632,265.254768,3
38,106,50,37.481652,31.715244,262.371564,3
38,100,50,60.547284,20.182428,351.750888,3
42,22,50,43.24806,25.948836,299.853216,3
46,26,50,8.649612,149.926608,444.013416,1
46,25,50,8.649612,51.897672,132.627384,1
46,36,50,8.649612,46.131264,121.094568,1
46,58,50,8.649612,51.897672,132.627384,1
46,59,50,8.649612,149.926608,403.64856,1
46,20,50,8.649612,80.729712,236.422728,1
46,20,50,11.532816,170.109036,660.253716,1
46,37,50,8.649612,149.926608,446.89662,1
46,15,50,8.649612,149.926608,446.89662,1
46,48,50,8.649612,149.926608,415.181376,1
46,91,50,8.649612,49.014468,126.860976,1
46,102,50,8.649612,46.131264,121.094568,1
48,99,50,8.649612,83.612916,239.305932,1
48,110,50,8.649612,80.729712,216.2403,1
48,66,50,8.649612,83.612916,239.305932,1
47,14,50,11.532816,167.225832,524.743128,1
47,14,50,8.649612,83.612916,216.2403,1
48,14,50,11.532816,80.729712,302.73642,1
48,14,50,11.532816,83.612916,317.15244,1
50,31,50,80.729712,8.649612,222.006708,1
50,20,50,69.196896,8.649612,198.941076,1
50,20,50,80.729712,8.649612,233.539524,1
52,76,50,54.780876,8.649612,161.459424,1
57,90,50,54.780876,34.598448,507.443904,3
57,90,50,60.404652,46.022592,711.669728,3
60,115,50,46.131264,25.948836,305.619624,3
60,12,50,57.66408,25.948836,409.414968,3
68,102,50,8.649612,43.24806,126.860976,1
68,113,50,8.649612,46.131264,118.211364,1
68,80,50,8.649612,46.131264,121.094568,1
66,13,50,46.131264,28.83204,343.101276,3
68,31,50,8.649612,83.612916,239.305932,1
69,7,50,8.649612,167.225832,495.911088,1
69,7,50,11.532816,80.729712,288.3204,1
68,9,50,11.532816,86.49612,331.56846,1
70,77,50,8.649612,83.612916,239.305932,1
68,47,50,8.649612,51.897672,132.627384,1
68,15,50,8.649612,149.926608,449.779824,1
68,26,50,8.649612,149.926608,426.714192,1
70,110,50,8.649612,83.612916,227.773116,1
72,108,50,77.846508,8.649612,233.539524,1
72,108,50,80.729712,11.532816,250.838748,1
72,108,50,77.846508,8.649612,233.539524,1
70,55,50,8.649612,83.612916,236.422728,1
70,11,50,11.532816,83.612916,247.955544,1
70,7,50,8.649612,34.598448,95.145732,1
70,7,50,11.532816,83.612916,247.955544,1
70,33,50,8.649612,83.612916,245.07234,1
70,20,50,8.649612,83.612916,222.006708,1
70,22,50,8.649612,83.612916,219.123504,1
73,26,50,144.1602,11.532816,446.89662,1
73,26,50,121.094568,11.532816,403.64856,1
73,37,50,11.532816,11.532816,37.481652,1
81,118,50,31.715244,40.364856,311.386032,3
90,80,50,8.649612,49.014468,132.627384,1
90,113,50,8.649612,49.014468,129.74418,1
90,36,50,8.649612,60.547284,161.459424,1
90,26,50,8.649612,149.926608,432.4806,1
90,48,50,8.649612,149.926608,389.23254,1
90,58,50,8.649612,49.014468,129.74418,1
90,47,50,8.649612,49.014468,118.211364,1
