[Wafer Information]
Wafer Number,9
Wafer ID,Q336540-07A7
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101481-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/25/2024 11:14
End Time,01/25/2024 11:21
Inspection Time,0:06:47
Photo Time,0:09:08
Data Output Time,01/25/2024 05:58

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F06 Incoming others,F99 Others,F07 Incoming microlens periphery peeling
9,Q336540-07A7,20025,19904,99.395755,121,139,134,5

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,70,50,43.24806,8.649612,123.977772,1
8,48,50,49.014468,31.715244,340.218072,3
8,63,50,158.57622,8.649612,423.830988,1
8,69,50,77.846508,25.948836,504.5607,3
11,84,50,46.131264,23.065632,279.670788,3
10,72,50,54.780876,23.065632,357.517296,3
9,87,50,46.131264,11.532816,138.393792,1
11,88,50,43.24806,23.065632,271.021176,3
16,44,50,77.846508,40.364856,602.589636,3
16,92,50,63.430488,23.065632,435.363804,3
24,58,50,8.649612,49.014468,123.977772,1
28,25,50,49.014468,20.182428,279.670788,3
31,87,50,77.846508,8.649612,210.473892,1
31,100,50,54.780876,43.24806,611.239248,3
35,104,50,60.547284,23.065632,377.699724,3
37,22,50,54.780876,31.715244,418.06458,3
37,100,50,60.547284,23.065632,418.06458,3
37,101,50,49.014468,20.182428,288.3204,3
37,103,50,57.66408,25.948836,371.933316,3
39,102,50,89.379324,20.182428,504.5607,3
47,23,50,40.364856,25.948836,239.305932,3
52,54,50,46.131264,8.649612,132.627384,1
53,109,50,77.846508,8.649612,219.123504,1
57,114,50,40.364856,23.065632,250.838748,3
60,110,50,46.131264,23.065632,294.086808,3
61,113,50,57.66408,23.065632,377.699724,3
68,58,50,8.649612,46.131264,115.32816,1
73,114,50,268.137972,11.532816,740.983428,1
94,16,50,268.137972,8.649612,715.034592,1
94,16,50,268.137972,8.649612,735.21702,1
94,16,50,121.094568,8.649612,320.035644,1
94,5,50,268.137972,8.649612,726.567408,1
94,5,50,268.137972,8.649612,749.63304,1
94,92,50,219.123504,11.532816,579.524004,1
103,107,50,63.430488,23.065632,386.349336,3
105,111,50,72.0801,20.182428,446.89662,3
