[Wafer Information]
Wafer Number,13
Wafer ID,Q336540-15E4
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101487-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/24/2024 03:00
End Time,01/24/2024 03:06
Inspection Time,0:06:46
Photo Time,0:10:51
Data Output Time,01/24/2024 03:42

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F33 Black Foreign material,F99 Others,F13 Pad area damage,F07 Incoming microlens periphery peeling
13,Q336540-15E4,19960,19764,99.018036,196,256,249,7

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,53,50,77.846508,8.649612,222.006708,1
8,70,50,51.897672,11.532816,152.809812,1
6,64,50,77.846508,8.649612,227.773116,1
9,76,50,25.948836,8.649612,74.963304,1
9,43,50,63.430488,8.649612,178.758648,1
8,54,50,54.780876,11.532816,158.57622,1
9,87,50,77.846508,11.532816,253.721952,1
14,61,50,17.299224,20.182428,83.612916,2
18,70,50,66.313692,25.948836,446.89662,3
20,68,50,46.131264,25.948836,322.918848,3
24,37,50,8.649612,149.926608,432.4806,1
22,91,50,51.897672,23.065632,322.918848,3
24,80,50,8.649612,46.131264,115.32816,1
24,91,50,8.649612,46.131264,115.32816,1
25,61,50,43.24806,28.83204,299.853216,3
28,97,50,77.846508,8.649612,233.539524,1
28,97,50,80.729712,8.649612,233.539524,1
28,75,50,77.846508,8.649612,213.357096,1
28,75,50,80.729712,8.649612,227.773116,1
28,88,50,43.24806,69.196896,677.55294,3
28,88,50,51.775416,77.663124,949.849516,3
28,37,50,268.137972,8.649612,729.450612,1
29,37,50,268.137972,8.649612,740.983428,1
29,37,50,57.66408,8.649612,147.043404,1
29,81,50,31.715244,11.532816,98.028936,1
31,32,50,43.24806,28.83204,314.269236,3
29,92,50,57.66408,8.649612,147.043404,1
30,98,50,51.897672,8.649612,141.276996,1
31,99,50,69.196896,25.948836,441.130212,3
32,44,50,43.24806,28.83204,314.269236,3
34,103,50,69.196896,23.065632,461.31264,3
33,101,50,46.131264,46.131264,527.626332,3
34,101,50,54.780876,23.065632,343.101276,3
37,102,50,43.24806,28.83204,285.437196,3
38,100,50,72.0801,23.065632,467.079048,3
42,49,50,17.299224,20.182428,103.795344,2
42,38,50,20.182428,20.182428,100.91214,2
42,70,50,14.41602,20.182428,83.612916,2
41,105,50,66.313692,23.065632,406.531764,3
46,14,50,11.532816,49.014468,138.393792,1
50,97,50,14.41602,8.649612,43.24806,1
50,97,50,77.846508,8.649612,233.539524,1
50,97,50,80.729712,8.649612,239.305932,1
50,108,50,80.729712,8.649612,213.357096,1
53,49,50,40.364856,25.948836,282.553992,3
52,54,50,46.131264,8.649612,132.627384,1
59,59,50,63.430488,31.715244,449.779824,3
62,40,50,17.299224,20.182428,100.91214,2
63,42,50,49.014468,28.83204,354.634092,3
66,13,50,20.182428,23.065632,112.444956,2
64,107,50,49.014468,23.065632,311.386032,3
68,58,50,8.649612,46.131264,123.977772,1
68,25,50,8.649612,49.014468,126.860976,1
67,116,50,60.547284,23.065632,345.98448,3
73,30,50,17.299224,23.065632,98.028936,2
73,81,50,268.137972,11.532816,789.997896,1
73,81,50,268.137972,11.532816,787.114692,1
73,81,50,268.137972,11.532816,766.932264,1
73,92,50,265.254768,8.649612,761.165856,1
73,92,50,268.137972,8.649612,732.333816,1
73,103,50,268.137972,11.532816,807.29712,1
73,103,50,268.137972,11.532816,787.114692,1
73,103,50,49.014468,11.532816,147.043404,1
74,59,50,43.24806,8.649612,121.094568,1
73,114,50,268.137972,8.649612,752.516244,1
74,85,50,17.299224,20.182428,92.262528,2
74,51,50,14.41602,20.182428,77.846508,2
85,58,50,17.299224,20.182428,80.729712,2
83,113,50,46.131264,23.065632,308.502828,3
89,19,50,57.66408,25.948836,357.517296,3
90,95,50,17.299224,20.182428,89.379324,2
94,20,50,77.846508,8.649612,219.123504,1
94,20,50,77.846508,8.649612,233.539524,1
94,20,50,80.729712,8.649612,233.539524,1
94,9,50,80.729712,8.649612,204.707484,1
96,4,50,14.41602,23.065632,83.612916,2
94,5,50,271.021176,8.649612,755.399448,1
94,5,50,268.137972,8.649612,772.698672,1
94,5,50,118.211364,8.649612,334.451664,1
95,21,50,46.131264,25.948836,317.15244,3
97,34,50,14.41602,20.182428,77.846508,2
95,37,50,135.510588,11.532816,389.23254,1
95,37,50,57.66408,8.649612,158.57622,1
96,103,50,51.897672,8.649612,141.276996,1
95,117,50,60.547284,23.065632,409.414968,3
