[Wafer Information]
Wafer Number,7
Wafer ID,Q336540-18C5
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101490-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/24/2024 02:30
End Time,01/24/2024 02:37
Inspection Time,0:06:46
Photo Time,0:10:53
Data Output Time,01/24/2024 03:16

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F33 Black Foreign material,F13 Pad area damage,F07 Incoming microlens periphery peeling,F99 Others
7,Q336540-18C5,19936,19757,99.102127,179,220,218,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
6,53,50,77.846508,8.649612,216.2403,1
8,70,50,28.83204,11.532816,80.729712,1
13,78,50,17.299224,23.065632,100.91214,2
13,85,50,43.24806,23.065632,302.73642,3
17,36,50,37.481652,57.66408,559.341576,3
17,36,50,43.14618,63.281064,769.062448,3
20,95,50,63.430488,37.481652,542.042352,3
20,95,50,69.033888,46.022592,852.281892,3
24,47,50,8.649612,49.014468,129.74418,1
24,58,50,8.649612,46.131264,123.977772,1
26,59,50,77.846508,28.83204,484.378272,3
26,99,50,8.649612,80.729712,219.123504,1
29,91,50,31.715244,54.780876,490.14468,3
29,91,50,37.393356,63.281064,654.277008,3
29,27,50,17.299224,20.182428,77.846508,2
31,29,50,54.780876,25.948836,351.750888,3
31,29,50,14.38206,2.876412,14.34818,1
30,47,50,37.481652,49.014468,377.699724,3
30,47,50,46.022592,60.404652,573.9272,3
29,81,50,83.612916,8.649612,233.539524,1
31,87,50,86.49612,8.649612,250.838748,1
34,33,50,14.41602,17.299224,83.612916,2
37,35,50,37.481652,43.24806,412.298172,3
37,35,50,43.14618,48.899004,576.796836,3
37,54,50,60.547284,28.83204,458.429436,3
39,49,50,17.299224,311.386032,1352.222676,2
39,49,50,14.41602,311.386032,1432.952388,2
40,42,50,54.780876,28.83204,455.546232,3
40,39,50,40.364856,51.897672,357.517296,3
40,39,50,46.022592,57.52824,519.404116,3
42,50,50,43.24806,25.948836,291.203604,3
46,14,50,8.649612,49.014468,129.74418,1
51,50,50,43.24806,28.83204,320.035644,3
51,79,50,17.299224,20.182428,86.49612,2
53,17,50,31.715244,37.481652,253.721952,3
53,17,50,37.393356,46.022592,387.40086,3
52,54,50,63.430488,8.649612,167.225832,1
53,52,50,54.780876,63.430488,902.442852,3
53,52,50,57.52824,74.786712,1136.375856,3
52,113,50,14.41602,23.065632,95.145732,2
56,50,50,17.299224,20.182428,92.262528,2
59,35,50,54.780876,25.948836,360.4005,3
59,33,50,43.24806,28.83204,317.15244,3
61,31,50,49.014468,25.948836,357.517296,3
60,113,50,43.24806,23.065632,262.371564,3
