[Wafer Information]
Wafer Number,13
Wafer ID,A73-Q336540-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101494-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/27/2024 03:23
End Time,01/27/2024 03:26
Inspection Time,0:03:20
Photo Time,0:06:33
Data Output Time,01/27/2024 04:32

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder
13,A73-Q336540-403,5518,5470,99.13012,48,105,69,17,1,7,11

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
0,36,50,271.021176,8.649612,732.333816,1
17,17,50,273.90438,8.649612,781.348284,1
17,17,50,271.021176,8.649612,743.866632,1
27,35,50,23.065632,14.41602,86.49612,2
27,35,50,5.749428,2.874714,5.732498,1
28,20,50,43.24806,23.065632,242.189136,3
34,15,50,271.021176,8.649612,715.034592,1
35,40,50,17.299224,20.182428,86.49612,2
36,2,50,46.131264,31.715244,305.619624,3
38,24,50,43.24806,20.182428,250.838748,3
39,12,50,46.131264,20.182428,282.553992,3
42,26,50,28.83204,325.802052,1822.184928,2
42,26,50,28.83204,325.802052,1923.097068,2
42,26,50,28.83204,325.802052,1879.849008,2
43,26,50,25.948836,325.802052,1925.980272,2
43,26,50,28.83204,325.802052,1954.812312,2
43,26,50,28.83204,325.802052,1934.629884,2
51,54,50,17.299224,20.182428,77.846508,2
54,35,50,271.021176,8.649612,772.698672,1
54,35,50,271.021176,8.649612,746.749836,1
54,35,50,271.021176,8.649612,798.647508,1
54,35,50,54.780876,8.649612,149.926608,1
55,35,50,268.137972,8.649612,720.801,1
57,3,50,1006.238196,1972.111536,5950.933056,1
57,3,50,112.444956,100.91214,1401.237144,4
57,3,50,394.998948,418.06458,55994.704884,2
57,3,50,112.444956,103.795344,1522.331712,4
56,3,50,394.998948,415.181376,56254.193244,2
56,3,50,115.32816,106.678548,1510.798896,4
56,2,50,115.32816,103.795344,1432.952388,4
56,2,50,441.130212,449.779824,47884.252032,2
56,2,50,115.32816,106.678548,1432.952388,4
56,2,50,115.32816,103.795344,1421.419572,4
56,2,50,115.32816,103.795344,1435.835592,4
56,2,50,115.32816,106.678548,1536.747732,4
56,2,50,112.444956,103.795344,1467.550836,4
56,2,50,394.998948,420.947784,56407.003056,2
56,2,50,115.32816,103.795344,1418.536368,4
56,2,50,112.444956,106.678548,1450.251612,4
59,27,50,11.532816,8.649612,31.715244,1
60,54,50,54.780876,8.649612,152.809812,1
60,54,50,2.874714,5.749428,5.732498,1
60,54,50,2.874714,5.749428,5.732498,1
60,54,50,2.874714,5.749428,5.732498,1
60,54,50,2.874714,5.749428,5.732498,1
60,63,50,83.612916,8.649612,227.773116,1
66,65,50,8.649612,172.99224,495.911088,1
67,16,50,271.021176,8.649612,772.698672,1
72,65,50,8.649612,80.729712,213.357096,1
73,58,50,28.83204,325.802052,2018.2428,2
73,58,50,28.83204,322.918848,1862.549784,2
75,42,50,46.131264,25.948836,302.73642,3
77,35,50,158.57622,8.649612,472.845456,1
77,15,50,271.021176,8.649612,787.114692,1
78,29,50,20.182428,14.41602,83.612916,2
82,53,50,273.90438,8.649612,778.46508,1
83,53,50,271.021176,8.649612,764.04906,1
83,53,50,271.021176,8.649612,807.29712,1
88,36,50,271.021176,8.649612,738.100224,1
90,18,50,17.299224,20.182428,86.49612,2
99,35,50,57.66408,31.715244,380.582928,3
19,33,50,8.624142,2.874714,8.598747,1
33,36,50,14.37357,2.874714,14.331245,1
60,55,50,2.874714,5.749428,5.732498,1
60,55,50,2.874714,14.37357,14.331245,1
60,55,50,2.874714,5.749428,5.732498,1
60,55,50,2.874714,5.749428,5.732498,1
60,55,50,5.749428,11.498856,14.331245,1
60,55,50,5.749428,11.498856,14.331245,1
60,55,50,5.749428,5.749428,11.464996,1
60,55,50,5.749428,2.874714,5.732498,1
60,55,50,2.874714,5.749428,5.732498,1
60,55,50,2.874714,5.749428,5.732498,1
61,55,50,2.874714,5.749428,5.732498,1
61,55,50,2.874714,8.624142,8.598747,1
61,55,50,2.874714,8.624142,8.598747,1
61,55,50,2.874714,8.624142,8.598747,1
61,55,50,5.749428,5.749428,8.598747,1
61,55,50,2.874714,5.749428,5.732498,1
61,55,50,2.874714,5.749428,5.732498,1
61,55,50,2.874714,11.498856,11.464996,1
61,54,50,2.874714,8.624142,8.598747,1
61,54,50,2.874714,11.498856,11.464996,1
61,54,50,2.874714,17.248284,17.197494,1
61,54,50,2.874714,5.749428,5.732498,1
61,54,50,2.874714,11.498856,11.464996,1
61,54,50,2.874714,8.624142,8.598747,1
61,54,50,2.874714,5.749428,5.732498,1
61,54,50,2.874714,5.749428,5.732498,1
61,54,50,2.874714,5.749428,5.732498,1
61,54,50,2.874714,20.122998,20.063743,1
61,54,50,2.874714,5.749428,5.732498,1
61,54,50,2.874714,14.37357,14.331245,1
61,54,50,2.874714,8.624142,8.598747,1
61,54,50,2.874714,11.498856,11.464996,1
59,54,50,2.874714,5.749428,5.732498,1
93,36,50,8.624142,2.874714,8.598747,1
92,40,50,5.749428,2.874714,5.732498,1
96,35,50,5.749428,2.874714,5.732498,1
98,37,50,8.624142,2.874714,8.598747,1
103,35,50,5.749428,2.874714,5.732498,1
38,62,50,109.239132,43.12071,759.555985,3
70,36,50,218.478264,2707.980588,6503.518981,1
71,36,50,2181.907926,2707.980588,12124.23327,1
72,36,50,695.680788,11.498856,2204.145481,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F07 Incoming microlens periphery peeling,F29 Silicon powder
13,A73-Q336540-403,5518,5511,99.873142,7,8,1,1,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
0,36,Pass,271.021176,8.649612,732.333816,1
17,17,Pass,273.90438,8.649612,781.348284,1
17,17,Pass,271.021176,8.649612,743.866632,1
27,35,50,23.065632,14.41602,86.49612,2
27,35,50,5.749428,2.874714,5.732498,1
28,20,50,43.24806,23.065632,242.189136,3
34,15,Pass,271.021176,8.649612,715.034592,1
35,40,Pass,17.299224,20.182428,86.49612,2
36,2,50,46.131264,31.715244,305.619624,3
38,24,50,43.24806,20.182428,250.838748,3
39,12,50,46.131264,20.182428,282.553992,3
42,26,Pass,28.83204,325.802052,1822.184928,2
42,26,Pass,28.83204,325.802052,1923.097068,2
42,26,Pass,28.83204,325.802052,1879.849008,2
43,26,Pass,25.948836,325.802052,1925.980272,2
43,26,Pass,28.83204,325.802052,1954.812312,2
43,26,Pass,28.83204,325.802052,1934.629884,2
51,54,Pass,17.299224,20.182428,77.846508,2
54,35,Pass,271.021176,8.649612,772.698672,1
54,35,Pass,271.021176,8.649612,746.749836,1
54,35,Pass,271.021176,8.649612,798.647508,1
54,35,Pass,54.780876,8.649612,149.926608,1
55,35,Pass,268.137972,8.649612,720.801,1
57,3,Pass,1006.238196,1972.111536,5950.933056,1
57,3,Pass,112.444956,100.91214,1401.237144,4
57,3,Pass,394.998948,418.06458,55994.704884,2
57,3,Pass,112.444956,103.795344,1522.331712,4
56,3,Pass,394.998948,415.181376,56254.193244,2
56,3,Pass,115.32816,106.678548,1510.798896,4
56,2,Pass,115.32816,103.795344,1432.952388,4
56,2,Pass,441.130212,449.779824,47884.252032,2
56,2,Pass,115.32816,106.678548,1432.952388,4
56,2,Pass,115.32816,103.795344,1421.419572,4
56,2,Pass,115.32816,103.795344,1435.835592,4
56,2,Pass,115.32816,106.678548,1536.747732,4
56,2,Pass,112.444956,103.795344,1467.550836,4
56,2,Pass,394.998948,420.947784,56407.003056,2
56,2,Pass,115.32816,103.795344,1418.536368,4
56,2,Pass,112.444956,106.678548,1450.251612,4
59,27,Pass,11.532816,8.649612,31.715244,1
60,54,Pass,54.780876,8.649612,152.809812,1
60,54,Pass,2.874714,5.749428,5.732498,1
60,54,Pass,2.874714,5.749428,5.732498,1
60,54,Pass,2.874714,5.749428,5.732498,1
60,54,Pass,2.874714,5.749428,5.732498,1
60,63,Pass,83.612916,8.649612,227.773116,1
66,65,Pass,8.649612,172.99224,495.911088,1
67,16,Pass,271.021176,8.649612,772.698672,1
72,65,Pass,8.649612,80.729712,213.357096,1
73,58,Pass,28.83204,325.802052,2018.2428,2
73,58,Pass,28.83204,322.918848,1862.549784,2
75,42,50,46.131264,25.948836,302.73642,3
77,35,Pass,158.57622,8.649612,472.845456,1
77,15,Pass,271.021176,8.649612,787.114692,1
78,29,Pass,20.182428,14.41602,83.612916,2
82,53,Pass,273.90438,8.649612,778.46508,1
83,53,Pass,271.021176,8.649612,764.04906,1
83,53,Pass,271.021176,8.649612,807.29712,1
88,36,Pass,271.021176,8.649612,738.100224,1
90,18,Pass,17.299224,20.182428,86.49612,2
99,35,50,57.66408,31.715244,380.582928,3
19,33,Pass,8.624142,2.874714,8.598747,1
33,36,Pass,14.37357,2.874714,14.331245,1
60,55,Pass,2.874714,5.749428,5.732498,1
60,55,Pass,2.874714,14.37357,14.331245,1
60,55,Pass,2.874714,5.749428,5.732498,1
60,55,Pass,2.874714,5.749428,5.732498,1
60,55,Pass,5.749428,11.498856,14.331245,1
60,55,Pass,5.749428,11.498856,14.331245,1
60,55,Pass,5.749428,5.749428,11.464996,1
60,55,Pass,5.749428,2.874714,5.732498,1
60,55,Pass,2.874714,5.749428,5.732498,1
60,55,Pass,2.874714,5.749428,5.732498,1
61,55,Pass,2.874714,5.749428,5.732498,1
61,55,Pass,2.874714,8.624142,8.598747,1
61,55,Pass,2.874714,8.624142,8.598747,1
61,55,Pass,2.874714,8.624142,8.598747,1
61,55,Pass,5.749428,5.749428,8.598747,1
61,55,Pass,2.874714,5.749428,5.732498,1
61,55,Pass,2.874714,5.749428,5.732498,1
61,55,Pass,2.874714,11.498856,11.464996,1
61,54,Pass,2.874714,8.624142,8.598747,1
61,54,Pass,2.874714,11.498856,11.464996,1
61,54,Pass,2.874714,17.248284,17.197494,1
61,54,Pass,2.874714,5.749428,5.732498,1
61,54,Pass,2.874714,11.498856,11.464996,1
61,54,Pass,2.874714,8.624142,8.598747,1
61,54,Pass,2.874714,5.749428,5.732498,1
61,54,Pass,2.874714,5.749428,5.732498,1
61,54,Pass,2.874714,5.749428,5.732498,1
61,54,Pass,2.874714,20.122998,20.063743,1
61,54,Pass,2.874714,5.749428,5.732498,1
61,54,Pass,2.874714,14.37357,14.331245,1
61,54,Pass,2.874714,8.624142,8.598747,1
61,54,Pass,2.874714,11.498856,11.464996,1
59,54,Pass,2.874714,5.749428,5.732498,1
93,36,Pass,8.624142,2.874714,8.598747,1
92,40,Pass,5.749428,2.874714,5.732498,1
96,35,Pass,5.749428,2.874714,5.732498,1
98,37,Pass,8.624142,2.874714,8.598747,1
103,35,Pass,5.749428,2.874714,5.732498,1
38,62,Pass,109.239132,43.12071,759.555985,3
