[Wafer Information]
Wafer Number,13
Wafer ID,Q336916-12A5
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101565-002
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/25/2024 09:03
End Time,01/25/2024 09:09
Inspection Time,0:06:45
Photo Time,0:31:53
Data Output Time,01/26/2024 12:41

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
13,Q336916-12A5,19613,19261,98.205272,352,532,532

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
8,49,50,43.24806,25.948836,265.254768,3
8,49,50,5.752824,8.629236,11.478544,1
17,42,50,14.41602,34.598448,118.211364,1
17,42,50,11.505648,31.640532,83.219444,1
19,49,50,43.24806,25.948836,268.137972,3
19,53,50,31.715244,43.24806,285.437196,3
19,53,50,37.393356,51.775416,375.922316,3
18,96,50,40.364856,40.364856,311.386032,3
18,96,50,46.022592,46.022592,447.663216,3
20,93,50,40.364856,34.598448,357.517296,3
26,99,50,8.649612,80.729712,216.2403,1
28,100,50,34.598448,57.66408,438.247008,3
28,100,50,40.269768,63.281064,614.102104,3
28,53,50,80.729712,8.649612,227.773116,1
28,53,50,80.729712,8.649612,227.773116,1
30,48,50,11.532816,5.766408,23.065632,1
33,23,50,92.262528,28.83204,611.239248,3
34,40,50,37.481652,31.715244,262.371564,3
33,26,50,40.364856,23.065632,256.605156,3
34,97,50,31.715244,37.481652,250.838748,3
34,97,50,40.269768,48.899004,453.402488,3
39,73,50,20.182428,14.41602,77.846508,2
39,50,50,25.948836,28.83204,175.875444,2
42,44,50,37.481652,43.24806,351.750888,3
43,65,50,31.715244,43.24806,299.853216,3
43,65,50,40.269768,48.899004,398.879404,3
45,34,50,23.065632,11.532816,77.846508,2
47,67,50,37.481652,40.364856,314.269236,3
48,71,50,149.926608,8.649612,415.181376,1
52,57,50,17.299224,20.182428,86.49612,2
54,104,50,17.299224,20.182428,89.379324,2
52,87,50,57.66408,8.649612,155.693016,1
56,21,50,43.24806,40.364856,331.56846,3
56,21,50,46.022592,46.022592,459.14176,3
58,14,50,51.897672,23.065632,302.73642,3
57,113,50,77.846508,40.364856,703.501776,3
61,82,50,37.481652,54.780876,420.947784,3
64,9,50,40.364856,31.715244,348.867684,3
67,10,50,17.299224,20.182428,80.729712,2
68,51,50,14.41602,20.182428,80.729712,2
71,19,50,23.065632,31.715244,149.926608,2
74,103,50,17.299224,5.766408,34.598448,1
74,97,50,34.598448,43.24806,320.035644,3
74,97,50,40.269768,48.899004,453.402488,3
74,92,50,54.780876,8.649612,155.693016,1
74,98,50,57.66408,8.649612,158.57622,1
76,98,50,40.364856,46.131264,334.451664,3
76,98,50,46.022592,51.775416,459.14176,3
76,111,50,14.41602,311.386032,1421.419572,2
77,111,50,14.41602,311.386032,1441.602,2
77,111,50,14.41602,311.386032,1479.083652,2
77,84,50,37.481652,40.364856,423.830988,3
78,119,50,46.131264,23.065632,259.48836,3
78,72,50,34.598448,37.481652,288.3204,3
80,43,50,25.948836,49.014468,337.334868,3
80,43,50,34.516944,54.651828,482.098848,3
82,24,50,14.41602,17.299224,80.729712,2
82,11,50,49.014468,28.83204,322.918848,3
89,118,50,14.41602,20.182428,74.963304,2
90,26,50,8.649612,152.809812,412.298172,1
94,4,50,121.094568,11.532816,360.4005,1
96,88,50,37.481652,40.364856,294.086808,3
96,88,50,43.14618,43.14618,367.313408,3
97,54,50,40.364856,8.649612,118.211364,1
99,83,50,23.065632,46.131264,262.371564,3
103,98,50,17.299224,23.065632,106.678548,2
103,41,50,49.014468,43.24806,478.611864,2
104,114,50,17.299224,20.182428,92.262528,2
106,74,50,23.065632,25.948836,164.342628,2
106,71,50,23.065632,23.065632,147.043404,2
109,114,50,14.41602,20.182428,77.846508,2
109,48,50,28.83204,37.481652,268.137972,3
112,4,50,8.649612,152.809812,438.247008,1
111,120,50,49.014468,23.065632,288.3204,3
114,118,50,31.715244,40.364856,348.867684,3
114,38,50,17.299224,23.065632,92.262528,2
113,44,50,14.41602,17.299224,83.612916,2
117,101,50,40.364856,40.364856,363.283704,3
117,28,50,20.182428,23.065632,129.74418,2
118,21,50,54.780876,8.649612,155.693016,1
119,103,50,28.83204,46.131264,334.451664,3
119,103,50,34.516944,54.651828,401.74904,3
124,84,50,8.649612,20.182428,40.364856,1
124,84,50,17.258472,14.38206,60.262356,1
125,101,50,31.715244,40.364856,265.254768,3
126,42,50,14.41602,20.182428,74.963304,2
129,53,50,51.897672,60.547284,605.47284,2
131,117,50,34.598448,40.364856,305.619624,3
132,14,50,25.948836,317.15244,1533.864528,2
132,14,50,23.065632,317.15244,1386.821124,2
133,14,50,28.83204,317.15244,1588.645404,2
133,14,50,25.948836,317.15244,1579.995792,2
133,14,50,23.065632,317.15244,1649.192688,2
135,61,50,14.41602,20.182428,69.196896,2
139,26,50,268.137972,8.649612,743.866632,1
139,26,50,268.137972,8.649612,729.450612,1
140,46,50,17.299224,20.182428,92.262528,2
140,15,50,17.299224,5.766408,34.598448,1
143,77,50,20.182428,20.182428,106.678548,2
146,92,50,37.481652,34.598448,273.90438,3
147,92,50,14.41602,311.386032,1323.390636,2
148,10,50,77.846508,31.715244,484.378272,3
150,9,50,20.182428,17.299224,95.145732,2
150,89,50,20.182428,23.065632,109.561752,2
149,79,50,17.299224,20.182428,86.49612,2
151,77,50,28.83204,43.24806,311.386032,3
151,77,50,34.516944,48.899004,418.966856,3
154,43,50,17.299224,20.182428,86.49612,2
153,100,50,14.41602,17.299224,86.49612,2
156,48,50,8.649612,28.83204,72.0801,1
155,15,50,23.065632,23.065632,152.809812,2
158,68,50,386.349336,397.882152,35117.42472,2
158,68,50,17.299224,314.269236,1548.280548,2
158,68,50,25.948836,317.15244,1562.696568,2
158,68,50,17.299224,317.15244,1600.17822,2
157,68,50,17.299224,311.386032,1458.901224,2
157,68,50,14.41602,311.386032,1479.083652,2
157,68,50,17.299224,314.269236,1461.784428,2
162,55,50,8.649612,14.41602,37.481652,1
162,55,50,17.258472,28.76412,132.003256,1
162,55,50,17.258472,20.134884,86.08908,1
162,14,50,37.481652,8.649612,103.795344,1
163,109,50,63.430488,8.649612,181.641852,1
164,49,50,8.649612,14.41602,31.715244,1
