[Wafer Information]
Wafer Number,13
Wafer ID,Q336916-09B2
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101571-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/26/2024 06:43
End Time,01/26/2024 06:50
Inspection Time,0:06:45
Photo Time,0:17:28
Data Output Time,01/26/2024 09:16

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area,F99 Others,F13 Pad area damage
13,Q336916-09B2,19734,19575,99.194284,159,307,285,22

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,90,50,60.547284,20.182428,374.81652,3
15,58,50,66.313692,25.948836,495.911088,3
15,44,50,69.196896,25.948836,452.663028,3
16,50,50,103.795344,28.83204,663.13692,3
18,41,50,66.313692,25.948836,441.130212,3
24,58,50,8.649612,51.897672,129.74418,1
28,74,50,25.948836,57.66408,262.371564,1
28,74,50,17.258472,69.033888,381.661588,1
28,74,50,28.76412,60.404652,473.48994,1
34,51,50,43.24806,37.481652,426.714192,3
41,23,50,43.24806,23.065632,247.955544,3
46,26,50,8.649612,149.926608,444.013416,1
47,46,50,8.649612,80.729712,230.65632,1
53,80,50,43.24806,43.24806,501.677496,3
53,80,50,51.775416,51.775416,708.800092,3
52,87,50,57.66408,8.649612,161.459424,1
57,111,50,43.24806,20.182428,259.48836,3
65,9,50,46.131264,37.481652,386.349336,3
71,112,50,57.66408,23.065632,351.750888,3
74,15,50,11.532816,5.766408,23.065632,1
77,5,50,80.729712,8.649612,216.2403,1
80,15,50,40.364856,28.83204,288.3204,3
80,8,50,46.131264,25.948836,296.970012,3
94,4,50,86.49612,11.532816,250.838748,1
94,4,50,11.505648,8.629236,31.565996,1
94,15,50,66.313692,8.649612,190.291464,1
97,121,50,25.948836,40.364856,285.437196,3
97,87,50,77.846508,8.649612,227.773116,1
97,87,50,57.66408,8.649612,158.57622,1
97,87,50,60.547284,8.649612,178.758648,1
98,34,50,51.897672,25.948836,311.386032,3
110,65,50,31.715244,40.364856,380.582928,3
112,26,50,8.649612,152.809812,412.298172,1
112,14,50,8.649612,49.014468,132.627384,1
117,14,50,60.547284,25.948836,366.166908,3
119,119,50,46.131264,28.83204,320.035644,3
118,120,50,54.780876,8.649612,164.342628,1
134,26,50,8.649612,149.926608,418.06458,1
156,89,50,54.780876,20.182428,366.166908,3
156,14,50,46.131264,25.948836,328.685256,3
162,26,50,14.41602,5.766408,28.83204,1
166,100,50,54.780876,23.065632,337.334868,3
168,23,50,66.313692,25.948836,446.89662,3
172,101,50,60.547284,20.182428,363.283704,3
179,85,50,40.364856,46.131264,501.677496,3
179,85,50,46.022592,51.775416,694.451912,3
179,96,50,63.430488,23.065632,415.181376,3
180,44,50,8.649612,83.612916,224.889912,1
182,97,50,80.729712,8.649612,239.305932,1
182,97,50,80.729712,8.649612,236.422728,1
186,78,50,54.780876,20.182428,328.685256,3
198,83,50,92.262528,20.182428,533.39274,3
201,65,50,69.196896,25.948836,438.247008,3
203,51,50,49.014468,28.83204,320.035644,3
37,33,50,28.76412,48.899004,134.872892,3
52,65,50,46.022592,60.404652,295.572508,3
123,123,50,48.899004,40.269768,525.143388,3
126,1,50,17.258472,71.9103,307.051052,1
126,1,50,17.258472,54.651828,212.353064,1
154,110,50,43.14618,51.775416,384.531224,3
202,41,50,43.14618,46.022592,272.61542,3
24,34,50,14.38206,5.752824,20.087452,1
24,101,50,8.629236,8.629236,20.087452,1
25,101,50,14.38206,5.752824,17.217816,1
24,63,50,5.752824,17.258472,22.957088,1
24,63,50,2.876412,8.629236,8.608908,1
30,93,50,5.752824,8.629236,14.34818,1
46,22,50,2.876412,8.629236,8.608908,1
47,27,50,2.876412,8.629236,8.608908,1
52,104,50,5.752824,11.505648,14.34818,1
52,82,50,5.752824,8.629236,17.217816,1
52,27,50,11.505648,11.505648,25.826724,1
51,16,50,14.38206,11.505648,43.04454,1
68,14,50,5.752824,8.629236,14.34818,1
68,14,50,5.752824,8.629236,14.34818,1
67,14,50,2.876412,28.76412,28.69636,1
68,41,50,5.752824,20.134884,25.826724,1
68,41,50,5.752824,8.629236,11.478544,1
68,41,50,2.876412,8.629236,8.608908,1
68,41,50,5.752824,31.640532,45.914176,1
68,41,50,2.876412,8.629236,8.608908,1
68,41,50,2.876412,8.629236,8.608908,1
68,107,50,2.876412,14.38206,14.34818,1
68,107,50,2.876412,23.011296,22.957088,1
68,107,50,2.876412,20.134884,20.087452,1
68,96,50,2.876412,31.640532,31.565996,1
68,118,50,5.752824,17.258472,31.565996,1
69,119,50,8.629236,5.752824,14.34818,1
68,74,50,5.752824,17.258472,22.957088,1
68,74,50,2.876412,14.38206,14.34818,1
68,74,50,2.876412,17.258472,17.217816,1
69,6,50,2.876412,8.629236,8.608908,1
74,27,50,5.752824,11.505648,17.217816,1
74,60,50,8.629236,11.505648,25.826724,1
74,49,50,5.752824,8.629236,14.34818,1
74,38,50,5.752824,8.629236,17.217816,1
78,54,50,40.269768,2.876412,40.174904,1
90,8,50,11.505648,17.258472,37.305268,1
90,8,50,5.752824,8.629236,17.217816,1
90,19,50,2.876412,8.629236,8.608908,1
89,36,50,2.876412,17.258472,17.217816,1
89,36,50,2.876412,8.629236,8.608908,1
90,63,50,5.752824,8.629236,14.34818,1
90,63,50,2.876412,28.76412,28.69636,1
90,63,50,2.876412,69.033888,68.871264,1
90,41,50,5.752824,8.629236,11.478544,1
90,41,50,5.752824,8.629236,14.34818,1
90,96,50,8.629236,5.752824,11.478544,1
90,96,50,8.629236,5.752824,14.34818,1
90,96,50,5.752824,8.629236,11.478544,1
92,87,50,14.38206,8.629236,17.217816,1
90,85,50,5.752824,14.38206,20.087452,1
93,92,50,11.505648,2.876412,11.478544,1
93,103,50,8.629236,2.876412,8.608908,1
92,5,50,8.629236,2.876412,8.608908,1
94,92,50,5.752824,8.629236,11.478544,1
96,27,50,5.752824,11.505648,20.087452,1
96,16,50,8.629236,8.629236,22.957088,1
97,8,50,28.76412,11.505648,71.7409,1
97,7,50,17.258472,5.752824,20.087452,1
96,5,50,5.752824,8.629236,14.34818,1
104,52,50,11.505648,2.876412,11.478544,1
112,63,50,2.876412,37.393356,37.305268,1
112,63,50,2.876412,8.629236,8.608908,1
112,52,50,5.752824,8.629236,14.34818,1
112,52,50,2.876412,28.76412,28.69636,1
112,52,50,2.876412,20.134884,20.087452,1
112,52,50,2.876412,14.38206,14.34818,1
112,19,50,8.629236,48.899004,66.001628,1
112,19,50,2.876412,20.134884,20.087452,1
112,19,50,2.876412,17.258472,17.217816,1
112,19,50,2.876412,8.629236,8.608908,1
112,74,50,5.752824,8.629236,14.34818,1
112,74,50,2.876412,31.640532,31.565996,1
112,74,50,2.876412,20.134884,20.087452,1
112,74,50,2.876412,43.14618,43.04454,1
112,74,50,2.876412,25.887708,25.826724,1
