[Wafer Information]
Wafer Number,9
Wafer ID,Q336916-10B7
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101574-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/26/2024 12:51
End Time,01/26/2024 12:58
Inspection Time,0:06:44
Photo Time,0:40:53
Data Output Time,01/26/2024 02:14

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F82 Top side chipping no damage sensor area,F13 Pad area damage,F06 Incoming others,F99 Others
9,Q336916-10B7,19478,19243,98.793511,235,619,604,15

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,53,50,49.014468,28.83204,371.933316,3
14,42,50,11.532816,11.532816,37.481652,1
14,42,50,2.876412,8.629236,8.608908,1
15,82,50,46.131264,49.014468,469.962252,3
15,82,50,54.651828,57.52824,694.451912,3
19,33,50,46.131264,25.948836,299.853216,3
24,48,50,8.649612,149.926608,423.830988,1
28,53,50,80.729712,8.649612,216.2403,1
28,31,50,77.846508,8.649612,207.590688,1
52,15,50,25.948836,5.766408,51.897672,1
53,111,50,69.196896,20.182428,415.181376,3
58,45,50,11.532816,8.649612,28.83204,1
58,45,50,11.505648,2.876412,11.478544,1
58,45,50,28.76412,5.752824,34.435632,1
58,45,50,100.67442,5.752824,186.52634,1
58,45,50,8.629236,2.876412,8.608908,1
58,45,50,77.663124,8.629236,169.308524,1
58,45,50,8.629236,5.752824,14.34818,1
58,45,50,11.505648,2.876412,11.478544,1
62,13,50,37.481652,31.715244,340.218072,3
68,91,50,8.649612,49.014468,123.977772,1
77,5,50,28.83204,8.649612,83.612916,1
77,5,50,28.83204,8.649612,86.49612,1
77,5,50,80.729712,8.649612,219.123504,1
86,45,50,46.131264,11.532816,158.57622,1
86,45,50,23.065632,11.532816,72.0801,1
86,45,50,8.629236,2.876412,8.608908,1
86,45,50,14.38206,5.752824,22.957088,1
86,45,50,100.67442,8.629236,212.353064,1
86,45,50,11.505648,5.752824,20.087452,1
88,45,50,25.948836,11.532816,80.729712,1
88,45,50,83.415948,5.752824,126.263984,1
88,45,50,14.38206,2.876412,14.34818,1
88,27,50,11.532816,8.649612,23.065632,1
89,45,50,11.532816,11.532816,37.481652,1
89,45,50,117.932892,8.629236,289.833236,1
89,45,50,14.38206,5.752824,20.087452,1
89,45,50,11.505648,5.752824,20.087452,1
92,106,50,49.014468,37.481652,392.115744,3
94,4,50,123.977772,11.532816,377.699724,1
94,15,50,8.649612,11.532816,28.83204,1
97,54,50,31.715244,8.649612,92.262528,1
112,4,50,8.649612,149.926608,438.247008,1
112,38,50,8.649612,31.715244,80.729712,1
112,26,50,8.649612,152.809812,435.363804,1
112,59,50,8.649612,152.809812,455.546232,1
116,59,50,253.721952,8.649612,668.903328,1
125,5,50,46.131264,31.715244,351.750888,3
134,59,50,60.547284,69.196896,1078.318296,3
134,59,50,66.157476,77.663124,1348.72892,3
136,117,50,77.846508,8.649612,230.65632,1
136,117,50,167.225832,8.649612,464.195844,1
145,59,50,40.364856,40.364856,389.23254,3
145,59,50,51.775416,51.775416,602.62356,3
150,12,50,2191.23504,3716.449956,61942.754736,1
150,12,50,934.158096,164.342628,19078.160868,63
150,12,50,83.612916,49.014468,1355.10588,63
150,12,50,83.612916,268.137972,7513.629624,63
150,12,50,57.66408,80.729712,1251.310536,63
150,12,50,187.40826,236.422728,3875.026176,63
150,12,50,172.99224,175.875444,3289.735764,63
151,12,50,415.181376,3704.91714,24331.358556,1
149,11,50,2087.439696,1199.412864,23921.943588,1
149,11,50,934.158096,204.707484,20986.841916,63
149,11,50,83.612916,49.014468,1323.390636,63
149,11,50,83.612916,268.137972,7242.608448,63
