[Wafer Information]
Wafer Number,17
Wafer ID,A49-Q336916-404
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101578-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/30/2024 09:50
End Time,01/30/2024 09:54
Inspection Time,0:03:21
Photo Time,0:09:39
Data Output Time,01/30/2024 11:54

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
17,A49-Q336916-404,5518,5466,99.05763,52,69,49,14,6

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
12,15,50,273.90438,8.649612,821.71314,1
12,15,50,271.021176,8.649612,813.063528,1
11,37,50,80.729712,23.065632,510.327108,3
14,40,50,46.131264,23.065632,305.619624,3
20,52,50,118.211364,37.481652,1346.456268,3
20,52,50,126.487416,54.619566,2032.170541,3
23,7,50,17.299224,8.649612,46.131264,1
23,59,50,273.90438,8.649612,787.114692,1
23,59,50,271.021176,8.649612,749.63304,1
23,59,50,268.137972,8.649612,717.917796,1
23,59,50,245.07234,8.649612,689.085756,1
26,14,50,123.977772,8.649612,369.050112,1
27,7,50,25.948836,43.24806,273.90438,3
27,14,50,28.83204,8.649612,74.963304,1
29,40,50,69.196896,25.948836,444.013416,3
32,29,50,74.963304,20.182428,444.013416,3
38,33,50,46.131264,25.948836,299.853216,3
38,48,50,43.24806,20.182428,233.539524,3
42,53,50,49.014468,20.182428,296.970012,3
44,18,50,14.41602,20.182428,83.612916,2
52,4,50,43.24806,25.948836,294.086808,3
57,0,50,20.182428,17.299224,98.028936,2
60,20,50,28.83204,322.918848,1845.25056,2
60,20,50,28.83204,322.918848,1868.316192,2
60,20,50,25.948836,322.918848,2009.593188,2
59,36,50,271.021176,8.649612,781.348284,1
59,36,50,271.021176,8.649612,801.530712,1
59,36,50,57.66408,8.649612,161.459424,1
59,36,50,273.90438,8.649612,703.501776,1
59,36,50,37.481652,8.649612,98.028936,1
66,58,50,46.131264,25.948836,337.334868,3
72,4,50,77.846508,23.065632,487.261476,3
75,13,50,20.182428,23.065632,118.211364,2
79,18,50,60.547284,20.182428,354.634092,3
83,59,50,242.189136,8.649612,715.034592,1
1,40,50,22.997712,2.874714,22.929992,1
11,48,50,5.749428,2.874714,5.732498,1
13,52,50,37.371282,2.874714,37.261237,1
27,21,50,20.122998,2.874714,20.063743,1
27,21,50,22.997712,2.874714,22.929992,1
