[Wafer Information]
Wafer Number,9
Wafer ID,Q336916-18E2
Job Name,X2L3QBJL_S_12_05
Model Name,EagleT
Lot Number,24101580-003
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/27/2024 06:15
End Time,01/27/2024 06:22
Inspection Time,0:06:41
Photo Time,0:16:24
Data Output Time,01/27/2024 07:34

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling
9,Q336916-18E2,19451,19279,99.115727,172,278,278

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
7,61,50,17.299224,20.182428,106.678548,2
15,37,50,86.49612,25.948836,544.925556,3
16,41,50,66.313692,40.364856,657.370512,3
19,92,50,60.547284,20.182428,351.750888,3
45,71,50,17.299224,20.182428,92.262528,2
52,59,50,11.532816,5.766408,23.065632,1
50,15,50,25.948836,11.532816,80.729712,1
50,15,50,25.887708,5.752824,48.783812,1
50,15,50,14.38206,2.876412,14.34818,1
52,87,50,54.780876,11.532816,161.459424,1
55,102,50,17.299224,20.182428,83.612916,2
64,51,50,69.196896,40.364856,518.97672,3
64,51,50,77.663124,48.899004,786.280264,3
70,80,50,20.182428,17.299224,86.49612,2
71,92,50,20.182428,25.948836,112.444956,2
73,26,50,268.137972,8.649612,764.04906,1
76,6,50,14.41602,311.386032,1404.120348,2
77,6,50,17.299224,311.386032,1404.120348,2
77,6,50,14.41602,311.386032,1479.083652,2
77,6,50,17.299224,311.386032,1450.251612,2
80,24,50,17.299224,20.182428,80.729712,2
91,121,50,40.364856,20.182428,230.65632,3
94,4,50,83.612916,8.649612,242.189136,1
94,4,50,123.977772,11.532816,363.283704,1
94,15,50,123.977772,8.649612,345.98448,1
96,114,50,20.182428,5.766408,40.364856,1
97,109,50,28.83204,8.649612,86.49612,1
97,54,50,51.897672,8.649612,155.693016,1
97,54,50,80.729712,8.649612,227.773116,1
112,26,50,8.649612,149.926608,403.64856,1
113,7,50,14.41602,20.182428,77.846508,2
116,31,50,80.729712,8.649612,239.305932,1
116,31,50,80.729712,8.649612,242.189136,1
116,77,50,14.41602,311.386032,1464.667632,2
116,77,50,17.299224,311.386032,1268.60976,2
118,103,50,20.182428,5.766408,40.364856,1
118,120,50,54.780876,8.649612,155.693016,1
133,22,50,54.780876,28.83204,423.830988,3
133,22,50,60.404652,40.269768,665.755552,3
142,78,50,54.780876,25.948836,392.115744,3
147,32,50,20.182428,25.948836,132.627384,2
145,97,50,533.39274,1790.469684,4636.192032,1
146,97,50,2185.468632,1790.469684,13274.271216,1
146,97,50,397.882152,426.714192,57574.700676,2
147,97,50,1969.228332,1790.469684,9592.419708,1
147,97,50,397.882152,426.714192,57626.598348,2
147,96,50,1969.228332,3096.561096,10564.059456,1
147,96,50,931.274892,196.057872,18766.774836,63
147,96,50,444.013416,449.779824,52704.96912,2
147,96,50,135.510588,31.715244,1473.317244,63
147,96,50,400.765356,426.714192,57701.561652,2
147,96,50,397.882152,423.830988,57617.948736,2
146,96,50,931.274892,196.057872,18749.475612,63
146,96,50,444.013416,449.779824,52903.910196,2
146,96,50,400.765356,426.714192,57641.014368,2
146,96,50,178.758648,141.276996,3148.458768,63
146,96,50,397.882152,426.714192,57444.956496,2
145,96,50,149.926608,423.830988,21416.439312,2
154,30,50,28.83204,31.715244,250.838748,2
158,99,50,17.299224,20.182428,86.49612,2
159,60,50,17.299224,20.182428,103.795344,2
161,92,50,46.131264,8.649612,126.860976,1
174,24,50,54.780876,28.83204,394.998948,3
178,47,50,132.627384,121.094568,3771.230832,3
178,47,50,138.067776,129.43854,4364.716356,3
178,88,50,57.66408,40.364856,596.823228,3
178,88,50,51.775416,8.629236,114.78544,3
179,25,50,51.897672,28.83204,354.634092,3
182,97,50,80.729712,8.649612,233.539524,1
182,97,50,80.729712,8.649612,236.422728,1
182,78,50,46.131264,20.182428,265.254768,3
184,59,50,14.41602,5.766408,28.83204,1
190,37,50,66.313692,25.948836,484.378272,3
191,45,50,46.131264,69.196896,758.282652,3
191,45,50,54.651828,80.539536,1061.76532,3
193,32,50,40.364856,25.948836,282.553992,3
192,65,50,20.182428,25.948836,129.74418,2
199,49,50,60.547284,28.83204,386.349336,3
202,73,50,51.897672,23.065632,331.56846,3
202,56,50,54.780876,23.065632,357.517296,3
202,48,50,46.131264,25.948836,348.867684,3
9,63,50,40.269768,43.14618,246.788696,3
70,8,50,1826.52162,2663.557512,21493.57364,1
71,8,50,2191.825944,2666.433924,37293.789456,1
72,8,50,664.451172,2660.6811,16379.882288,1
70,7,50,1826.52162,2151.556176,16767.283148,1
70,7,50,89.168772,46.022592,1299.945108,63
70,7,50,77.663124,270.382728,7240.091628,63
71,7,50,2191.825944,2163.061824,29496.988444,1
71,7,50,86.29236,48.899004,1363.0771,63
71,7,50,83.415948,270.382728,7429.487604,63
72,7,50,664.451172,2163.061824,13581.987188,1
72,7,50,86.29236,48.899004,1325.771832,63
72,7,50,83.415948,270.382728,7326.180708,63
87,9,50,28.76412,48.899004,261.136876,3
100,62,50,34.516944,51.775416,304.181416,3
105,61,50,46.022592,34.516944,307.051052,3
163,15,50,25.887708,48.899004,275.485056,3
171,105,50,46.022592,60.404652,545.23084,3
181,95,50,20.134884,60.404652,347.225956,3
185,25,50,54.651828,43.14618,542.361204,3
194,35,50,43.14618,51.775416,573.9272,3
196,46,50,34.516944,48.899004,375.922316,3
5,68,50,8.629236,11.505648,28.69636,1
8,71,50,8.629236,11.505648,22.957088,1
24,74,50,5.752824,11.505648,17.217816,1
24,66,50,8.629236,2.876412,8.608908,1
24,85,50,5.752824,34.516944,40.174904,1
24,85,50,5.752824,8.629236,14.34818,1
30,104,50,11.505648,11.505648,34.435632,1
30,82,50,5.752824,11.505648,17.217816,1
30,71,50,5.752824,8.629236,17.217816,1
29,26,50,14.38206,2.876412,14.34818,1
37,23,50,11.505648,25.887708,71.7409,1
46,52,50,5.752824,57.52824,63.131992,1
46,30,50,5.752824,8.629236,14.34818,1
46,41,50,5.752824,8.629236,17.217816,1
46,41,50,5.752824,14.38206,20.087452,1
46,63,50,5.752824,40.269768,45.914176,1
46,63,50,2.876412,8.629236,8.608908,1
46,85,50,2.876412,60.404652,60.262356,1
46,85,50,2.876412,31.640532,31.565996,1
46,85,50,5.752824,17.258472,20.087452,1
46,96,50,5.752824,8.629236,14.34818,1
46,96,50,2.876412,8.629236,8.608908,1
46,96,50,5.752824,43.14618,45.914176,1
53,106,50,23.011296,5.752824,37.305268,1
53,84,50,17.258472,2.876412,17.217816,1
52,60,50,8.629236,8.629236,20.087452,1
52,82,50,8.629236,11.505648,25.826724,1
51,18,50,5.752824,17.258472,31.565996,1
52,16,50,5.752824,11.505648,14.34818,1
68,19,50,5.752824,11.505648,20.087452,1
68,19,50,5.752824,14.38206,20.087452,1
68,19,50,5.752824,8.629236,14.34818,1
68,19,50,5.752824,23.011296,37.305268,1
68,19,50,5.752824,14.38206,22.957088,1
68,8,50,8.629236,43.14618,51.653448,1
68,8,50,5.752824,31.640532,40.174904,1
68,52,50,5.752824,31.640532,45.914176,1
68,52,50,2.876412,54.651828,54.523084,1
68,63,50,8.629236,2.876412,8.608908,1
68,63,50,8.629236,5.752824,17.217816,1
68,63,50,2.876412,11.505648,11.478544,1
68,63,50,8.629236,23.011296,51.653448,1
68,63,50,8.629236,8.629236,17.217816,1
68,63,50,2.876412,28.76412,28.69636,1
68,30,50,8.629236,14.38206,22.957088,1
68,30,50,2.876412,8.629236,8.608908,1
68,41,50,8.629236,5.752824,11.478544,1
68,41,50,2.876412,31.640532,31.565996,1
68,41,50,5.752824,28.76412,31.565996,1
68,41,50,5.752824,28.76412,31.565996,1
68,41,50,2.876412,43.14618,43.04454,1
68,41,50,5.752824,8.629236,17.217816,1
68,74,50,5.752824,69.033888,80.349808,1
68,74,50,5.752824,66.157476,71.7409,1
68,74,50,5.752824,8.629236,14.34818,1
68,74,50,5.752824,8.629236,14.34818,1
68,74,50,5.752824,8.629236,14.34818,1
68,74,50,5.752824,8.629236,17.217816,1
68,74,50,2.876412,8.629236,8.608908,1
75,122,50,5.752824,11.505648,17.217816,1
73,115,50,11.505648,11.505648,28.69636,1
74,49,50,8.629236,11.505648,25.826724,1
74,93,50,8.629236,11.505648,22.957088,1
74,27,50,8.629236,8.629236,14.34818,1
85,42,50,14.38206,8.629236,37.305268,1
87,66,50,5.752824,8.629236,14.34818,1
90,8,50,8.629236,8.629236,20.087452,1
90,8,50,5.752824,8.629236,11.478544,1
90,8,50,5.752824,8.629236,14.34818,1
90,8,50,5.752824,8.629236,14.34818,1
90,8,50,5.752824,46.022592,51.653448,1
90,8,50,5.752824,17.258472,34.435632,1
90,8,50,5.752824,20.134884,34.435632,1
90,30,50,5.752824,8.629236,14.34818,1
90,30,50,5.752824,17.258472,28.69636,1
90,30,50,5.752824,20.134884,22.957088,1
90,19,50,2.876412,40.269768,40.174904,1
90,19,50,5.752824,8.629236,17.217816,1
90,74,50,5.752824,54.651828,63.131992,1
90,74,50,5.752824,8.629236,17.217816,1
90,74,50,8.629236,8.629236,17.217816,1
90,91,50,2.876412,8.629236,8.608908,1
90,85,50,5.752824,25.887708,34.435632,1
90,85,50,5.752824,8.629236,17.217816,1
90,107,50,5.752824,8.629236,11.478544,1
93,103,50,11.505648,2.876412,11.478544,1
94,71,50,5.752824,14.38206,20.087452,1
94,115,50,8.629236,8.629236,17.217816,1
96,49,50,8.629236,11.505648,22.957088,1
96,15,50,8.629236,5.752824,11.478544,1
97,29,50,11.505648,5.752824,14.34818,1
97,62,50,11.505648,2.876412,11.478544,1
96,4,50,8.629236,5.752824,14.34818,1
97,90,50,11.505648,17.258472,45.914176,1
101,63,50,11.505648,14.38206,45.914176,1
112,8,50,5.752824,31.640532,51.653448,1
112,19,50,5.752824,77.663124,80.349808,1
112,19,50,2.876412,17.258472,17.217816,1
112,19,50,2.876412,23.011296,22.957088,1
112,63,50,2.876412,8.629236,8.608908,1
112,41,50,5.752824,8.629236,14.34818,1
112,30,50,8.629236,5.752824,11.478544,1
112,30,50,2.876412,20.134884,20.087452,1
112,30,50,2.876412,20.134884,20.087452,1
112,36,50,2.876412,11.505648,11.478544,1
112,36,50,5.752824,14.38206,20.087452,1
118,92,50,11.505648,5.752824,20.087452,1
118,104,50,5.752824,8.629236,11.478544,1
118,115,50,11.505648,5.752824,14.34818,1
118,60,50,5.752824,8.629236,11.478544,1
118,49,50,8.629236,11.505648,25.826724,1
122,60,50,17.258472,11.505648,45.914176,1
134,30,50,5.752824,8.629236,11.478544,1
134,30,50,5.752824,8.629236,11.478544,1
134,41,50,2.876412,8.629236,8.608908,1
134,41,50,2.876412,8.629236,8.608908,1
134,52,50,5.752824,51.775416,57.39272,1
134,19,50,2.876412,25.887708,25.826724,1
140,115,50,5.752824,11.505648,20.087452,1
140,93,50,2.876412,8.629236,8.608908,1
152,78,50,14.38206,2.876412,14.34818,1
154,92,50,5.752824,8.629236,17.217816,1
156,19,50,8.629236,40.269768,57.39272,1
156,63,50,8.629236,8.629236,17.217816,1
156,63,50,2.876412,48.899004,48.783812,1
156,41,50,2.876412,8.629236,8.608908,1
156,41,50,2.876412,8.629236,8.608908,1
156,60,50,5.752824,14.38206,25.826724,1
156,52,50,11.505648,34.516944,71.7409,1
156,52,50,2.876412,8.629236,8.608908,1
156,52,50,2.876412,8.629236,8.608908,1
156,52,50,2.876412,25.887708,25.826724,1
156,74,50,5.752824,48.899004,57.39272,1
156,74,50,2.876412,8.629236,8.608908,1
156,30,50,2.876412,92.045184,91.828352,1
156,30,50,5.752824,8.629236,17.217816,1
162,104,50,5.752824,11.505648,17.217816,1
173,105,50,25.887708,25.887708,157.82998,1
171,25,50,14.38206,25.887708,103.306896,1
178,52,50,5.752824,54.651828,60.262356,1
178,52,50,2.876412,20.134884,20.087452,1
178,63,50,5.752824,23.011296,34.435632,1
178,63,50,5.752824,17.258472,20.087452,1
178,63,50,2.876412,8.629236,8.608908,1
178,41,50,5.752824,34.516944,37.305268,1
178,41,50,2.876412,8.629236,8.608908,1
178,41,50,2.876412,17.258472,17.217816,1
178,74,50,5.752824,8.629236,17.217816,1
178,30,50,5.752824,31.640532,37.305268,1
178,96,50,5.752824,60.404652,74.610536,1
183,61,50,34.516944,14.38206,94.697988,1
184,60,50,5.752824,11.505648,20.087452,1
184,27,50,5.752824,8.629236,17.217816,1
186,38,50,2.876412,20.134884,20.087452,1
187,32,50,11.505648,34.516944,103.306896,1
200,85,50,5.752824,14.38206,28.69636,1
200,85,50,5.752824,60.404652,111.915804,1
200,85,50,5.752824,66.157476,114.78544,1
200,85,50,5.752824,46.022592,88.958716,1
200,85,50,5.752824,34.516944,63.131992,1
200,52,50,5.752824,20.134884,22.957088,1
200,52,50,5.752824,20.134884,22.957088,1
200,52,50,2.876412,8.629236,8.608908,1
200,52,50,5.752824,8.629236,11.478544,1
200,52,50,2.876412,8.629236,8.608908,1
200,52,50,2.876412,8.629236,8.608908,1
200,41,50,5.752824,69.033888,80.349808,1
200,41,50,2.876412,8.629236,8.608908,1
200,63,50,2.876412,8.629236,8.608908,1
200,63,50,5.752824,8.629236,17.217816,1
200,63,50,2.876412,8.629236,8.608908,1
200,63,50,5.752824,25.887708,31.565996,1
200,74,50,5.752824,77.663124,114.78544,1
200,74,50,5.752824,63.281064,86.08908,1
206,71,50,2.876412,8.629236,8.608908,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling
9,Q336916-18E2,19451,19398,99.72752,53,57,10,16,31

[Defect List]
