[Wafer Information]
Wafer Number,9
Wafer ID,Q33733612H0.Chipping.0
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101598-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1348.65,Y,2279.404
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/28/2024 07:05
End Time,01/28/2024 07:07
Inspection Time,0:02:20
Photo Time,0:00:01
Data Output Time,01/28/2024 07:50

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage
9,Q33733612H0.Chipping.0,19802,19640,99.181901,162,296,296

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
2,72,50,2.869636,14.34818,14.34818,1
4,66,50,11.478544,45.914176,103.306896,1
7,72,50,8.608908,5.739272,11.478544,1
8,49,50,14.34818,14.34818,48.783812,1
8,73,50,8.608908,2.869636,8.608908,1
8,76,50,25.826724,28.69636,106.176532,1
13,78,50,25.826724,17.217816,74.610536,1
17,55,50,5.739272,37.305268,54.523084,1
24,41,50,5.739272,43.04454,66.001628,1
24,52,50,5.739272,8.608908,11.478544,1
24,52,50,2.869636,28.69636,28.69636,1
24,52,50,2.869636,34.435632,34.435632,1
25,30,50,2.869636,8.608908,8.608908,1
30,60,50,5.739272,8.608908,11.478544,1
31,105,50,8.608908,2.869636,8.608908,1
31,105,50,8.608908,2.869636,8.608908,1
31,105,50,14.34818,2.869636,14.34818,1
32,87,50,48.783812,8.608908,109.046168,1
32,104,50,5.739272,8.608908,14.34818,1
31,104,50,2.869636,14.34818,14.34818,1
38,101,50,14.34818,2.869636,14.34818,1
46,30,50,2.869636,28.69636,28.69636,1
46,63,50,5.739272,37.305268,40.174904,1
46,63,50,2.869636,54.523084,54.523084,1
46,74,50,2.869636,43.04454,43.04454,1
46,74,50,2.869636,20.087452,20.087452,1
46,74,50,2.869636,8.608908,8.608908,1
46,52,50,5.739272,20.087452,28.69636,1
46,52,50,5.739272,8.608908,14.34818,1
46,85,50,2.869636,66.001628,66.001628,1
46,85,50,2.869636,11.478544,11.478544,1
46,85,50,2.869636,11.478544,11.478544,1
46,85,50,2.869636,8.608908,8.608908,1
48,81,50,11.478544,48.783812,126.263984,1
52,93,50,8.608908,11.478544,17.217816,1
51,26,50,2.869636,8.608908,8.608908,1
52,49,50,5.739272,8.608908,17.217816,1
54,85,50,8.608908,8.608908,22.957088,1
54,98,50,8.608908,8.608908,22.957088,1
59,117,50,8.608908,8.608908,20.087452,1
61,97,50,8.608908,11.478544,25.826724,1
63,67,50,11.478544,14.34818,31.565996,1
62,50,50,14.34818,20.087452,68.871264,1
64,39,50,11.478544,8.608908,28.69636,1
68,118,50,5.739272,43.04454,51.653448,1
68,118,50,2.869636,8.608908,8.608908,1
68,118,50,8.608908,5.739272,14.34818,1
66,44,50,14.34818,11.478544,34.435632,1
67,14,50,2.869636,11.478544,11.478544,1
67,14,50,5.739272,14.34818,28.69636,1
68,30,50,5.739272,14.34818,22.957088,1
68,52,50,5.739272,40.174904,51.653448,1
68,61,50,11.478544,17.217816,40.174904,1
