[Wafer Information]
Wafer Number,9
Wafer ID,Q337336-15F1
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24101601-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/28/2024 01:34
End Time,01/28/2024 01:41
Inspection Time,0:06:45
Photo Time,0:16:45
Data Output Time,01/28/2024 03:05

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F13 Pad area damage
9,Q337336-15F1,19797,19574,98.873567,223,380,378,2

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
4,72,50,54.780876,23.065632,377.699724,3
6,53,50,77.846508,11.532816,268.137972,1
6,53,50,77.846508,8.649612,227.773116,1
6,64,50,80.729712,8.649612,213.357096,1
21,37,50,43.24806,31.715244,317.15244,3
24,37,50,8.649612,147.043404,438.247008,1
26,66,50,8.649612,54.780876,152.809812,1
26,99,50,8.649612,80.729712,236.422728,1
28,97,50,80.729712,8.649612,222.006708,1
28,75,50,80.729712,8.649612,216.2403,1
35,22,50,40.364856,34.598448,320.035644,3
46,26,50,8.649612,149.926608,400.765356,1
46,15,50,8.649612,149.926608,386.349336,1
46,48,50,8.649612,149.926608,418.06458,1
46,36,50,8.649612,49.014468,123.977772,1
48,110,50,8.649612,80.729712,233.539524,1
48,99,50,8.649612,83.612916,222.006708,1
48,66,50,8.649612,83.612916,239.305932,1
50,20,50,80.729712,8.649612,227.773116,1
50,31,50,49.014468,8.649612,144.1602,1
52,76,50,54.780876,8.649612,161.459424,1
53,19,50,20.182428,17.299224,86.49612,1
53,19,50,17.258472,25.887708,129.13362,1
53,19,50,14.38206,8.629236,34.435632,1
53,19,50,8.629236,5.752824,11.478544,1
52,87,50,57.66408,8.649612,161.459424,1
52,98,50,63.430488,8.649612,170.109036,1
68,9,50,8.649612,80.729712,213.357096,1
68,14,50,8.649612,49.014468,126.860976,1
68,15,50,8.649612,149.926608,397.882152,1
70,110,50,8.649612,80.729712,230.65632,1
70,22,50,8.649612,83.612916,233.539524,1
73,15,50,265.254768,11.532816,775.581876,1
73,15,50,265.254768,11.532816,784.231488,1
73,15,50,268.137972,11.532816,1026.420624,1
73,15,50,57.66408,11.532816,190.291464,1
75,43,50,60.547284,8.649612,175.875444,1
90,102,50,20.182428,14.41602,51.897672,1
90,102,50,20.134884,11.505648,54.523084,1
90,114,50,8.649612,149.926608,403.64856,1
90,113,50,8.649612,46.131264,121.094568,1
90,81,50,8.649612,152.809812,406.531764,1
90,15,50,8.649612,152.809812,435.363804,1
90,4,50,8.649612,149.926608,423.830988,1
90,14,50,8.649612,49.014468,123.977772,1
90,48,50,8.649612,152.809812,429.597396,1
93,101,50,31.715244,46.131264,314.269236,3
93,101,50,40.269768,54.651828,479.229212,3
92,121,50,8.649612,80.729712,227.773116,1
94,119,50,80.729712,8.649612,224.889912,1
94,119,50,80.729712,8.649612,233.539524,1
94,108,50,80.729712,8.649612,233.539524,1
94,4,50,112.444956,11.532816,426.714192,1
97,120,50,63.430488,8.649612,172.99224,1
97,120,50,63.430488,8.649612,172.99224,1
97,120,50,46.131264,8.649612,129.74418,1
97,87,50,77.846508,8.649612,216.2403,1
97,54,50,34.598448,8.649612,103.795344,1
112,4,50,8.649612,149.926608,446.89662,1
112,15,50,8.649612,149.926608,400.765356,1
112,20,50,8.649612,83.612916,233.539524,1
112,37,50,8.649612,152.809812,403.64856,1
112,26,50,8.649612,147.043404,441.130212,1
112,92,50,8.649612,149.926608,444.013416,1
114,66,50,8.649612,54.780876,155.693016,1
114,121,50,8.649612,80.729712,233.539524,1
114,99,50,8.649612,83.612916,230.65632,1
116,9,50,77.846508,8.649612,213.357096,1
118,120,50,54.780876,11.532816,190.291464,1
134,104,50,11.532816,152.809812,426.714192,1
134,113,50,8.649612,49.014468,126.860976,1
134,14,50,8.649612,51.897672,126.860976,1
134,26,50,8.649612,149.926608,423.830988,1
