[Wafer Information]
Wafer Number,7
Wafer ID,A54-Q337387-404
Job Name,X2L3QBJL_R_08_06
Model Name,EagleT
Lot Number,24101897-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,02/02/2024 02:54
End Time,02/02/2024 02:57
Inspection Time,0:03:20
Photo Time,0:13:16
Data Output Time,02/02/2024 04:22

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F99 Others
7,A54-Q337387-404,5518,5365,97.227256,153,217,47,138,25,6,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
5,42,50,57.66408,8.649612,144.1602,1
6,24,50,273.90438,8.649612,815.946732,1
6,24,50,271.021176,8.649612,810.180324,1
6,24,50,271.021176,8.649612,807.29712,1
12,44,50,273.90438,8.649612,752.516244,1
14,25,50,8.649612,152.809812,397.882152,1
14,25,50,8.649612,152.809812,441.130212,1
14,25,50,8.649612,60.547284,167.225832,1
23,15,50,49.014468,34.598448,400.765356,3
23,15,50,51.744852,40.245996,544.58731,3
23,22,50,28.83204,325.802052,1989.41076,2
23,22,50,28.83204,322.918848,1845.25056,2
23,22,50,28.83204,322.918848,1891.381824,2
27,62,50,2191.23504,2309.446404,338182.529976,1
27,62,50,11.532816,11.532816,46.131264,1
27,62,50,11.532816,14.41602,51.897672,1
27,62,50,11.532816,126.860976,452.663028,1
27,62,50,2113.388532,3684.734712,1310669.939952,2
27,62,50,435.363804,106.678548,12714.92964,3
27,62,50,5.766408,14.41602,28.83204,1
27,62,50,34.598448,31.715244,204.707484,63
27,62,50,11.532816,11.532816,46.131264,1
27,62,50,46.131264,994.70538,10829.314224,1
27,62,50,8.649612,942.807708,2107.622124,1
27,62,50,397.882152,423.830988,57427.657272,2
27,62,50,8.649612,2623.71564,5270.496912,1
27,62,50,8.649612,2609.29962,7816.366044,1
27,62,50,11.532816,14.41602,43.24806,1
27,62,50,28.83204,43.24806,213.357096,1
27,62,50,17.299224,66.313692,302.73642,1
27,62,50,14.41602,57.66408,170.109036,1
27,62,50,20.182428,677.55294,2926.45206,1
27,62,50,458.429436,1758.75444,119926.87038,1
27,62,50,412.298172,438.247008,61034.545476,3
27,62,50,406.531764,432.4806,50098.552704,2
27,62,50,135.510588,69.196896,1499.26608,3
27,62,50,57.66408,74.963304,617.005656,63
27,62,50,1104.267132,997.588584,94678.652952,1
27,62,50,406.531764,213.357096,27941.129964,2
27,62,50,1141.748784,942.807708,194596.087572,2
27,62,50,1063.902276,986.055768,6991.7697,1
27,62,50,8.649612,986.055768,2949.517692,1
27,62,50,23.065632,732.333816,3624.187428,63
27,62,50,991.822176,103.795344,7819.249248,63
27,62,50,8.649612,14.41602,34.598448,1
27,62,50,11.532816,14.41602,46.131264,1
27,62,50,2191.23504,709.268184,241520.232672,1
27,62,50,764.04906,651.604104,158726.146608,3
27,62,50,8.649612,8.649612,25.948836,63
27,62,50,5.766408,28.83204,57.66408,1
27,62,50,31.715244,559.341576,5881.73616,1
27,62,50,11.532816,11.532816,40.364856,1
27,62,50,8.649612,539.159148,1234.011312,1
27,62,50,386.349336,493.027884,57346.92756,3
28,16,50,28.83204,322.918848,1963.461924,2
37,63,50,43.24806,25.948836,250.838748,3
37,16,50,25.948836,325.802052,1995.177168,2
40,43,50,54.780876,8.649612,147.043404,1
41,19,50,40.364856,31.715244,308.502828,3
41,62,50,14.41602,20.182428,69.196896,2
43,67,50,72.0801,8.649612,196.057872,1
46,65,50,273.90438,8.649612,804.413916,1
46,65,50,271.021176,8.649612,801.530712,1
52,46,50,72.0801,28.83204,484.378272,3
52,46,50,74.742564,31.621854,604.778539,3
56,17,50,17.299224,17.299224,86.49612,63
56,17,50,14.41602,14.41602,54.780876,1
56,17,50,31.621854,28.74714,214.968675,1
56,64,50,28.83204,325.802052,1954.812312,2
57,64,50,28.83204,325.802052,1908.681048,2
57,64,50,28.83204,325.802052,1865.432988,2
57,64,50,28.83204,325.802052,2110.505328,2
57,3,50,40.364856,31.715244,308.502828,3
62,48,50,46.131264,31.715244,406.531764,3
61,3,50,28.83204,325.802052,1977.877944,2
68,60,50,28.83204,322.918848,1876.965804,2
68,60,50,28.83204,322.918848,1778.936868,2
70,7,50,40.364856,28.83204,343.101276,3
70,3,50,40.364856,31.715244,345.98448,3
69,10,50,40.364856,25.948836,242.189136,3
69,61,50,28.83204,328.685256,2436.30738,2
69,61,50,28.83204,328.685256,2479.55544,2
69,61,50,28.83204,328.685256,2246.015916,2
70,61,50,28.83204,328.685256,2620.832436,2
70,61,50,14.41602,328.685256,1496.382876,2
70,61,50,28.83204,328.685256,2606.416416,2
70,61,50,28.83204,328.685256,2666.9637,2
77,63,50,271.021176,8.649612,807.29712,1
77,63,50,271.021176,8.649612,804.413916,1
94,24,50,271.021176,8.649612,813.063528,1
94,24,50,273.90438,8.649612,815.946732,1
94,24,50,273.90438,8.649612,815.946732,1
24,46,50,5.749428,2.874714,5.732498,1
55,66,50,8.624142,2.874714,8.598747,1
2,27,50,83.366706,20.122998,513.058571,3
3,30,50,66.118422,20.122998,404.141109,3
3,26,50,120.737988,22.997712,710.829752,3
3,40,50,60.368994,25.872426,364.013623,3
3,40,50,51.744852,17.248284,286.6249,3
3,42,50,66.118422,17.248284,378.344868,3
11,54,50,51.744852,20.122998,335.351133,3
14,30,50,100.61499,20.122998,561.784804,3
15,17,50,60.368994,17.248284,335.351133,3
16,53,50,60.368994,17.248284,318.153639,3
16,55,50,57.49428,17.248284,280.892402,3
18,15,50,135.111558,17.248284,670.702266,3
18,15,50,51.744852,20.122998,255.096161,3
19,51,50,57.49428,20.122998,346.816129,3
20,30,50,80.491992,17.248284,450.001093,3
21,44,50,77.617278,17.248284,381.211117,3
21,51,50,74.742564,17.248284,369.746121,3
22,21,50,68.993136,17.248284,375.478619,3
23,30,50,77.617278,20.122998,427.071101,3
24,6,50,86.24142,17.248284,470.064836,3
24,60,50,60.368994,20.122998,335.351133,3
24,30,50,86.24142,25.872426,490.128579,3
26,44,50,54.619566,17.248284,295.223647,3
25,39,50,132.236844,20.122998,759.555985,3
26,39,50,83.366706,20.122998,518.791069,3
24,26,50,71.86785,17.248284,392.676113,3
25,23,50,103.489704,17.248284,576.116049,3
28,58,50,54.619566,17.248284,295.223647,3
27,46,50,54.619566,17.248284,295.223647,3
27,55,50,57.49428,17.248284,295.223647,3
30,7,50,57.49428,20.122998,352.548627,3
30,28,50,77.617278,22.997712,524.523567,3
29,39,50,91.990848,17.248284,492.994828,3
31,42,50,74.742564,20.122998,441.402346,3
31,4,50,86.24142,28.74714,544.58731,3
31,7,50,66.118422,20.122998,409.873607,3
33,41,50,80.491992,20.122998,470.064836,3
32,12,50,57.49428,17.248284,295.223647,3
35,49,50,60.368994,17.248284,303.822394,3
34,64,50,51.744852,20.122998,278.026153,3
37,4,50,106.364418,20.122998,584.714796,3
37,37,50,60.368994,17.248284,343.94988,3
36,15,50,57.49428,17.248284,321.019888,3
39,23,50,77.617278,20.122998,418.472354,3
39,42,50,54.619566,20.122998,335.351133,3
40,49,50,60.368994,17.248284,335.351133,3
41,47,50,57.49428,17.248284,283.758651,3
41,39,50,80.491992,14.37357,398.408611,3
42,62,50,54.619566,25.872426,372.61237,3
42,41,50,63.243708,20.122998,352.548627,3
44,51,50,63.243708,28.74714,395.542362,3
45,41,50,54.619566,17.248284,298.089896,3
47,44,50,83.366706,20.122998,461.466089,3
45,19,50,80.491992,20.122998,444.268595,3
47,7,50,71.86785,31.621854,490.128579,3
47,4,50,60.368994,20.122998,341.083631,3
48,30,50,51.744852,20.122998,312.421141,3
49,15,50,86.24142,28.74714,662.103519,3
50,15,50,83.366706,20.122998,458.59984,3
51,15,50,57.49428,17.248284,289.491149,3
51,30,50,57.49428,20.122998,349.682378,3
53,25,50,68.993136,17.248284,375.478619,3
55,30,50,117.863274,25.872426,596.179792,3
58,25,50,60.368994,20.122998,364.013623,3
58,37,50,109.239132,17.248284,599.046041,3
57,51,50,86.24142,17.248284,398.408611,3
58,10,50,68.993136,22.997712,429.93735,3
59,3,50,71.86785,20.122998,412.739856,3
